session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Female,ALL,WAEC,University,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,293,212,89,82,7,0,81,123,7,2.1,1 year
2022/2023,Female,ALL,WAEC,University,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,126,91,38,35,3,0,35,53,3,2.1,2 years
2022/2023,Female,ALL,WAEC,University,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,66,48,20,18,2,0,18,28,2,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,20,15,6,6,1,0,5,9,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,133,96,40,37,3,0,37,56,3,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,57,42,17,16,1,0,15,25,1,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,30,22,9,8,1,0,8,13,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,9,7,3,3,0,0,2,4,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,107,77,32,30,3,0,30,45,2,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,46,33,14,13,1,0,13,19,1,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,24,17,7,7,1,0,7,10,0,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,NECO,University,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,137,99,42,38,3,0,38,57,4,2.1,1 year
2022/2023,Female,ALL,NECO,University,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,0,59,43,18,16,1,0,16,25,2,2.1,2 years
