session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Jema'a,North West,Kaduna,Jema'a,,,1699,1135,1117,391,384,353,66.804,35.0045,98.2097,91.9271
2019/2020,Female,all,NABTEB,lga,Kaduna North,North West,Kaduna,Kaduna North,,,1430,957,931,326,356,333,66.9231,35.0161,109.2025,93.5393
2019/2020,Female,all,NABTEB,lga,Kaduna South,North West,Kaduna,Kaduna South,,,1346,902,881,308,331,295,67.0134,34.9603,107.4675,89.1239
2019/2020,Female,all,NABTEB,lga,Soba,North West,Kaduna,Soba,,,1488,994,978,343,365,338,66.8011,35.0716,106.414,92.6027
2019/2020,Female,all,NABTEB,lga,Zaria,North West,Kaduna,Zaria,,,1449,972,930,325,321,297,67.0807,34.9462,98.7692,92.5234
2019/2020,Female,all,NECO,lga,Jema'a,North West,Kaduna,Jema'a,,,3272,1968,2115,745,701,642,60.1467,35.2246,94.094,91.5835
2019/2020,Female,all,NECO,lga,Kaduna North,North West,Kaduna,Kaduna North,,,2565,1542,1697,600,570,505,60.117,35.3565,95.0,88.5965
2019/2020,Female,all,NECO,lga,Kaduna South,North West,Kaduna,Kaduna South,,,2480,1493,1621,574,545,507,60.2016,35.4102,94.9477,93.0275
2019/2020,Female,all,NECO,lga,Soba,North West,Kaduna,Soba,,,2785,1673,1825,645,605,555,60.0718,35.3425,93.7984,91.7355
2019/2020,Female,all,NECO,lga,Zaria,North West,Kaduna,Zaria,,,2746,1653,1780,629,565,522,60.1966,35.3371,89.8251,92.3894
2019/2020,Female,all,WAEC,lga,Jema'a,North West,Kaduna,Jema'a,,,4094,2683,2669,945,1028,945,65.5349,35.4065,108.7831,91.9261
2019/2020,Female,all,WAEC,lga,Kaduna North,North West,Kaduna,Kaduna North,,,3433,2251,2245,791,806,736,65.5695,35.2339,101.8963,91.3151
2019/2020,Female,all,WAEC,lga,Kaduna South,North West,Kaduna,Kaduna South,,,3116,2044,2033,716,778,715,65.5969,35.2189,108.6592,91.9023
2019/2020,Female,all,WAEC,lga,Soba,North West,Kaduna,Soba,,,3560,2331,2298,812,826,771,65.4775,35.3351,101.7241,93.3414
2019/2020,Female,all,WAEC,lga,Zaria,North West,Kaduna,Zaria,,,3547,2323,2340,826,875,799,65.492,35.2991,105.9322,91.3143
2019/2020,Female,disabled,NABTEB,lga,Jema'a,North West,Kaduna,Jema'a,,,204,138,123,42,54,54,67.6471,34.1463,128.5714,100.0
2019/2020,Female,disabled,NABTEB,lga,Kaduna North,North West,Kaduna,Kaduna North,,,200,136,113,38,54,54,68.0,33.6283,142.1053,100.0
2019/2020,Female,disabled,NABTEB,lga,Kaduna South,North West,Kaduna,Kaduna South,,,192,132,108,36,63,63,68.75,33.3333,175.0,100.0
2019/2020,Female,disabled,NABTEB,lga,Soba,North West,Kaduna,Soba,,,192,129,123,42,72,72,67.1875,34.1463,171.4286,100.0
