session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Abeokuta North,South West,Ogun,Abeokuta North,,,1466,1066,1025,347,369,322,72.7149,33.8537,106.3401,87.2629
2019/2020,Female,all,NABTEB,lga,Abeokuta South,South West,Ogun,Abeokuta South,,,1154,839,778,268,263,247,72.7036,34.4473,98.1343,93.9163
2019/2020,Female,all,NABTEB,lga,Ijebu Ode,South West,Ogun,Ijebu Ode,,,1213,883,830,284,316,283,72.7947,34.2169,111.2676,89.557
2019/2020,Female,all,NABTEB,lga,Remo North,South West,Ogun,Remo North,,,1462,1063,1012,345,375,320,72.7086,34.0909,108.6957,85.3333
2019/2020,Female,all,NABTEB,lga,Sagamu,South West,Ogun,Sagamu,,,1153,836,777,267,283,255,72.5065,34.3629,105.9925,90.106
2019/2020,Female,all,NECO,lga,Abeokuta North,South West,Ogun,Abeokuta North,,,2820,1850,1951,660,646,582,65.6028,33.8288,97.8788,90.0929
2019/2020,Female,all,NECO,lga,Abeokuta South,South West,Ogun,Abeokuta South,,,2186,1435,1480,501,475,425,65.645,33.8514,94.8104,89.4737
2019/2020,Female,all,NECO,lga,Ijebu Ode,South West,Ogun,Ijebu Ode,,,2330,1530,1598,539,533,477,65.6652,33.7297,98.8868,89.4934
2019/2020,Female,all,NECO,lga,Remo North,South West,Ogun,Remo North,,,2498,1642,1763,596,591,537,65.7326,33.806,99.1611,90.8629
2019/2020,Female,all,NECO,lga,Sagamu,South West,Ogun,Sagamu,,,2215,1453,1471,497,485,436,65.5982,33.7865,97.5855,89.8969
2019/2020,Female,all,WAEC,lga,Abeokuta North,South West,Ogun,Abeokuta North,,,3448,2471,2373,801,794,729,71.6647,33.7547,99.1261,91.8136
2019/2020,Female,all,WAEC,lga,Abeokuta South,South West,Ogun,Abeokuta South,,,2822,2022,1897,636,629,585,71.6513,33.5266,98.8994,93.0048
