session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Ede North,South West,Osun,Ede North,,,1028,715,684,224,262,224,69.5525,32.7485,116.9643,85.4962
2019/2020,Female,all,NABTEB,lga,Ife Central,South West,Osun,Ife Central,,,1162,806,770,252,297,262,69.3632,32.7273,117.8571,88.2155
2019/2020,Female,all,NABTEB,lga,Ilesha East,South West,Osun,Ilesha East,,,1110,769,736,241,288,263,69.2793,32.7446,119.5021,91.3194
2019/2020,Female,all,NABTEB,lga,Ilesha West,South West,Osun,Ilesha West,,,1071,743,667,218,226,209,69.3744,32.6837,103.6697,92.4779
2019/2020,Female,all,NABTEB,lga,Osogbo,South West,Osun,Osogbo,,,1015,706,639,209,232,217,69.5567,32.7074,111.0048,93.5345
2019/2020,Female,all,NECO,lga,Ede North,South West,Osun,Ede North,,,1891,1178,1241,409,437,406,62.2951,32.9573,106.846,92.9062
2019/2020,Female,all,NECO,lga,Ife Central,South West,Osun,Ife Central,,,2097,1305,1357,448,498,454,62.2318,33.014,111.1607,91.1647
2019/2020,Female,all,NECO,lga,Ilesha East,South West,Osun,Ilesha East,,,2087,1298,1348,445,494,456,62.1945,33.0119,111.0112,92.3077
2019/2020,Female,all,NECO,lga,Ilesha West,South West,Osun,Ilesha West,,,2059,1282,1320,437,451,420,62.2632,33.1061,103.2037,93.1264
2019/2020,Female,all,NECO,lga,Osogbo,South West,Osun,Osogbo,,,1928,1202,1265,419,457,413,62.3444,33.1225,109.0692,90.372
2019/2020,Female,all,WAEC,lga,Ede North,South West,Osun,Ede North,,,2491,1687,1601,527,562,500,67.7238,32.9169,106.6414,88.968
2019/2020,Female,all,WAEC,lga,Ife Central,South West,Osun,Ife Central,,,2737,1852,1785,586,639,584,67.6653,32.8291,109.0444,91.3928
2019/2020,Female,all,WAEC,lga,Ilesha East,South West,Osun,Ilesha East,,,2689,1820,1764,579,609,542,67.6832,32.8231,105.1813,88.9984
2019/2020,Female,all,WAEC,lga,Ilesha West,South West,Osun,Ilesha West,,,2604,1763,1665,546,533,474,67.7035,32.7928,97.619,88.9306
2019/2020,Female,all,WAEC,lga,Osogbo,South West,Osun,Osogbo,,,2376,1609,1556,510,526,482,67.7189,32.7763,103.1373,91.635
2019/2020,Female,disabled,NABTEB,lga,Ede North,South West,Osun,Ede North,,,136,97,75,25,40,41,71.3235,33.3333,160.0,102.5
2019/2020,Female,disabled,NABTEB,lga,Ife Central,South West,Osun,Ife Central,,,142,101,87,29,55,66,71.1268,33.3333,189.6552,120.0
2019/2020,Female,disabled,NABTEB,lga,Ilesha East,South West,Osun,Ilesha East,,,140,99,84,28,55,62,70.7143,33.3333,196.4286,112.7273
2019/2020,Female,disabled,NABTEB,lga,Ilesha West,South West,Osun,Ilesha West,,,146,104,78,26,40,46,71.2329,33.3333,153.8462,115.0
2019/2020,Female,disabled,NABTEB,lga,Osogbo,South West,Osun,Osogbo,,,134,97,72,24,40,48,72.3881,33.3333,166.6667,120.0
2019/2020,Female,disabled,NECO,lga,Ede North,South West,Osun,Ede North,,,223,140,136,46,48,60,62.7803,33.8235,104.3478,125.0
2019/2020,Female,disabled,NECO,lga,Ife Central,South West,Osun,Ife Central,,,230,143,139,47,56,60,62.1739,33.8129,119.1489,107.1429
2019/2020,Female,disabled,NECO,lga,Ilesha East,South West,Osun,Ilesha East,,,230,143,137,46,57,64,62.1739,33.5766,123.913,112.2807
2019/2020,Female,disabled,NECO,lga,Ilesha West,South West,Osun,Ilesha West,,,233,147,140,48,53,63,63.0901,34.2857,110.4167,118.8679
2019/2020,Female,disabled,NECO,lga,Osogbo,South West,Osun,Osogbo,,,190,120,114,40,51,60,63.1579,35.0877,127.5,117.6471
2019/2020,Female,disabled,WAEC,lga,Ede North,South West,Osun,Ede North,,,289,195,176,59,57,57,67.474,33.5227,96.6102,100.0
2019/2020,Female,disabled,WAEC,lga,Ife Central,South West,Osun,Ife Central,,,295,199,180,60,57,60,67.4576,33.3333,95.0,105.2632
2019/2020,Female,disabled,WAEC,lga,Ilesha East,South West,Osun,Ilesha East,,,292,196,180,59,61,60,67.1233,32.7778,103.3898,98.3607
2019/2020,Female,disabled,WAEC,lga,Ilesha West,South West,Osun,Ilesha West,,,303,204,174,58,46,50,67.3267,33.3333,79.3103,108.6957
2019/2020,Female,disabled,WAEC,lga,Osogbo,South West,Osun,Osogbo,,,227,152,138,44,49,51,66.9604,31.8841,111.3636,104.0816
2019/2020,Male,all,NABTEB,lga,Ede North,South West,Osun,Ede North,,,1051,727,740,243,288,259,69.1722,32.8378,118.5185,89.9306
2019/2020,Male,all,NABTEB,lga,Ife Central,South West,Osun,Ife Central,,,1166,805,826,271,360,317,69.0395,32.8087,132.8413,88.0556
2019/2020,Male,all,NABTEB,lga,Ilesha East,South West,Osun,Ilesha East,,,1116,770,764,252,286,251,68.9964,32.9843,113.4921,87.7622
2019/2020,Male,all,NABTEB,lga,Ilesha West,South West,Osun,Ilesha West,,,1153,796,775,254,242,222,69.0373,32.7742,95.2756,91.7355
2019/2020,Male,all,NABTEB,lga,Osogbo,South West,Osun,Osogbo,,,1027,709,695,228,242,227,69.036,32.8058,106.1404,93.8017
2019/2020,Male,all,NECO,lga,Ede North,South West,Osun,Ede North,,,1977,1232,1364,451,499,461,62.3166,33.0645,110.643,92.3848
2019/2020,Male,all,NECO,lga,Ife Central,South West,Osun,Ife Central,,,2124,1322,1506,498,536,497,62.2411,33.0677,107.6305,92.7239
