session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,989,725,566,202,213,198,73.3064,35.689,105.4455,92.9577
2019/2020,Female,all,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,1189,869,666,237,221,186,73.0866,35.5856,93.2489,84.1629
2019/2020,Female,all,NABTEB,lga,Orlu,South East,Imo,Orlu,,,1313,958,742,263,266,226,72.9627,35.4447,101.1407,84.9624
2019/2020,Female,all,NABTEB,lga,Owerri North,South East,Imo,Owerri North,,,1094,802,633,223,229,203,73.309,35.2291,102.6906,88.6463
2019/2020,Female,all,NABTEB,lga,Owerri West,South East,Imo,Owerri West,,,1277,935,713,252,277,243,73.2185,35.3436,109.9206,87.7256
2019/2020,Female,all,NECO,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,1865,1225,1060,383,381,347,65.6836,36.1321,99.4778,91.0761
2019/2020,Female,all,NECO,lga,Okigwe,South East,Imo,Okigwe,,,2254,1480,1254,453,451,409,65.661,36.1244,99.5585,90.6874
2019/2020,Female,all,NECO,lga,Orlu,South East,Imo,Orlu,,,2456,1610,1392,502,507,458,65.5537,36.0632,100.996,90.3353
2019/2020,Female,all,NECO,lga,Owerri North,South East,Imo,Owerri North,,,2071,1359,1181,425,439,413,65.6205,35.9865,103.2941,94.0774
2019/2020,Female,all,NECO,lga,Owerri West,South East,Imo,Owerri West,,,2307,1514,1316,477,475,433,65.6264,36.2462,99.5807,91.1579
2019/2020,Female,all,WAEC,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,2412,1726,1354,487,488,452,71.5589,35.9675,100.2053,92.623
2019/2020,Female,all,WAEC,lga,Okigwe,South East,Imo,Okigwe,,,2966,2120,1659,595,617,574,71.4767,35.865,103.6975,93.0308
2019/2020,Female,all,WAEC,lga,Orlu,South East,Imo,Orlu,,,3082,2205,1759,631,670,622,71.5445,35.8727,106.1807,92.8358
2019/2020,Female,all,WAEC,lga,Owerri North,South East,Imo,Owerri North,,,2642,1890,1510,543,564,507,71.5367,35.9603,103.8674,89.8936
2019/2020,Female,all,WAEC,lga,Owerri West,South East,Imo,Owerri West,,,2937,2100,1669,602,621,567,71.5015,36.0695,103.1561,91.3043
2019/2020,Female,disabled,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,150,112,78,26,45,45,74.6667,33.3333,173.0769,100.0
2019/2020,Female,disabled,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,158,118,78,26,35,35,74.6835,33.3333,134.6154,100.0
2019/2020,Female,disabled,NABTEB,lga,Orlu,South East,Imo,Orlu,,,171,126,84,28,40,40,73.6842,33.3333,142.8571,100.0
2019/2020,Female,disabled,NABTEB,lga,Owerri North,South East,Imo,Owerri North,,,147,110,72,24,45,46,74.8299,33.3333,187.5,102.2222
2019/2020,Female,disabled,NABTEB,lga,Owerri West,South East,Imo,Owerri West,,,159,118,87,29,50,53,74.2138,33.3333,172.4138,106.0
2019/2020,Female,disabled,NECO,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,219,143,117,44,40,50,65.2968,37.6068,90.9091,125.0
2019/2020,Female,disabled,NECO,lga,Okigwe,South East,Imo,Okigwe,,,259,169,135,50,56,60,65.251,37.037,112.0,107.1429
2019/2020,Female,disabled,NECO,lga,Orlu,South East,Imo,Orlu,,,286,185,149,55,51,55,64.6853,36.9128,92.7273,107.8431
2019/2020,Female,disabled,NECO,lga,Owerri North,South East,Imo,Owerri North,,,231,149,129,48,54,60,64.5022,37.2093,112.5,111.1111
2019/2020,Female,disabled,NECO,lga,Owerri West,South East,Imo,Owerri West,,,246,160,125,47,50,55,65.0407,37.6,106.383,110.0
2019/2020,Female,disabled,WAEC,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,275,196,149,53,48,48,71.2727,35.5705,90.566,100.0
2019/2020,Female,disabled,WAEC,lga,Okigwe,South East,Imo,Okigwe,,,329,234,180,65,56,59,71.1246,36.1111,86.1538,105.3571
2019/2020,Female,disabled,WAEC,lga,Orlu,South East,Imo,Orlu,,,379,270,204,74,60,68,71.2401,36.2745,81.0811,113.3333
2019/2020,Female,disabled,WAEC,lga,Owerri North,South East,Imo,Owerri North,,,282,201,157,57,48,49,71.2766,36.3057,84.2105,102.0833
2019/2020,Female,disabled,WAEC,lga,Owerri West,South East,Imo,Owerri West,,,317,225,166,60,52,54,70.9779,36.1446,86.6667,103.8462
2019/2020,Male,all,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,1047,763,619,222,221,192,72.8749,35.8643,99.5495,86.8778
2019/2020,Male,all,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,1236,901,744,266,267,233,72.8964,35.7527,100.3759,87.2659
2019/2020,Male,all,NABTEB,lga,Orlu,South East,Imo,Orlu,,,1344,981,812,289,287,241,72.9911,35.5911,99.308,83.9721
2019/2020,Male,all,NABTEB,lga,Owerri North,South East,Imo,Owerri North,,,1114,813,677,244,259,241,72.9803,36.0414,106.1475,93.0502
2019/2020,Male,all,NABTEB,lga,Owerri West,South East,Imo,Owerri West,,,1302,950,782,279,286,248,72.9647,35.6777,102.509,86.7133
2019/2020,Male,all,NECO,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,1944,1278,1162,418,421,383,65.7407,35.9725,100.7177,90.9739
2019/2020,Male,all,NECO,lga,Okigwe,South East,Imo,Okigwe,,,2352,1548,1387,499,484,437,65.8163,35.9769,96.994,90.2893
2019/2020,Male,all,NECO,lga,Orlu,South East,Imo,Orlu,,,2493,1641,1532,553,544,498,65.8243,36.0966,98.3725,91.5441
2019/2020,Male,all,NECO,lga,Owerri North,South East,Imo,Owerri North,,,2166,1425,1302,469,484,449,65.7895,36.0215,103.1983,92.7686
2019/2020,Male,all,NECO,lga,Owerri West,South East,Imo,Owerri West,,,2337,1539,1408,507,534,489,65.8537,36.0085,105.3254,91.573
2019/2020,Male,all,WAEC,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,2561,1833,1537,553,571,528,71.5736,35.9792,103.255,92.4694
2019/2020,Male,all,WAEC,lga,Okigwe,South East,Imo,Okigwe,,,3065,2190,1836,660,666,608,71.4519,35.9477,100.9091,91.2913
2019/2020,Male,all,WAEC,lga,Orlu,South East,Imo,Orlu,,,3085,2205,1874,674,708,647,71.4749,35.9658,105.0445,91.3842
2019/2020,Male,all,WAEC,lga,Owerri North,South East,Imo,Owerri North,,,2686,1921,1612,580,601,552,71.519,35.9801,103.6207,91.8469
2019/2020,Male,all,WAEC,lga,Owerri West,South East,Imo,Owerri West,,,3076,2201,1845,665,695,645,71.554,36.0434,104.5113,92.8058
2019/2020,Male,disabled,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,144,104,81,27,24,28,72.2222,33.3333,88.8889,116.6667
2019/2020,Male,disabled,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,153,111,84,28,24,28,72.549,33.3333,85.7143,116.6667
2019/2020,Male,disabled,NABTEB,lga,Orlu,South East,Imo,Orlu,,,162,118,90,30,18,21,72.8395,33.3333,60.0,116.6667
2019/2020,Male,disabled,NABTEB,lga,Owerri North,South East,Imo,Owerri North,,,140,102,72,24,24,28,72.8571,33.3333,100.0,116.6667
2019/2020,Male,disabled,NABTEB,lga,Owerri West,South East,Imo,Owerri West,,,150,108,84,28,36,42,72.0,33.3333,128.5714,116.6667
2019/2020,Male,disabled,NECO,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,225,150,124,47,45,53,66.6667,37.9032,95.7447,117.7778
2019/2020,Male,disabled,NECO,lga,Okigwe,South East,Imo,Okigwe,,,267,178,142,53,40,45,66.6667,37.3239,75.4717,112.5
2019/2020,Male,disabled,NECO,lga,Orlu,South East,Imo,Orlu,,,303,202,168,62,50,59,66.6667,36.9048,80.6452,118.0
2019/2020,Male,disabled,NECO,lga,Owerri North,South East,Imo,Owerri North,,,231,154,125,47,50,55,66.6667,37.6,106.383,110.0
2019/2020,Male,disabled,NECO,lga,Owerri West,South East,Imo,Owerri West,,,258,172,143,53,50,57,66.6667,37.0629,94.3396,114.0
2019/2020,Male,disabled,WAEC,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,293,211,159,58,48,60,72.0137,36.478,82.7586,125.0
2019/2020,Male,disabled,WAEC,lga,Okigwe,South East,Imo,Okigwe,,,365,260,205,74,58,68,71.2329,36.0976,78.3784,117.2414
2019/2020,Male,disabled,WAEC,lga,Orlu,South East,Imo,Orlu,,,390,278,219,78,61,67,71.2821,35.6164,78.2051,109.8361
2019/2020,Male,disabled,WAEC,lga,Owerri North,South East,Imo,Owerri North,,,295,211,168,60,51,60,71.5254,35.7143,85.0,117.6471
2019/2020,Male,disabled,WAEC,lga,Owerri West,South East,Imo,Owerri West,,,337,242,187,68,63,68,71.8101,36.3636,92.6471,107.9365
2020/2021,Female,all,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,1186,897,668,258,224,209,75.6324,38.6228,86.8217,93.3036
2020/2021,Female,all,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,1458,1103,818,314,289,247,75.6516,38.3863,92.0382,85.4671
2020/2021,Female,all,NABTEB,lga,Orlu,South East,Imo,Orlu,,,1578,1195,919,350,326,286,75.7288,38.0849,93.1429,87.7301
2020/2021,Female,all,NABTEB,lga,Owerri North,South East,Imo,Owerri North,,,1277,968,741,287,283,245,75.8027,38.7314,98.6063,86.5724
2020/2021,Female,all,NABTEB,lga,Owerri West,South East,Imo,Owerri West,,,1432,1084,817,314,290,246,75.6983,38.4333,92.3567,84.8276
2020/2021,Female,all,NECO,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,2259,1559,1305,496,453,401,69.0128,38.0077,91.3306,88.521
2020/2021,Female,all,NECO,lga,Okigwe,South East,Imo,Okigwe,,,2600,1795,1453,551,504,449,69.0385,37.9215,91.4701,89.0873
2020/2021,Female,all,NECO,lga,Orlu,South East,Imo,Orlu,,,2864,1981,1648,628,598,552,69.169,38.1068,95.2229,92.3077
2020/2021,Female,all,NECO,lga,Owerri North,South East,Imo,Owerri North,,,2454,1694,1399,535,505,466,69.0302,38.2416,94.3925,92.2772
2020/2021,Female,all,NECO,lga,Owerri West,South East,Imo,Owerri West,,,2664,1840,1537,585,557,520,69.0691,38.0612,95.2137,93.3573
2020/2021,Female,all,WAEC,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,2799,2094,1580,601,581,538,74.8124,38.038,96.6722,92.599
2020/2021,Female,all,WAEC,lga,Okigwe,South East,Imo,Okigwe,,,3398,2544,1901,725,689,640,74.8676,38.1378,95.0345,92.8882
2020/2021,Female,all,WAEC,lga,Orlu,South East,Imo,Orlu,,,3772,2823,2186,833,819,749,74.8409,38.1061,98.3193,91.453
2020/2021,Female,all,WAEC,lga,Owerri North,South East,Imo,Owerri North,,,3161,2368,1819,692,664,607,74.913,38.0429,95.9538,91.4157
2020/2021,Female,all,WAEC,lga,Owerri West,South East,Imo,Owerri West,,,3577,2679,2066,787,736,667,74.8952,38.0929,93.5197,90.625
2020/2021,Female,disabled,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,172,135,84,36,42,42,78.4884,42.8571,116.6667,100.0
2020/2021,Female,disabled,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,183,143,92,38,54,54,78.1421,41.3043,142.1053,100.0
2020/2021,Female,disabled,NABTEB,lga,Orlu,South East,Imo,Orlu,,,205,159,111,43,60,60,77.561,38.7387,139.5349,100.0
2020/2021,Female,disabled,NABTEB,lga,Owerri North,South East,Imo,Owerri North,,,168,132,84,36,60,60,78.5714,42.8571,166.6667,100.0
2020/2021,Female,disabled,NABTEB,lga,Owerri West,South East,Imo,Owerri West,,,176,138,92,38,54,54,78.4091,41.3043,142.1053,100.0
2020/2021,Female,disabled,NECO,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,255,174,141,53,55,55,68.2353,37.5887,103.7736,100.0
2020/2021,Female,disabled,NECO,lga,Okigwe,South East,Imo,Okigwe,,,306,210,165,61,60,60,68.6275,36.9697,98.3607,100.0
2020/2021,Female,disabled,NECO,lga,Orlu,South East,Imo,Orlu,,,340,235,184,70,60,66,69.1176,38.0435,85.7143,110.0
2020/2021,Female,disabled,NECO,lga,Owerri North,South East,Imo,Owerri North,,,277,190,144,55,60,61,68.5921,38.1944,109.0909,101.6667
2020/2021,Female,disabled,NECO,lga,Owerri West,South East,Imo,Owerri West,,,297,205,156,58,60,67,69.0236,37.1795,103.4483,111.6667
2020/2021,Female,disabled,WAEC,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,328,244,171,65,53,64,74.3902,38.0117,81.5385,120.7547
2020/2021,Female,disabled,WAEC,lga,Okigwe,South East,Imo,Okigwe,,,393,293,203,78,63,75,74.5547,38.4236,80.7692,119.0476
2020/2021,Female,disabled,WAEC,lga,Orlu,South East,Imo,Orlu,,,466,347,252,95,79,87,74.4635,37.6984,83.1579,110.1266
2020/2021,Female,disabled,WAEC,lga,Owerri North,South East,Imo,Owerri North,,,345,258,186,69,56,64,74.7826,37.0968,81.1594,114.2857
2020/2021,Female,disabled,WAEC,lga,Owerri West,South East,Imo,Owerri West,,,374,279,208,79,71,76,74.5989,37.9808,89.8734,107.0423
