session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Alkaleri,North East,Bauchi,Alkaleri,,,170,170,170,0,33,33,100.0,0.0,0.0,100.0
2019/2020,Female,all,NABTEB,lga,Bauchi,North East,Bauchi,Bauchi,,,957,586,524,171,141,237,61.233,32.6336,82.4561,168.0851
2019/2020,Female,all,NABTEB,lga,Bogoro,North East,Bauchi,Bogoro,,,214,157,81,2,0,0,73.3645,2.4691,0.0,0.0
2019/2020,Female,all,NABTEB,lga,Damban,North East,Bauchi,Damban,,,269,165,161,75,156,10,61.3383,46.5839,208.0,6.4103
2019/2020,Female,all,NABTEB,lga,Darazo,North East,Bauchi,Darazo,,,405,321,321,130,84,33,79.2593,40.4984,64.6154,39.2857
2019/2020,Female,all,NABTEB,lga,Dass,North East,Bauchi,Dass,,,263,197,145,2,81,0,74.9049,1.3793,4050.0,0.0
2019/2020,Female,all,NABTEB,lga,Gamawa,North East,Bauchi,Gamawa,,,196,181,154,0,33,0,92.3469,0.0,0.0,0.0
2019/2020,Female,all,NABTEB,lga,Ganjuwa,North East,Bauchi,Ganjuwa,,,360,341,181,0,0,0,94.7222,0.0,0.0,0.0
2019/2020,Female,all,NABTEB,lga,Giade,North East,Bauchi,Giade,,,155,155,40,0,0,0,100.0,0.0,0.0,0.0
2019/2020,Female,all,NABTEB,lga,Itas/Gadau,North East,Bauchi,Itas/Gadau,,,235,156,156,79,92,92,66.383,50.641,116.4557,100.0
2019/2020,Female,all,NABTEB,lga,Jama'Are,North East,Bauchi,Jama'Are,,,163,162,117,0,38,96,99.3865,0.0,0.0,252.6316
2019/2020,Female,all,NABTEB,lga,Katagum,North East,Bauchi,Katagum,,,430,330,203,158,158,179,76.7442,77.8325,100.0,113.2911
2019/2020,Female,all,NABTEB,lga,Kirfi,North East,Bauchi,Kirfi,,,165,138,132,0,0,0,83.6364,0.0,0.0,0.0
2019/2020,Female,all,NABTEB,lga,Misau,North East,Bauchi,Misau,,,470,260,229,158,158,158,55.3191,68.9956,100.0,100.0
2019/2020,Female,all,NABTEB,lga,Ningi,North East,Bauchi,Ningi,,,193,193,81,33,33,33,100.0,40.7407,100.0,100.0
2019/2020,Female,all,NABTEB,lga,Shira,North East,Bauchi,Shira,,,251,211,165,86,125,125,84.0637,52.1212,145.3488,100.0
2019/2020,Female,all,NABTEB,lga,Tafawa-Balewa,North East,Bauchi,Tafawa-Balewa,,,576,406,406,170,17,46,70.4861,41.8719,10.0,270.5882
2019/2020,Female,all,NABTEB,lga,Toro,North East,Bauchi,Toro,,,240,105,127,59,14,0,43.75,46.4567,23.7288,0.0
2019/2020,Female,all,NABTEB,lga,Warji,North East,Bauchi,Warji,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/2020,Female,all,NABTEB,lga,Zaki,North East,Bauchi,Zaki,,,60,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/2020,Female,all,NECO,lga,Alkaleri,North East,Bauchi,Alkaleri,,,683,425,413,163,162,162,62.2255,39.4673,99.3865,100.0
2019/2020,Female,all,NECO,lga,Bauchi,North East,Bauchi,Bauchi,,,1668,1199,950,320,485,455,71.8825,33.6842,151.5625,93.8144
2019/2020,Female,all,NECO,lga,Bogoro,North East,Bauchi,Bogoro,,,442,301,293,102,103,73,68.0995,34.8123,100.9804,70.8738
2019/2020,Female,all,NECO,lga,Damban,North East,Bauchi,Damban,,,443,265,204,38,0,0,59.8194,18.6275,0.0,0.0
2019/2020,Female,all,NECO,lga,Darazo,North East,Bauchi,Darazo,,,872,507,483,151,79,79,58.1422,31.2629,52.3179,100.0
2019/2020,Female,all,NECO,lga,Dass,North East,Bauchi,Dass,,,540,332,332,157,109,109,61.4815,47.2892,69.4268,100.0
2019/2020,Female,all,NECO,lga,Gamawa,North East,Bauchi,Gamawa,,,406,327,252,49,82,82,80.5419,19.4444,167.3469,100.0
2019/2020,Female,all,NECO,lga,Ganjuwa,North East,Bauchi,Ganjuwa,,,795,587,446,165,149,149,73.8365,36.9955,90.303,100.0
2019/2020,Female,all,NECO,lga,Giade,North East,Bauchi,Giade,,,327,164,164,9,9,9,50.1529,5.4878,100.0,100.0
2019/2020,Female,all,NECO,lga,Itas/Gadau,North East,Bauchi,Itas/Gadau,,,535,379,379,144,144,144,70.8411,37.9947,100.0,100.0
2019/2020,Female,all,NECO,lga,Jama'Are,North East,Bauchi,Jama'Are,,,430,234,234,117,107,93,54.4186,50.0,91.453,86.9159
2019/2020,Female,all,NECO,lga,Katagum,North East,Bauchi,Katagum,,,717,478,399,160,123,79,66.6667,40.1003,76.875,64.2276
2019/2020,Female,all,NECO,lga,Kirfi,North East,Bauchi,Kirfi,,,404,267,267,130,130,78,66.0891,48.6891,100.0,60.0
2019/2020,Female,all,NECO,lga,Misau,North East,Bauchi,Misau,,,203,71,71,0,0,0,34.9754,0.0,0.0,0.0
2019/2020,Female,all,NECO,lga,Ningi,North East,Bauchi,Ningi,,,79,79,79,0,0,0,100.0,0.0,0.0,0.0
2019/2020,Female,all,NECO,lga,Shira,North East,Bauchi,Shira,,,47,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/2020,Female,all,NECO,lga,Tafawa-Balewa,North East,Bauchi,Tafawa-Balewa,,,33,0,0,0,0,33,0.0,0.0,0.0,0.0
2019/2020,Female,all,NECO,lga,Toro,North East,Bauchi,Toro,,,1275,872,793,317,223,285,68.3922,39.9748,70.347,127.8027
2019/2020,Female,all,NECO,lga,Warji,North East,Bauchi,Warji,,,162,160,160,2,68,70,98.7654,1.25,3400.0,102.9412
2019/2020,Female,all,NECO,lga,Zaki,North East,Bauchi,Zaki,,,725,480,421,77,167,77,66.2069,18.2898,216.8831,46.1078
2019/2020,Female,all,WAEC,lga,Alkaleri,North East,Bauchi,Alkaleri,,,687,553,409,56,56,0,80.4949,13.6919,100.0,0.0
2019/2020,Female,all,WAEC,lga,Bauchi,North East,Bauchi,Bauchi,,,2314,1749,1272,388,518,395,75.5834,30.5031,133.5052,76.2548
2019/2020,Female,all,WAEC,lga,Bogoro,North East,Bauchi,Bogoro,,,963,646,592,185,217,154,67.082,31.25,117.2973,70.9677
2019/2020,Female,all,WAEC,lga,Damban,North East,Bauchi,Damban,,,435,344,261,87,166,99,79.0805,33.3333,190.8046,59.6386
2019/2020,Female,all,WAEC,lga,Darazo,North East,Bauchi,Darazo,,,955,713,638,242,233,233,74.6597,37.931,96.281,100.0
2019/2020,Female,all,WAEC,lga,Dass,North East,Bauchi,Dass,,,585,365,365,145,75,94,62.3932,39.726,51.7241,125.3333
2019/2020,Female,all,WAEC,lga,Gamawa,North East,Bauchi,Gamawa,,,462,383,233,75,75,75,82.9004,32.1888,100.0,100.0
2019/2020,Female,all,WAEC,lga,Ganjuwa,North East,Bauchi,Ganjuwa,,,673,411,326,85,85,85,61.0698,26.0736,100.0,100.0
2019/2020,Female,all,WAEC,lga,Giade,North East,Bauchi,Giade,,,91,36,36,36,20,0,39.5604,100.0,55.5556,0.0
2019/2020,Female,all,WAEC,lga,Itas/Gadau,North East,Bauchi,Itas/Gadau,,,122,122,43,43,5,0,100.0,100.0,11.6279,0.0
2019/2020,Female,all,WAEC,lga,Jama'Are,North East,Bauchi,Jama'Are,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/2020,Female,all,WAEC,lga,Katagum,North East,Bauchi,Katagum,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/2020,Female,all,WAEC,lga,Kirfi,North East,Bauchi,Kirfi,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/2020,Female,all,WAEC,lga,Misau,North East,Bauchi,Misau,,,730,512,432,209,193,144,70.137,48.3796,92.3445,74.6114
2019/2020,Female,all,WAEC,lga,Ningi,North East,Bauchi,Ningi,,,664,399,399,160,151,138,60.0904,40.1003,94.375,91.3907
2019/2020,Female,all,WAEC,lga,Shira,North East,Bauchi,Shira,,,608,343,264,99,99,99,56.4145,37.5,100.0,100.0
