session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Akwanga,North Central,Nasarawa,Akwanga,,,787,524,490,181,168,164,66.582,36.9388,92.8177,97.619
2019/2020,Female,all,NABTEB,lga,Doma,North Central,Nasarawa,Doma,,,1056,703,669,247,223,204,66.572,36.9208,90.2834,91.4798
2019/2020,Female,all,NABTEB,lga,Keffi,North Central,Nasarawa,Keffi,,,948,633,594,217,206,185,66.7722,36.532,94.9309,89.8058
2019/2020,Female,all,NABTEB,lga,Lafia,North Central,Nasarawa,Lafia,,,898,599,556,205,191,175,66.7038,36.8705,93.1707,91.623
2019/2020,Female,all,NABTEB,lga,Nasarawa,North Central,Nasarawa,Nasarawa,,,1034,689,637,234,207,191,66.6344,36.7347,88.4615,92.2705
2019/2020,Female,all,NECO,lga,Akwanga,North Central,Nasarawa,Akwanga,,,1450,872,919,331,350,322,60.1379,36.0174,105.7402,92.0
2019/2020,Female,all,NECO,lga,Doma,North Central,Nasarawa,Doma,,,1997,1201,1249,452,462,435,60.1402,36.189,102.2124,94.1558
2019/2020,Female,all,NECO,lga,Keffi,North Central,Nasarawa,Keffi,,,1749,1052,1072,385,408,369,60.1487,35.9142,105.974,90.4412
2019/2020,Female,all,NECO,lga,Lafia,North Central,Nasarawa,Lafia,,,1646,991,1026,373,370,342,60.2066,36.3548,99.1957,92.4324
2019/2020,Female,all,NECO,lga,Nasarawa,North Central,Nasarawa,Nasarawa,,,1982,1194,1238,451,464,425,60.2422,36.4297,102.8825,91.5948
2019/2020,Female,all,WAEC,lga,Akwanga,North Central,Nasarawa,Akwanga,,,1852,1217,1164,422,454,415,65.7127,36.2543,107.5829,91.4097
2019/2020,Female,all,WAEC,lga,Doma,North Central,Nasarawa,Doma,,,2585,1692,1616,583,600,554,65.4545,36.0767,102.916,92.3333
2019/2020,Female,all,WAEC,lga,Keffi,North Central,Nasarawa,Keffi,,,2240,1472,1402,507,507,474,65.7143,36.1626,100.0,93.4911
2019/2020,Female,all,WAEC,lga,Lafia,North Central,Nasarawa,Lafia,,,2136,1402,1324,478,499,459,65.6367,36.1027,104.3933,91.984
2019/2020,Female,all,WAEC,lga,Nasarawa,North Central,Nasarawa,Nasarawa,,,2496,1638,1549,554,567,519,65.625,35.765,102.3466,91.5344
2019/2020,Female,disabled,NABTEB,lga,Akwanga,North Central,Nasarawa,Akwanga,,,111,74,62,25,40,44,66.6667,40.3226,160.0,110.0
2019/2020,Female,disabled,NABTEB,lga,Doma,North Central,Nasarawa,Doma,,,122,81,68,28,37,44,66.3934,41.1765,132.1429,118.9189
2019/2020,Female,disabled,NABTEB,lga,Keffi,North Central,Nasarawa,Keffi,,,119,79,64,26,48,48,66.3866,40.625,184.6154,100.0
2019/2020,Female,disabled,NABTEB,lga,Lafia,North Central,Nasarawa,Lafia,,,123,82,69,28,48,48,66.6667,40.5797,171.4286,100.0
2019/2020,Female,disabled,NABTEB,lga,Nasarawa,North Central,Nasarawa,Nasarawa,,,121,80,66,27,31,40,66.1157,40.9091,114.8148,129.0323
2019/2020,Female,disabled,NECO,lga,Akwanga,North Central,Nasarawa,Akwanga,,,161,96,96,36,49,51,59.6273,37.5,136.1111,104.0816
2019/2020,Female,disabled,NECO,lga,Doma,North Central,Nasarawa,Doma,,,205,121,121,46,36,48,59.0244,38.0165,78.2609,133.3333
2019/2020,Female,disabled,NECO,lga,Keffi,North Central,Nasarawa,Keffi,,,205,122,122,44,51,51,59.5122,36.0656,115.9091,100.0
2019/2020,Female,disabled,NECO,lga,Lafia,North Central,Nasarawa,Lafia,,,185,110,106,41,45,51,59.4595,38.6792,109.7561,113.3333
2019/2020,Female,disabled,NECO,lga,Nasarawa,North Central,Nasarawa,Nasarawa,,,205,122,118,45,44,48,59.5122,38.1356,97.7778,109.0909
2019/2020,Female,disabled,WAEC,lga,Akwanga,North Central,Nasarawa,Akwanga,,,194,128,112,41,42,44,65.9794,36.6071,102.439,104.7619
2019/2020,Female,disabled,WAEC,lga,Doma,North Central,Nasarawa,Doma,,,264,172,150,55,48,52,65.1515,36.6667,87.2727,108.3333
