session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,lga,Abak,South South,Akwa Ibom,Abak,,,1119,770,690,244,243,212,68.8114,35.3623,99.5902,87.2428
2019/2020,Female,all,NABTEB,lga,Eket,South South,Akwa Ibom,Eket,,,1043,718,666,237,258,245,68.8399,35.5856,108.8608,94.9612
2019/2020,Female,all,NABTEB,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,1135,779,725,257,277,245,68.6344,35.4483,107.7821,88.4477
2019/2020,Female,all,NABTEB,lga,Oron,South South,Akwa Ibom,Oron,,,1129,776,700,248,259,246,68.7334,35.4286,104.4355,94.9807
2019/2020,Female,all,NABTEB,lga,Uyo,South South,Akwa Ibom,Uyo,,,1039,715,649,230,243,222,68.8162,35.4391,105.6522,91.358
2019/2020,Female,all,NECO,lga,Abak,South South,Akwa Ibom,Abak,,,2083,1280,1289,461,437,400,61.4498,35.7642,94.7939,91.5332
2019/2020,Female,all,NECO,lga,Eket,South South,Akwa Ibom,Eket,,,2015,1238,1282,458,439,395,61.4392,35.7254,95.8515,89.9772
2019/2020,Female,all,NECO,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,2099,1288,1340,479,478,439,61.3626,35.7463,99.7912,91.841
2019/2020,Female,all,NECO,lga,Oron,South South,Akwa Ibom,Oron,,,2095,1288,1315,471,450,412,61.4797,35.8175,95.5414,91.5556
2019/2020,Female,all,NECO,lga,Uyo,South South,Akwa Ibom,Uyo,,,1918,1178,1182,423,392,362,61.4181,35.7868,92.6714,92.3469
2019/2020,Female,all,WAEC,lga,Abak,South South,Akwa Ibom,Abak,,,2636,1763,1632,581,518,468,66.8816,35.6005,89.1566,90.3475
2019/2020,Female,all,WAEC,lga,Eket,South South,Akwa Ibom,Eket,,,2541,1699,1614,575,564,503,66.8634,35.6258,98.087,89.1844
2019/2020,Female,all,WAEC,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,2710,1812,1699,607,594,542,66.8635,35.7269,97.8583,91.2458
2019/2020,Female,all,WAEC,lga,Oron,South South,Akwa Ibom,Oron,,,2657,1777,1699,604,582,524,66.8799,35.5503,96.3576,90.0344
2019/2020,Female,all,WAEC,lga,Uyo,South South,Akwa Ibom,Uyo,,,2543,1700,1570,559,515,459,66.8502,35.6051,92.1288,89.1262
2019/2020,Female,disabled,NABTEB,lga,Abak,South South,Akwa Ibom,Abak,,,144,104,78,26,48,55,72.2222,33.3333,184.6154,114.5833
2019/2020,Female,disabled,NABTEB,lga,Eket,South South,Akwa Ibom,Eket,,,141,102,78,26,52,60,72.3404,33.3333,200.0,115.3846
2019/2020,Female,disabled,NABTEB,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,152,109,87,29,48,55,71.7105,33.3333,165.5172,114.5833
2019/2020,Female,disabled,NABTEB,lga,Oron,South South,Akwa Ibom,Oron,,,141,102,81,27,48,59,72.3404,33.3333,177.7778,122.9167
2019/2020,Female,disabled,NABTEB,lga,Uyo,South South,Akwa Ibom,Uyo,,,135,98,75,25,49,60,72.5926,33.3333,196.0,122.449
2019/2020,Female,disabled,NECO,lga,Abak,South South,Akwa Ibom,Abak,,,231,141,130,49,48,48,61.039,37.6923,97.9592,100.0
2019/2020,Female,disabled,NECO,lga,Eket,South South,Akwa Ibom,Eket,,,213,129,133,50,48,48,60.5634,37.594,96.0,100.0
2019/2020,Female,disabled,NECO,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,246,149,149,55,51,52,60.5691,36.9128,92.7273,101.9608
2019/2020,Female,disabled,NECO,lga,Oron,South South,Akwa Ibom,Oron,,,225,138,138,51,48,48,61.3333,36.9565,94.1176,100.0
2019/2020,Female,disabled,NECO,lga,Uyo,South South,Akwa Ibom,Uyo,,,210,128,118,44,48,48,60.9524,37.2881,109.0909,100.0
2019/2020,Female,disabled,WAEC,lga,Abak,South South,Akwa Ibom,Abak,,,291,192,170,60,48,52,65.9794,35.2941,80.0,108.3333
2019/2020,Female,disabled,WAEC,lga,Eket,South South,Akwa Ibom,Eket,,,282,186,167,59,45,48,65.9574,35.3293,76.2712,106.6667
2019/2020,Female,disabled,WAEC,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,299,198,176,64,48,52,66.2207,36.3636,75.0,108.3333
2019/2020,Female,disabled,WAEC,lga,Oron,South South,Akwa Ibom,Oron,,,294,194,180,63,45,48,65.9864,35.0,71.4286,106.6667
2019/2020,Female,disabled,WAEC,lga,Uyo,South South,Akwa Ibom,Uyo,,,266,174,156,55,42,44,65.4135,35.2564,76.3636,104.7619
2019/2020,Male,all,NABTEB,lga,Abak,South South,Akwa Ibom,Abak,,,1202,822,787,277,280,251,68.386,35.197,101.083,89.6429
2019/2020,Male,all,NABTEB,lga,Eket,South South,Akwa Ibom,Eket,,,1035,710,690,243,276,262,68.599,35.2174,113.5802,94.9275
2019/2020,Male,all,NABTEB,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,1204,825,827,291,303,282,68.5216,35.1874,104.1237,93.0693
2019/2020,Male,all,NABTEB,lga,Oron,South South,Akwa Ibom,Oron,,,1177,805,784,277,291,265,68.3942,35.3316,105.0542,91.0653
2019/2020,Male,all,NABTEB,lga,Uyo,South South,Akwa Ibom,Uyo,,,1038,711,681,241,257,227,68.4971,35.3891,106.639,88.3268
2019/2020,Male,all,NECO,lga,Abak,South South,Akwa Ibom,Abak,,,2301,1415,1508,537,486,445,61.495,35.6101,90.5028,91.5638
2019/2020,Male,all,NECO,lga,Eket,South South,Akwa Ibom,Eket,,,2030,1249,1359,485,475,434,61.5271,35.688,97.9381,91.3684
2019/2020,Male,all,NECO,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,2184,1342,1474,526,516,472,61.4469,35.6852,98.0989,91.4729
2019/2020,Male,all,NECO,lga,Oron,South South,Akwa Ibom,Oron,,,2154,1322,1435,512,504,457,61.3742,35.6794,98.4375,90.6746
2019/2020,Male,all,NECO,lga,Uyo,South South,Akwa Ibom,Uyo,,,1900,1166,1268,451,433,399,61.3684,35.5678,96.0089,92.1478
2019/2020,Male,all,WAEC,lga,Abak,South South,Akwa Ibom,Abak,,,2896,1940,1896,677,604,554,66.989,35.7068,89.2171,91.7219
2019/2020,Male,all,WAEC,lga,Eket,South South,Akwa Ibom,Eket,,,2528,1692,1722,612,611,545,66.9304,35.5401,99.8366,89.198
2019/2020,Male,all,WAEC,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,2811,1880,1855,660,633,565,66.8801,35.5795,95.9091,89.2575
2019/2020,Male,all,WAEC,lga,Oron,South South,Akwa Ibom,Oron,,,2818,1888,1902,676,640,582,66.9979,35.5415,94.6746,90.9375
2019/2020,Male,all,WAEC,lga,Uyo,South South,Akwa Ibom,Uyo,,,2493,1669,1653,586,560,498,66.9475,35.4507,95.5631,88.9286
2019/2020,Male,disabled,NABTEB,lga,Abak,South South,Akwa Ibom,Abak,,,149,104,87,29,50,51,69.7987,33.3333,172.4138,102.0
2019/2020,Male,disabled,NABTEB,lga,Eket,South South,Akwa Ibom,Eket,,,139,100,78,26,55,62,71.9424,33.3333,211.5385,112.7273
2019/2020,Male,disabled,NABTEB,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,152,107,90,30,50,59,70.3947,33.3333,166.6667,118.0
2019/2020,Male,disabled,NABTEB,lga,Oron,South South,Akwa Ibom,Oron,,,134,95,78,26,50,58,70.8955,33.3333,192.3077,116.0
2019/2020,Male,disabled,NABTEB,lga,Uyo,South South,Akwa Ibom,Uyo,,,131,94,72,24,45,48,71.7557,33.3333,187.5,106.6667
2019/2020,Male,disabled,NECO,lga,Abak,South South,Akwa Ibom,Abak,,,258,158,163,59,48,56,61.2403,36.1963,81.3559,116.6667
2019/2020,Male,disabled,NECO,lga,Eket,South South,Akwa Ibom,Eket,,,228,141,142,52,48,60,61.8421,36.6197,92.3077,125.0
2019/2020,Male,disabled,NECO,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,246,151,150,55,48,56,61.3821,36.6667,87.2727,116.6667
2019/2020,Male,disabled,NECO,lga,Oron,South South,Akwa Ibom,Oron,,,238,144,147,53,44,46,60.5042,36.0544,83.0189,104.5455
2019/2020,Male,disabled,NECO,lga,Uyo,South South,Akwa Ibom,Uyo,,,203,123,129,47,44,55,60.5911,36.4341,93.617,125.0
2019/2020,Male,disabled,WAEC,lga,Abak,South South,Akwa Ibom,Abak,,,318,212,192,69,47,55,66.6667,35.9375,68.1159,117.0213
2019/2020,Male,disabled,WAEC,lga,Eket,South South,Akwa Ibom,Eket,,,284,190,185,66,63,63,66.9014,35.6757,95.4545,100.0
2019/2020,Male,disabled,WAEC,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,328,218,202,72,59,60,66.4634,35.6436,81.9444,101.6949
2019/2020,Male,disabled,WAEC,lga,Oron,South South,Akwa Ibom,Oron,,,297,198,187,65,51,60,66.6667,34.7594,78.4615,117.6471
2019/2020,Male,disabled,WAEC,lga,Uyo,South South,Akwa Ibom,Uyo,,,268,180,169,58,45,48,67.1642,34.3195,77.5862,106.6667
2020/2021,Female,all,NABTEB,lga,Abak,South South,Akwa Ibom,Abak,,,1182,831,733,276,252,225,70.3046,37.6535,91.3043,89.2857
2020/2021,Female,all,NABTEB,lga,Eket,South South,Akwa Ibom,Eket,,,1110,780,720,275,265,238,70.2703,38.1944,96.3636,89.8113
