session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Kusugu,North West,Katsina,Daura,Kusugu,,28.0,1,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Madobi B,North West,Katsina,Daura,Madobi B,,102.0,5,20.4
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Dabawa,North West,Katsina,Dutsinma,Dabawa,,136.0,6,22.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,74.0,5,14.8
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Goya,North West,Katsina,Funtua,Goya,,62.0,3,20.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Kangiwa,North West,Katsina,Katsina,Kangiwa,,90.0,4,22.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Shinkafi 'A,North West,Katsina,Katsina,Shinkafi 'A,,51.0,2,25.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Shinkafi 'B',North West,Katsina,Katsina,Shinkafi 'B',,74.0,4,18.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Bamble,North West,Katsina,Mashi,Bamble,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Kusugu,North West,Katsina,Daura,Kusugu,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Dabawa,North West,Katsina,Dutsinma,Dabawa,,51.0,2,25.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Dutsin-Ma A,North West,Katsina,Dutsinma,Dutsin-Ma A,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,17.0,2,8.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Goya,North West,Katsina,Funtua,Goya,,40.0,2,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Kangiwa,North West,Katsina,Katsina,Kangiwa,,46.0,3,15.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Shinkafi 'A,North West,Katsina,Katsina,Shinkafi 'A,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Shinkafi 'B',North West,Katsina,Katsina,Shinkafi 'B',,40.0,2,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Bamble,North West,Katsina,Mashi,Bamble,,68.0,3,22.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Kusugu,North West,Katsina,Daura,Kusugu,,40.0,3,13.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Madobi B,North West,Katsina,Daura,Madobi B,,40.0,2,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Dutsin-Ma A,North West,Katsina,Dutsinma,Dutsin-Ma A,,56.0,2,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,23.0,1,23.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Goya,North West,Katsina,Funtua,Goya,,28.0,1,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Kangiwa,North West,Katsina,Katsina,Kangiwa,,23.0,1,23.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Shinkafi 'A,North West,Katsina,Katsina,Shinkafi 'A,,74.0,5,14.8
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Shinkafi 'B',North West,Katsina,Katsina,Shinkafi 'B',,40.0,2,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Kusugu,North West,Katsina,Daura,Kusugu,,28.0,1,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,23.0,1,23.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Kangiwa,North West,Katsina,Katsina,Kangiwa,,28.0,1,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Shinkafi 'B',North West,Katsina,Katsina,Shinkafi 'B',,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Bamble,North West,Katsina,Mashi,Bamble,,23.0,1,23.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Kusugu,North West,Katsina,Daura,Kusugu,,91.0,5,18.2
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Madobi B,North West,Katsina,Daura,Madobi B,,56.0,2,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Dabawa,North West,Katsina,Dutsinma,Dabawa,,45.0,2,22.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Dutsin-Ma A,North West,Katsina,Dutsinma,Dutsin-Ma A,,28.0,1,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,29.0,2,14.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Goya,North West,Katsina,Funtua,Goya,,125.0,5,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Shinkafi 'A,North West,Katsina,Katsina,Shinkafi 'A,,90.0,4,22.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Bamble,North West,Katsina,Mashi,Bamble,,23.0,1,23.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Kusugu,North West,Katsina,Daura,Kusugu,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Madobi B,North West,Katsina,Daura,Madobi B,,28.0,1,28.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Dabawa,North West,Katsina,Dutsinma,Dabawa,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Dutsin-Ma A,North West,Katsina,Dutsinma,Dutsin-Ma A,,51.0,2,25.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,11.0,1,11.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Kangiwa,North West,Katsina,Katsina,Kangiwa,,51.0,2,25.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Shinkafi 'A,North West,Katsina,Katsina,Shinkafi 'A,,11.0,1,11.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Shinkafi 'B',North West,Katsina,Katsina,Shinkafi 'B',,23.0,1,23.0
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Madobi B,North West,Katsina,Daura,Madobi B,,268.0,8,33.5
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,121.0,4,30.25
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Dukke,North West,Katsina,Funtua,Dukke,,492.0,16,30.75
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Doguru 'A',North West,Katsina,Mashi,Doguru 'A',,225.0,7,32.1429
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Doguru 'B',North West,Katsina,Mashi,Doguru 'B',,121.0,4,30.25
