session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ado 'A' Idofin,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,,40.0,3,13.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ado 'C' Idolofin,South West,Ekiti,Ado Ekiti,Ado 'C' Idolofin,,8.0,1,8.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Efon I,South West,Ekiti,Efon,Efon I,,16.0,1,16.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Efon II,South West,Ekiti,Efon,Efon II,,16.0,1,16.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Efon III,South West,Ekiti,Efon,Efon III,,32.0,2,16.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,16.0,1,16.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,24.0,2,12.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,39.0,2,19.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,64.0,3,21.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,32.0,2,16.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ado 'A' Idofin,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,,24.0,1,24.0
