session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ikurav Tiev II,North Central,Benue,Katsina-Ala,Ikurav Tiev II,,29.0,1,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Iwar(Tongov I),North Central,Benue,Katsina-Ala,Iwar(Tongov I),,29.0,1,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Agan,North Central,Benue,Makurdi,Agan,,19.0,1,19.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Bar,North Central,Benue,Makurdi,Bar,,67.0,4,16.75
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Adoka-Haje,North Central,Benue,Otukpo,Adoka-Haje,,58.0,2,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Adoka-Icho,North Central,Benue,Otukpo,Adoka-Icho,,29.0,1,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Allan,North Central,Benue,Otukpo,Allan,,19.0,1,19.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Mbagbam,North Central,Benue,Vandeikya,Mbagbam,,29.0,1,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Mbagbera,North Central,Benue,Vandeikya,Mbagbera,,19.0,1,19.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,29.0,1,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gboko East,North Central,Benue,Gboko,Gboko East,,29.0,1,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ikurav Tiev II,North Central,Benue,Katsina-Ala,Ikurav Tiev II,,86.0,3,28.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Iwar(Tongov I),North Central,Benue,Katsina-Ala,Iwar(Tongov I),,58.0,2,29.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Agan,North Central,Benue,Makurdi,Agan,,28.0,2,14.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Bar,North Central,Benue,Makurdi,Bar,,39.0,2,19.5
