session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,76.0,4,19.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Gbagura,South West,Ogun,Abeokuta North,Gbagura,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ijade/Imepe II,South West,Ogun,Ijebu Ode,Ijade/Imepe II,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Abalabi,South West,Ogun,Sagamu,Abalabi,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Abigi,South West,Ogun,Sagamu,Abigi,,16.0,2,8.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ado Odo I,South West,Ogun,Sagamu,Ado Odo I,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,50.0,2,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gbagura,South West,Ogun,Abeokuta North,Gbagura,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ake II,South West,Ogun,Abeokuta South,Ake II,,151.0,7,21.5714
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ijade/Imepe II,South West,Ogun,Ijebu Ode,Ijade/Imepe II,,101.0,5,20.2
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Akaka,South West,Ogun,Remo North,Akaka,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ayegbami,South West,Ogun,Remo North,Ayegbami,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Abigi,South West,Ogun,Sagamu,Abigi,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ado Odo I,South West,Ogun,Sagamu,Ado Odo I,,51.0,3,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,59.0,3,19.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Gbagura,South West,Ogun,Abeokuta North,Gbagura,,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Ago-Egun/Ijesa,South West,Ogun,Abeokuta South,Ago-Egun/Ijesa,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Ake II,South West,Ogun,Abeokuta South,Ake II,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Ijade/Imepe II,South West,Ogun,Ijebu Ode,Ijade/Imepe II,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Akaka,South West,Ogun,Remo North,Akaka,,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Ayegbami,South West,Ogun,Remo North,Ayegbami,,67.0,4,16.75
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Abalabi,South West,Ogun,Sagamu,Abalabi,,100.0,4,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Ado Odo I,South West,Ogun,Sagamu,Ado Odo I,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Gbagura,South West,Ogun,Abeokuta North,Gbagura,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Ijade/Imepe II,South West,Ogun,Ijebu Ode,Ijade/Imepe II,,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Akaka,South West,Ogun,Remo North,Akaka,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Abalabi,South West,Ogun,Sagamu,Abalabi,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Abigi,South West,Ogun,Sagamu,Abigi,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Ado Odo I,South West,Ogun,Sagamu,Ado Odo I,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Ago-Egun/Ijesa,South West,Ogun,Abeokuta South,Ago-Egun/Ijesa,,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Akaka,South West,Ogun,Remo North,Akaka,,50.0,2,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Ayegbami,South West,Ogun,Remo North,Ayegbami,,17.0,1,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Abigi,South West,Ogun,Sagamu,Abigi,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,ward,Ado Odo I,South West,Ogun,Sagamu,Ado Odo I,,25.0,1,25.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Ago-Egun/Ijesa,South West,Ogun,Abeokuta South,Ago-Egun/Ijesa,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Ake II,South West,Ogun,Abeokuta South,Ake II,,34.0,2,17.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Ayegbami,South West,Ogun,Remo North,Ayegbami,,33.0,4,8.25
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Abigi,South West,Ogun,Sagamu,Abigi,,42.0,3,14.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,ward,Ado Odo I,South West,Ogun,Sagamu,Ado Odo I,,34.0,2,17.0
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Elega,South West,Ogun,Abeokuta North,Elega,,376.0,12,31.3333
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Ago-Egun/Ijesa,South West,Ogun,Abeokuta South,Ago-Egun/Ijesa,,290.0,9,32.2222
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Ijade/Imepe I,South West,Ogun,Ijebu Ode,Ijade/Imepe I,,188.0,6,31.3333
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Ijade/Imepe II,South West,Ogun,Ijebu Ode,Ijade/Imepe II,,342.0,10,34.2
2019/2020,Female,all,Private,JSS,,,Unqualified,ward,Ijasi/Idepo,South West,Ogun,Ijebu Ode,Ijasi/Idepo,,154.0,5,30.8
