session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Boku,North Central,Niger,Agaie,Boku,,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Dokodza,North Central,Niger,Bida,Dokodza,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,85.0,3,28.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Makera,North Central,Niger,Chanchaga,Makera,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Central,North Central,Niger,Kontagora,Central,,52.0,3,17.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Gabas,North Central,Niger,Kontagora,Gabas,,31.0,1,31.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Hashimi 'A',North Central,Niger,Suleja,Hashimi 'A',,42.0,2,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Baro,North Central,Niger,Agaie,Baro,,84.0,4,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Boku,North Central,Niger,Agaie,Boku,,94.0,4,23.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,10.0,1,10.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Dokodza,North Central,Niger,Bida,Dokodza,,84.0,4,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,32.0,1,32.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,84.0,4,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Makera,North Central,Niger,Chanchaga,Makera,,52.0,3,17.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Arewa,North Central,Niger,Kontagora,Arewa,,148.0,6,24.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Central,North Central,Niger,Kontagora,Central,,32.0,1,32.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gabas,North Central,Niger,Kontagora,Gabas,,21.0,1,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Hashimi 'A',North Central,Niger,Suleja,Hashimi 'A',,63.0,3,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Boku,North Central,Niger,Agaie,Boku,,32.0,1,32.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,21.0,1,21.0
