session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Maimadi,North East,Bauchi,Alkaleri,Maimadi,,36.0,2,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Pali,North East,Bauchi,Alkaleri,Pali,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Rahama,North East,Bauchi,Toro,Rahama,,9.0,1,9.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Tama,North East,Bauchi,Toro,Tama,,18.0,2,9.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Zalau / Rishi,North East,Bauchi,Toro,Zalau / Rishi,,36.0,2,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Tudun Wada East,North East,Bauchi,Warji,Tudun Wada East,,36.0,2,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Makawa,North East,Bauchi,Zaki,Makawa,,27.0,1,27.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,ward,Murmur North,North East,Bauchi,Zaki,Murmur North,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,18.0,3,6.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gar,North East,Bauchi,Alkaleri,Gar,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Rahama,North East,Bauchi,Toro,Rahama,,99.0,5,19.8
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Tama,North East,Bauchi,Toro,Tama,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Tiyin,North East,Bauchi,Warji,Tiyin,,9.0,1,9.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Alangawari / Kafin / Larabawa,North East,Bauchi,Zaki,Alangawari / Kafin / Larabawa,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Makawa,North East,Bauchi,Zaki,Makawa,,54.0,3,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Murmur North,North East,Bauchi,Zaki,Murmur North,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,36.0,2,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Maimadi,North East,Bauchi,Alkaleri,Maimadi,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Pali,North East,Bauchi,Alkaleri,Pali,,63.0,3,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Rahama,North East,Bauchi,Toro,Rahama,,63.0,3,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Tama,North East,Bauchi,Toro,Tama,,36.0,3,12.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Zalau / Rishi,North East,Bauchi,Toro,Zalau / Rishi,,46.0,2,23.0
