session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,NABTEB,College of Education,21,55,62,15,13,0,1.8,5,0,18,1
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,NECO,College of Education,44,115,111,31,26,0,1.8,10,0,31,2
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,WAEC,College of Education,53,138,151,37,35,0,1.8,13,0,44,1
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,NABTEB,College of Education,2,8,7,0,0,0,1.8,0,0,3,0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,NECO,College of Education,4,10,10,4,2,0,1.8,1,0,2,1
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,WAEC,College of Education,5,13,12,4,2,0,1.8,1,0,3,1
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,NABTEB,College of Education,25,65,67,15,13,0,1.8,6,0,20,1
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,NECO,College of Education,47,120,129,31,26,0,1.8,12,0,38,2
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,WAEC,College of Education,65,167,173,44,42,0,1.8,16,0,50,1
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Disabled,NABTEB,College of Education,3,8,7,0,0,0,1.8,1,0,3,0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Disabled,NECO,College of Education,4,10,10,4,2,0,1.8,1,0,2,1
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Disabled,WAEC,College of Education,6,16,15,4,2,0,1.8,1,0,4,1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,ALL,NABTEB,Polytechnic,47,122,131,35,29,0,1.7,11,0,37,3
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,ALL,NECO,Polytechnic,92,237,272,86,79,0,1.6,23,0,71,3
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,ALL,WAEC,Polytechnic,124,318,334,101,92,0,1.6,31,0,89,4
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Disabled,NABTEB,Polytechnic,4,10,12,4,2,0,1.7,1,0,3,1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Disabled,NECO,Polytechnic,7,18,22,7,4,0,1.6,2,0,6,1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Disabled,WAEC,Polytechnic,11,26,30,9,7,0,1.6,3,0,8,1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Male,ALL,NABTEB,Polytechnic,48,125,136,35,29,0,1.7,12,0,39,3
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Male,ALL,NECO,Polytechnic,97,250,282,66,59,0,1.6,24,0,84,3
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Male,ALL,WAEC,Polytechnic,126,325,361,79,77,0,1.6,31,0,110,1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Male,Disabled,NABTEB,Polytechnic,5,10,12,4,2,0,1.7,2,0,3,1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Male,Disabled,NECO,Polytechnic,8,21,22,7,4,0,1.6,2,0,6,1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Male,Disabled,WAEC,Polytechnic,11,26,30,9,7,0,1.6,3,0,8,1
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Female,ALL,NABTEB,University,23,60,59,55,53,0,1.6,6,0,0,1
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Female,ALL,NECO,University,36,91,94,79,70,0,1.5,9,0,2,4
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Female,ALL,WAEC,University,47,120,131,114,110,0,1.5,12,0,1,2
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Female,Disabled,NABTEB,University,2,8,7,13,11,0,1.6,0,0,0,1
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Female,Disabled,NECO,University,3,8,7,13,11,0,1.5,1,0,0,1
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Female,Disabled,WAEC,University,4,10,10,11,9,0,1.5,1,0,0,1
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Male,ALL,NABTEB,University,25,65,67,37,35,0,1.6,6,0,10,1
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Male,ALL,NECO,University,41,104,109,79,70,0,1.5,11,0,8,4
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Male,ALL,WAEC,University,50,130,136,101,92,0,1.5,12,0,9,4
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Male,Disabled,NABTEB,University,3,8,7,0,0,0,1.6,1,0,3,0
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Male,Disabled,NECO,University,3,8,7,13,11,0,1.5,1,0,0,1
2022/2023,North West,Katsina,Daura,Kusugu,"Government Secondary School, Kusugu",Male,Disabled,WAEC,University,4,10,12,11,9,0,1.5,1,0,0,1
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Female,ALL,NABTEB,College of Education,44,115,124,35,31,0,1.8,11,0,34,2
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Female,ALL,NECO,College of Education,82,208,223,68,59,0,1.8,21,0,59,4
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Female,ALL,WAEC,College of Education,99,258,272,77,73,0,1.8,24,0,75,2
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Female,Disabled,NABTEB,College of Education,2,8,7,4,2,0,1.8,0,0,1,1
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Female,Disabled,NECO,College of Education,6,13,15,4,2,0,1.8,2,0,4,1
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Female,Disabled,WAEC,College of Education,7,18,20,4,2,0,1.8,2,0,6,1
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Male,ALL,NABTEB,College of Education,50,130,136,29,24,0,1.8,12,0,42,2
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Male,ALL,NECO,College of Education,95,247,258,55,46,0,1.8,23,0,79,4
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Male,ALL,WAEC,College of Education,128,331,357,77,73,0,1.8,31,0,109,2
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Male,Disabled,NABTEB,College of Education,4,10,7,0,0,0,1.8,1,1,3,0
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Male,Disabled,NECO,College of Education,7,18,20,0,0,0,1.8,2,0,8,0
2022/2023,North West,Katsina,Daura,Kusugu,"Unity College, Daura",Male,Disabled,WAEC,College of Education,10,23,25,4,2,0,1.8,3,0,8,1
2022/2023,North West,Katsina,Daura,Madobi A,"Community Secondary School, Madobi A",Female,ALL,NABTEB,College of Education,29,75,89,29,24,0,1.8,7,0,23,2
