session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NABTEB,College of Education,10,24,29,5,4,0,1.8,6,0,21,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NECO,College of Education,17,44,51,7,6,0,1.8,9,0,39,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,WAEC,College of Education,22,57,64,10,9,0,1.8,13,0,48,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Disabled,NABTEB,College of Education,1,2,2,1,0,0,1.8,0,0,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Disabled,NECO,College of Education,2,5,4,1,0,0,1.8,1,0,3,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Disabled,WAEC,College of Education,3,7,8,1,0,0,1.8,1,0,6,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,ALL,NABTEB,College of Education,8,21,23,5,4,0,1.8,5,0,16,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,ALL,NECO,College of Education,14,36,42,6,5,0,1.8,8,0,32,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,ALL,WAEC,College of Education,19,50,54,9,8,0,1.8,11,0,40,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Disabled,NABTEB,College of Education,1,2,2,1,0,0,1.8,0,0,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Disabled,NECO,College of Education,1,3,4,1,0,0,1.8,1,0,3,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Disabled,WAEC,College of Education,2,6,6,0,0,0,1.8,1,0,5,0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,ALL,NABTEB,College of Education,9,22,24,4,3,0,1.8,5,0,18,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,ALL,NECO,College of Education,16,41,47,6,5,0,1.8,9,0,37,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,ALL,WAEC,College of Education,19,50,55,9,8,0,1.8,11,0,41,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,2,0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Disabled,NECO,College of Education,1,3,3,0,0,0,1.8,0,0,3,0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Disabled,WAEC,College of Education,1,3,4,0,0,0,1.8,1,0,4,0
