session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NABTEB,Polytechnic,71,182,196,8,6,0,1.7,25,0,106,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NECO,Polytechnic,137,353,403,16,14,0,1.6,47,0,218,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,WAEC,Polytechnic,175,452,509,20,19,0,1.6,61,0,275,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,NABTEB,Polytechnic,8,20,21,2,0,0,1.7,3,0,11,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,NECO,Polytechnic,9,22,27,2,0,0,1.6,3,0,14,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,WAEC,Polytechnic,11,28,37,2,0,0,1.6,4,0,20,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,NABTEB,Polytechnic,57,147,166,8,6,0,1.7,20,0,89,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,NECO,Polytechnic,97,249,288,13,11,0,1.6,34,0,155,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,WAEC,Polytechnic,138,355,382,16,14,0,1.6,48,0,206,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,NABTEB,Polytechnic,7,19,18,2,0,0,1.7,2,0,9,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,NECO,Polytechnic,7,19,25,2,0,0,1.6,3,0,13,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,WAEC,Polytechnic,7,19,23,2,0,0,1.6,3,0,12,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NABTEB,University,74,190,210,41,39,0,1.6,26,0,93,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NECO,University,153,394,442,94,79,21,1.5,54,0,190,10
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,WAEC,University,160,411,461,90,88,0,1.5,56,0,204,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,NABTEB,University,8,20,21,8,6,0,1.6,3,0,7,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,NECO,University,11,28,27,6,5,0,1.5,4,0,11,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,WAEC,University,11,28,37,6,5,0,1.5,4,0,17,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,NABTEB,University,67,173,191,41,39,0,1.6,24,0,82,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,NECO,University,119,307,331,64,58,0,1.5,41,0,146,4
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,WAEC,University,153,396,422,99,90,0,1.5,53,0,176,6
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,NABTEB,University,7,19,18,8,6,0,1.6,2,0,5,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,NECO,University,9,24,23,6,5,0,1.5,3,0,9,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Comprehensive High School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,WAEC,University,11,30,32,6,5,0,1.5,3,0,14,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NABTEB,University,94,243,279,60,53,0,1.6,32,0,120,4
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NECO,University,172,444,479,104,97,0,1.5,60,0,205,4
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,WAEC,University,254,654,764,171,162,0,1.5,88,0,323,6
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,NABTEB,University,8,20,21,8,6,0,1.6,3,0,7,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,NECO,University,9,22,27,6,5,0,1.5,3,0,11,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,WAEC,University,16,41,46,6,5,0,1.5,6,0,22,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,NABTEB,University,95,245,288,71,64,0,1.6,33,0,118,4
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,NECO,University,153,396,449,112,97,21,1.5,53,0,183,9
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,WAEC,University,259,669,748,179,162,21,1.5,90,0,309,11
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,NABTEB,University,7,19,18,8,6,0,1.6,2,0,5,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,NECO,University,9,24,32,6,5,0,1.5,3,0,14,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Government Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,WAEC,University,16,39,46,6,5,0,1.5,6,0,22,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Unity College, Alimosho",Female,ALL,NABTEB,Polytechnic,100,260,253,8,6,0,1.7,34,0,138,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Unity College, Alimosho",Female,ALL,NECO,Polytechnic,195,502,518,19,17,0,1.6,68,0,281,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Unity College, Alimosho",Female,ALL,WAEC,Polytechnic,222,572,613,20,19,0,1.6,77,0,334,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Unity College, Alimosho",Female,Disabled,NABTEB,Polytechnic,8,20,21,2,0,0,1.7,3,0,11,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Unity College, Alimosho",Female,Disabled,NECO,Polytechnic,11,28,27,2,0,0,1.6,4,0,14,1
