session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,NABTEB,College of Education,7,19,18,2,0,0,1.8,2,0,9,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,NECO,College of Education,16,40,45,3,2,0,1.8,6,0,23,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,WAEC,College of Education,18,47,47,5,3,0,1.8,6,0,23,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Disabled,NECO,College of Education,1,4,4,0,0,0,1.8,0,0,2,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Disabled,WAEC,College of Education,2,4,4,0,0,0,1.8,1,0,2,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,NABTEB,College of Education,8,21,20,2,0,0,1.8,3,0,10,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,NECO,College of Education,18,45,49,3,2,0,1.8,6,0,25,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,WAEC,College of Education,23,59,61,5,3,0,1.8,8,0,31,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,Disabled,NECO,College of Education,1,4,4,0,0,0,1.8,0,0,2,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,Disabled,WAEC,College of Education,2,4,4,0,0,0,1.8,1,0,2,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,ALL,NABTEB,College of Education,5,15,14,2,0,0,1.8,1,0,7,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,ALL,NECO,College of Education,10,27,29,3,2,0,1.8,3,0,14,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,ALL,WAEC,College of Education,15,40,40,5,3,0,1.8,5,0,19,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,Disabled,NECO,College of Education,1,2,2,0,0,0,1.8,1,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,Disabled,WAEC,College of Education,1,4,4,0,0,0,1.8,0,0,2,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,ALL,NABTEB,College of Education,6,17,16,2,0,0,1.8,2,0,8,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,ALL,NECO,College of Education,14,36,38,2,0,0,1.8,4,0,20,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,ALL,WAEC,College of Education,18,47,50,5,3,0,1.8,6,0,25,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,Disabled,NECO,College of Education,1,4,4,0,0,0,1.8,0,0,2,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,Disabled,WAEC,College of Education,2,4,5,0,0,0,1.8,1,0,3,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,ALL,NABTEB,Polytechnic,5,11,13,5,3,0,1.7,2,0,4,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,ALL,NECO,Polytechnic,9,25,25,8,6,0,1.6,3,0,9,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,ALL,WAEC,Polytechnic,11,28,32,10,8,0,1.6,4,0,12,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,Disabled,NECO,Polytechnic,1,2,2,2,0,0,1.6,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,Disabled,WAEC,Polytechnic,1,2,2,2,0,0,1.6,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,ALL,NABTEB,Polytechnic,5,13,16,5,3,0,1.7,2,0,6,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,ALL,NECO,Polytechnic,12,30,31,6,5,0,1.6,4,0,13,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,ALL,WAEC,Polytechnic,12,32,34,10,8,0,1.6,4,0,13,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,Disabled,NECO,Polytechnic,1,2,2,0,0,0,1.6,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,Disabled,WAEC,Polytechnic,1,2,4,2,0,0,1.6,1,0,1,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,ALL,NABTEB,Polytechnic,4,9,11,5,3,0,1.7,1,0,3,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,ALL,NECO,Polytechnic,8,19,22,10,8,0,1.6,3,0,6,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,ALL,WAEC,Polytechnic,10,25,29,11,10,0,1.6,4,0,9,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,Disabled,NABTEB,Polytechnic,1,2,2,2,0,0,1.7,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,Disabled,NECO,Polytechnic,1,2,2,2,0,0,1.6,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,Disabled,WAEC,Polytechnic,1,2,2,2,0,0,1.6,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,ALL,NABTEB,Polytechnic,5,11,14,3,2,0,1.7,2,0,6,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,ALL,NECO,Polytechnic,9,25,29,10,8,0,1.6,3,0,10,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,ALL,WAEC,Polytechnic,12,30,36,13,11,0,1.6,4,0,12,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,Disabled,NABTEB,Polytechnic,1,2,2,2,0,0,1.7,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,Disabled,NECO,Polytechnic,1,2,2,2,0,0,1.6,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,Disabled,WAEC,Polytechnic,1,2,2,2,0,0,1.6,0,0,0,1
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,ALL,NABTEB,College of Education,4,11,11,2,0,0,1.8,1,0,5,1
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,ALL,NECO,College of Education,8,19,22,3,2,0,1.8,3,0,10,1
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,ALL,WAEC,College of Education,10,25,27,3,2,0,1.8,4,0,13,1
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,Disabled,NECO,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,Disabled,WAEC,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,ALL,NABTEB,College of Education,5,13,13,2,0,0,1.8,1,0,6,1
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,ALL,NECO,College of Education,8,21,25,3,2,0,1.8,3,0,12,1
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,ALL,WAEC,College of Education,12,32,34,3,2,0,1.8,4,0,17,1
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
2022/2023,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,Disabled,NECO,College of Education,1,2,2,0,0,0,1.8,0,0,1,0
