session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,NABTEB,Polytechnic,37,96,100,32,26,12,1.7,22,0,61,7
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,NECO,Polytechnic,70,179,194,49,47,0,1.6,41,0,133,2
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,WAEC,Polytechnic,93,239,252,77,72,0,1.6,55,0,159,5
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,Disabled,NABTEB,Polytechnic,3,8,7,4,3,0,1.7,1,0,3,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,Disabled,NECO,Polytechnic,5,13,15,4,3,0,1.6,2,0,10,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,Disabled,WAEC,Polytechnic,6,15,16,4,3,0,1.6,4,0,11,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Male,ALL,NABTEB,Polytechnic,33,85,92,25,20,0,1.7,20,0,61,5
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Male,ALL,NECO,Polytechnic,62,160,180,61,52,12,1.6,36,0,107,10
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Male,ALL,WAEC,Polytechnic,81,209,225,81,79,0,1.6,47,0,128,3
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Male,Disabled,NABTEB,Polytechnic,2,4,5,0,0,0,1.7,2,0,5,0
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Male,Disabled,NECO,Polytechnic,4,11,12,4,3,0,1.6,2,0,8,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Male,Disabled,WAEC,Polytechnic,5,13,15,4,3,0,1.6,3,0,10,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Female,ALL,NABTEB,College of Education,47,121,143,26,23,0,1.8,28,0,109,3
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Female,ALL,NECO,College of Education,88,225,264,36,32,0,1.8,52,0,215,4
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Female,ALL,WAEC,College of Education,116,299,339,58,54,0,1.8,68,0,263,5
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Female,Disabled,NABTEB,College of Education,3,8,7,2,1,0,1.8,1,0,5,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Female,Disabled,NECO,College of Education,6,15,19,2,1,0,1.8,3,0,16,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Female,Disabled,WAEC,College of Education,6,15,20,2,1,0,1.8,4,0,17,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Male,ALL,NABTEB,College of Education,33,84,96,20,18,0,1.8,19,0,70,3
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Male,ALL,NECO,College of Education,63,162,194,36,32,0,1.8,37,0,147,4
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Male,ALL,WAEC,College of Education,84,217,254,56,54,0,1.8,49,0,184,2
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Male,Disabled,NABTEB,College of Education,2,4,5,2,1,0,1.8,2,0,3,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Male,Disabled,NECO,College of Education,4,10,10,2,1,0,1.8,2,0,8,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Comprehensive High School, Ago Oko",Male,Disabled,WAEC,College of Education,5,13,17,4,3,0,1.8,3,0,12,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Female,ALL,NABTEB,University,25,65,66,85,84,0,1.6,14,0,0,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Female,ALL,NECO,University,47,121,122,145,130,12,1.5,28,0,0,16
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Female,ALL,WAEC,University,64,165,171,201,172,25,1.5,38,0,0,31
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Female,Disabled,NABTEB,University,3,8,7,18,16,0,1.6,1,0,0,2
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Female,Disabled,NECO,University,3,9,7,18,16,0,1.5,2,1,0,2
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Female,Disabled,WAEC,University,5,13,14,14,13,0,1.5,2,0,0,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Male,ALL,NABTEB,University,20,50,55,85,84,0,1.6,12,0,0,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Male,ALL,NECO,University,38,100,106,171,156,12,1.5,22,0,0,16
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Male,ALL,WAEC,University,57,146,151,246,219,25,1.5,34,0,0,29
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Male,Disabled,NABTEB,University,2,5,5,18,16,0,1.6,1,0,0,2
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Male,Disabled,NECO,University,3,8,8,18,16,0,1.5,2,0,0,2
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Government Secondary School, Ago Oko",Male,Disabled,WAEC,University,4,10,11,14,13,0,1.5,3,0,0,1
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Unity College, Abeokuta North",Female,ALL,NABTEB,Polytechnic,43,112,129,44,39,0,1.7,26,0,76,6
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Unity College, Abeokuta North",Female,ALL,NECO,Polytechnic,90,231,264,93,81,12,1.6,53,0,154,12
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Unity College, Abeokuta North",Female,ALL,WAEC,Polytechnic,112,289,311,117,105,12,1.6,65,0,173,12
2022/2023,South West,Ogun,Abeokuta North,Ago Oko,"Unity College, Abeokuta North",Female,Disabled,NABTEB,Polytechnic,3,9,11,4,3,0,1.7,2,0,7,1
