session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,Gidan Mata Community Islamiyya Primary,Female,ALL,NABTEB,University,47,123,128,35,30,0,1.6,18,0,57,3
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,Indawa Nomadic Primary School,Female,ALL,NECO,University,84,216,248,66,61,0,1.5,33,0,111,4
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Junior Secondary School,  Tumin Jira",Female,ALL,WAEC,University,107,277,301,89,78,19,1.5,42,0,129,8
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Junior Secondary School, Shakato",Female,Disabled,NABTEB,University,3,8,8,6,4,0,1.6,1,0,1,1
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Junior Secondary School, Zago Bulangu",Female,Disabled,NECO,University,6,15,19,4,3,0,1.5,2,0,9,1
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,Kibawa Primary School,Female,Disabled,WAEC,University,7,18,20,4,3,0,1.5,3,0,10,1
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Kutugun Primary School, Kutugun",Male,ALL,NABTEB,University,50,128,140,28,22,0,1.6,20,0,70,4
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Majerin Zangoma Primary School, Majeri Zangoma",Male,ALL,NECO,University,88,228,244,54,53,0,1.5,35,0,118,1
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Matakuwa Primary School, Matakuwa",Male,ALL,WAEC,University,117,301,324,72,64,0,1.5,46,0,156,6
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Shakato Primary School, Shakato",Male,Disabled,NABTEB,University,4,10,9,0,0,0,1.6,2,0,6,0
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,Tsangaya Liman Bulangu,Male,Disabled,NECO,University,7,18,19,4,3,0,1.5,2,0,9,1
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,Yandarman Islamiyya Primary School,Male,Disabled,WAEC,University,10,25,28,4,3,0,1.5,4,0,15,1
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Zago Bulangu Primary School, Zago Bulangu",Female,ALL,NABTEB,University,19,47,48,7,6,0,1.6,8,0,26,1
2022/2023,North West,Jigawa,Kafin-Hausa,Zago,"Zago Kafi Primary School, Zago Kafi",Female,ALL,NECO,University,36,92,103,30,26,0,1.5,14,0,44,3
2022/2023,North West,Jigawa,Kaugawa,Arbus,Adimin Gaso Jss,Female,ALL,WAEC,University,43,111,126,35,32,0,1.5,17,0,56,2
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Arbus Primary School, Arbus",Female,Disabled,NABTEB,University,3,8,8,0,0,0,1.6,1,0,5,0
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Bultuwa Primary School, Bultuwa",Female,Disabled,NECO,University,3,8,11,4,3,0,1.5,1,0,4,1
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Danzabia Primary School, Danzibiya",Female,Disabled,WAEC,University,3,8,11,4,3,0,1.5,1,0,4,1
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Dusare Primary School, Dusare",Male,ALL,NABTEB,University,23,59,61,7,6,0,1.6,10,0,34,1
2022/2023,North West,Jigawa,Kaugawa,Arbus,Galdima Nomadic P.S,Male,ALL,NECO,University,40,103,109,18,14,0,1.5,16,0,57,3
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Gareru Primary School, Gareru",Male,ALL,WAEC,University,51,131,139,35,32,0,1.5,20,0,64,2
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Junior Secondary School, Arbus",Male,Disabled,NABTEB,University,3,8,9,0,0,0,1.6,1,0,6,0
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Junior Secondary School, Yelleman Hausawa",Male,Disabled,NECO,University,4,8,8,0,0,0,1.5,2,0,5,0
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Kogga Nomadicprimary School, Kogga Nomadic",Male,Disabled,WAEC,University,4,11,11,4,3,0,1.5,1,0,4,1
2022/2023,North West,Jigawa,Kaugawa,Arbus,Maikyari Islamiyya Primary  School Maikyari,Female,ALL,NABTEB,University,46,120,142,42,39,0,1.6,18,0,61,2
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Sabon Garin Kankanba Community Islamiya Primary School, Sabon Garin Kankaba",Female,ALL,NECO,University,80,206,243,78,73,0,1.5,32,0,100,3
2022/2023,North West,Jigawa,Kaugawa,Arbus,Sheik Modibo Nur And Pri School,Female,ALL,WAEC,University,93,239,282,95,83,19,1.5,37,0,112,9
2022/2023,North West,Jigawa,Kaugawa,Arbus,"Yarda Babba Primary School, Yarda Babba",Female,Disabled,NABTEB,University,4,10,11,6,4,0,1.6,1,0,3,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Albashi Community Primary School, Albashi",Female,Disabled,NECO,University,7,18,22,4,3,0,1.5,3,0,11,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Askandu Primary School, Askandu",Female,Disabled,WAEC,University,8,21,23,4,3,0,1.5,3,0,12,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Burtali Nomadic Primary School, Burtali",Male,ALL,NABTEB,University,60,156,185,48,47,0,1.6,24,0,84,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Darmomuwa Primary School, Darmomuwa",Male,ALL,NECO,University,105,270,294,66,61,0,1.5,41,0,141,4
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Fadimatuzzahra Islamiyyaprimary School, Yelleman Tijjani",Male,ALL,WAEC,University,129,332,363,107,97,19,1.5,50,0,156,7
2022/2023,North West,Jigawa,Kaugawa,Askandu,Garin Barde Primary School,Male,Disabled,NABTEB,University,5,11,12,6,4,0,1.6,2,0,4,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Girbobo Primary School, Girbobo",Male,Disabled,NECO,University,10,25,26,6,4,0,1.5,4,0,13,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Government Junior Secondary School, Kantamari",Male,Disabled,WAEC,University,11,28,33,10,8,0,1.5,5,0,14,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Junior Secondary School, Zaburan",Female,ALL,NABTEB,Polytechnic,50,131,137,8,7,0,1.7,19,0,82,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Kufitu Nomadic Primary School, Kufitu",Female,ALL,NECO,Polytechnic,103,267,285,18,17,0,1.6,40,0,170,1
2022/2023,North West,Jigawa,Kaugawa,Askandu,"Mainasara Nomadic Primary School, Mainasara",Female,ALL,WAEC,Polytechnic,122,316,325,22,21,0,1.6,48,0,193,1
