session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,NABTEB,Polytechnic,17,42,46,1,0,0,1.7,9,0,38,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,NECO,Polytechnic,33,84,93,1,0,0,1.6,17,0,78,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,WAEC,Polytechnic,44,114,122,2,1,0,1.6,23,0,102,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,1,0,2,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,Disabled,NECO,Polytechnic,2,6,6,0,0,0,1.6,1,0,5,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,Disabled,WAEC,Polytechnic,3,7,8,0,0,0,1.6,1,0,7,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,ALL,NABTEB,Polytechnic,30,78,86,1,0,0,1.7,15,0,72,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,ALL,NECO,Polytechnic,59,152,167,1,0,0,1.6,31,0,141,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,ALL,WAEC,Polytechnic,76,197,200,2,1,0,1.6,40,0,168,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,Disabled,NABTEB,Polytechnic,2,5,5,0,0,0,1.7,1,0,4,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,Disabled,NECO,Polytechnic,4,11,13,0,0,0,1.6,2,0,11,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,Disabled,WAEC,Polytechnic,5,14,15,0,0,0,1.6,3,0,13,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,ALL,NABTEB,Polytechnic,11,30,31,1,0,0,1.7,5,0,25,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,ALL,NECO,Polytechnic,17,45,48,1,0,0,1.6,9,0,40,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,ALL,WAEC,Polytechnic,25,63,68,1,0,0,1.6,13,0,57,1
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,1,0,2,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,Disabled,NECO,Polytechnic,1,2,4,0,0,0,1.6,1,0,3,0
