session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NABTEB,College of Education,32,83,88,18,14,0,1.8,9,0,31,2
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NECO,College of Education,61,157,174,35,31,0,1.8,17,0,61,2
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,WAEC,College of Education,82,210,220,43,41,0,1.8,23,0,78,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NABTEB,College of Education,2,5,4,2,0,0,1.8,1,0,1,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NECO,College of Education,4,9,9,2,0,0,1.8,1,0,3,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,WAEC,College of Education,5,12,13,2,0,0,1.8,2,0,5,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NABTEB,College of Education,35,90,103,18,14,0,1.8,10,0,38,2
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NECO,College of Education,77,201,218,35,31,0,1.8,21,0,81,2
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,WAEC,College of Education,98,254,284,45,43,0,1.8,27,0,106,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Disabled,NABTEB,College of Education,2,5,7,2,0,0,1.8,1,0,2,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Disabled,NECO,College of Education,4,12,13,2,0,0,1.8,1,0,5,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Disabled,WAEC,College of Education,6,14,15,2,0,0,1.8,2,0,6,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,ALL,NABTEB,University,17,44,46,80,78,0,1.6,5,0,0,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,ALL,NECO,University,31,79,84,250,231,26,1.5,9,0,0,10
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,ALL,WAEC,University,44,113,112,332,330,0,1.5,12,0,0,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Disabled,NABTEB,University,2,5,4,0,0,0,1.6,1,0,2,0
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Disabled,NECO,University,2,5,7,21,20,0,1.5,1,0,0,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Disabled,WAEC,University,3,7,7,21,20,0,1.5,1,0,0,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,ALL,NABTEB,University,21,53,55,117,115,0,1.6,6,0,0,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,ALL,NECO,University,37,95,103,176,152,26,1.5,11,0,0,12
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,ALL,WAEC,University,49,127,138,301,260,53,1.5,13,0,0,21
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Disabled,NABTEB,University,2,5,7,27,25,0,1.6,1,0,0,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Disabled,NECO,University,2,5,4,0,0,0,1.5,1,0,2,0
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Disabled,WAEC,University,3,7,7,21,20,0,1.5,1,0,0,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,ALL,NABTEB,Polytechnic,27,69,75,20,18,0,1.7,7,0,24,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,ALL,NECO,Polytechnic,50,129,127,31,27,0,1.6,14,0,42,2
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,ALL,WAEC,Polytechnic,73,187,200,53,51,0,1.6,21,0,64,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,NABTEB,Polytechnic,2,5,4,2,0,0,1.7,1,0,1,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,NECO,Polytechnic,4,9,9,2,0,0,1.6,1,0,3,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,WAEC,Polytechnic,5,12,13,2,0,0,1.6,2,0,5,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,ALL,NABTEB,Polytechnic,31,79,79,16,12,0,1.7,9,0,28,2
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,ALL,NECO,Polytechnic,60,155,165,29,27,0,1.6,17,0,60,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,ALL,WAEC,Polytechnic,77,199,200,39,37,0,1.6,21,0,71,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,NABTEB,Polytechnic,2,5,7,0,0,0,1.7,1,0,3,0
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,NECO,Polytechnic,4,9,9,0,0,0,1.6,1,0,4,0
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,WAEC,Polytechnic,5,12,13,2,0,0,1.6,2,0,5,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,ALL,NABTEB,College of Education,16,42,48,12,10,0,1.8,5,0,16,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,ALL,NECO,College of Education,29,74,88,20,18,0,1.8,9,0,30,1
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,ALL,WAEC,College of Education,37,97,103,23,20,0,1.8,10,0,35,2
