session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,NABTEB,Polytechnic,7,20,21,38,30,0,1.7,2,0,0,5
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,NECO,Polytechnic,14,37,41,63,60,0,1.6,4,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,WAEC,Polytechnic,18,45,51,75,63,22,1.6,6,0,0,7
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Disabled,NABTEB,Polytechnic,1,2,2,7,5,0,1.7,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Disabled,NECO,Polytechnic,1,4,4,5,3,0,1.6,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Disabled,WAEC,Polytechnic,1,4,4,5,3,0,1.6,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,ALL,NABTEB,Polytechnic,8,22,24,28,27,0,1.7,2,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,ALL,NECO,Polytechnic,15,39,43,63,60,0,1.6,5,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,ALL,WAEC,Polytechnic,18,47,52,83,82,0,1.6,6,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Disabled,NABTEB,Polytechnic,1,2,2,7,5,0,1.7,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Disabled,NECO,Polytechnic,1,4,4,5,3,0,1.6,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Disabled,WAEC,Polytechnic,2,4,4,5,3,0,1.6,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,ALL,NABTEB,University,13,33,36,122,120,0,1.6,4,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,ALL,NECO,University,29,73,75,346,320,22,1.5,10,0,0,16
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,ALL,WAEC,University,38,98,103,506,459,45,1.5,12,0,0,28
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Disabled,NABTEB,University,1,2,2,18,17,0,1.6,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Disabled,NECO,University,2,6,6,18,17,0,1.5,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Disabled,WAEC,University,3,8,9,37,35,0,1.5,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,ALL,NABTEB,University,16,43,45,153,127,22,1.6,5,0,0,16
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,ALL,NECO,University,31,81,84,320,286,45,1.5,10,0,0,20
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,ALL,WAEC,University,43,112,120,506,459,45,1.5,14,0,0,28
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,Disabled,NABTEB,University,1,4,4,23,20,0,1.6,0,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,Disabled,NECO,University,2,6,6,18,17,0,1.5,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,Disabled,WAEC,University,4,10,11,37,35,0,1.5,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,ALL,NABTEB,University,7,18,19,63,62,0,1.6,3,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,ALL,NECO,University,14,35,37,173,160,22,1.5,5,0,0,8
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,ALL,WAEC,University,21,53,54,211,200,22,1.5,7,0,0,7
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,Disabled,NABTEB,University,1,2,2,0,0,0,1.6,0,0,1,0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,Disabled,NECO,University,1,4,4,23,20,0,1.5,0,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,Disabled,WAEC,University,1,4,4,18,17,0,1.5,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,ALL,NABTEB,University,7,18,17,63,62,0,1.6,2,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,ALL,NECO,University,12,32,32,115,93,22,1.5,4,0,0,13
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,ALL,WAEC,University,18,45,49,211,200,22,1.5,6,0,0,7
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,Disabled,NABTEB,University,1,2,2,0,0,0,1.6,0,0,1,0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,Disabled,NECO,University,1,2,2,0,0,0,1.5,0,0,1,0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,Disabled,WAEC,University,1,4,4,18,17,0,1.5,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Female,ALL,NABTEB,Polytechnic,7,18,17,28,27,0,1.7,2,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Female,ALL,NECO,Polytechnic,12,32,32,35,30,0,1.6,4,0,0,3
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Female,ALL,WAEC,Polytechnic,15,39,39,42,35,0,1.6,5,0,0,4
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Female,Disabled,NABTEB,Polytechnic,1,2,2,7,5,0,1.7,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Female,Disabled,NECO,Polytechnic,1,2,2,0,0,0,1.6,0,0,1,0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Female,Disabled,WAEC,Polytechnic,1,2,2,0,0,0,1.6,0,0,1,0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Male,ALL,NABTEB,Polytechnic,9,22,24,18,17,0,1.7,3,0,2,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Male,ALL,NECO,Polytechnic,16,39,41,45,40,0,1.6,6,0,0,3
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Male,ALL,WAEC,Polytechnic,16,43,43,58,55,0,1.6,5,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Male,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,0,0,1,0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Male,Disabled,NECO,Polytechnic,1,2,2,7,5,0,1.6,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa",Male,Disabled,WAEC,Polytechnic,1,4,4,5,3,0,1.6,0,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Female,ALL,NABTEB,University,16,41,45,186,160,22,1.6,5,0,0,16
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Female,ALL,NECO,University,27,71,77,410,386,22,1.5,9,0,0,14
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Female,ALL,WAEC,University,33,85,94,479,433,45,1.5,11,0,0,28
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Female,Disabled,NABTEB,University,1,4,4,23,20,0,1.6,0,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Female,Disabled,NECO,University,2,6,6,23,20,0,1.5,1,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Female,Disabled,WAEC,University,3,8,9,37,35,0,1.5,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Male,ALL,NABTEB,University,16,41,45,186,160,22,1.6,5,0,0,16
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Male,ALL,NECO,University,30,77,86,410,386,22,1.5,10,0,0,14
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Male,ALL,WAEC,University,37,95,99,479,433,45,1.5,12,0,0,28
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Male,Disabled,NABTEB,University,1,4,4,23,20,0,1.6,0,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Male,Disabled,NECO,University,2,6,6,23,20,0,1.5,1,0,0,2
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II",Male,Disabled,WAEC,University,3,8,7,18,17,0,1.5,1,0,0,1
2022/2023,North Central,Kogi,Ankpa,Ankpa II,"Comprehensive High School, Ankpa II",Female,ALL,NABTEB,Polytechnic,9,24,28,48,40,0,1.7,3,0,0,5
