session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,ALL,NABTEB,College of Education,17,43,48,13,12,0,1.8,10,0,36,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,ALL,NECO,College of Education,37,96,103,30,29,0,1.8,25,0,74,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,ALL,WAEC,College of Education,52,133,141,37,33,0,1.8,34,0,106,4
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,Disabled,NABTEB,College of Education,2,4,4,2,1,0,1.8,1,0,2,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,Disabled,NECO,College of Education,3,8,8,2,1,0,1.8,1,0,7,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,Disabled,WAEC,College of Education,4,10,10,2,1,0,1.8,3,0,9,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,ALL,NABTEB,College of Education,18,45,45,9,8,0,1.8,12,0,37,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,ALL,NECO,College of Education,35,91,93,28,23,0,1.8,23,0,66,5
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,ALL,WAEC,College of Education,47,120,128,34,31,0,1.8,30,0,95,4
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,Disabled,NABTEB,College of Education,1,4,4,0,0,0,1.8,0,0,4,0
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,Disabled,NECO,College of Education,3,8,8,2,1,0,1.8,2,0,7,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,Disabled,WAEC,College of Education,4,10,10,2,1,0,1.8,2,0,9,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,ALL,NABTEB,College of Education,13,33,34,9,8,0,1.8,9,0,25,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,ALL,NECO,College of Education,26,67,73,18,17,0,1.8,17,0,56,2
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,ALL,WAEC,College of Education,34,87,95,23,23,0,1.8,23,0,73,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,Disabled,NABTEB,College of Education,2,4,4,2,1,0,1.8,1,0,2,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,Disabled,NECO,College of Education,2,7,8,2,1,0,1.8,1,0,6,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,Disabled,WAEC,College of Education,3,8,9,2,1,0,1.8,2,0,8,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,ALL,NABTEB,College of Education,14,36,39,9,8,0,1.8,9,0,31,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,ALL,NECO,College of Education,32,82,83,21,20,0,1.8,21,0,64,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,ALL,WAEC,College of Education,36,93,99,29,28,0,1.8,23,0,71,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,Disabled,NABTEB,College of Education,1,4,4,2,1,0,1.8,0,0,2,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,Disabled,NECO,College of Education,3,8,8,2,1,0,1.8,2,0,7,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,Disabled,WAEC,College of Education,3,9,9,2,1,0,1.8,2,0,8,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Government Secondary School, Lafiagi I",Female,ALL,NABTEB,University,13,33,34,38,38,0,1.6,9,0,0,1
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Government Secondary School, Lafiagi I",Female,ALL,NECO,University,23,60,65,77,69,11,1.5,15,0,0,9
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Government Secondary School, Lafiagi I",Female,ALL,WAEC,University,30,77,83,98,82,22,1.5,20,0,0,19
2022/2023,North Central,Kwara,Edu,Lafiagi I,"Government Secondary School, Lafiagi I",Female,Disabled,NABTEB,University,2,4,4,9,8,0,1.6,1,0,0,1
