session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,ALL,NABTEB,College of Education,12,32,34,4,3,0,1.8,4,0,18,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,ALL,NECO,College of Education,27,68,76,7,6,0,1.8,10,0,42,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,ALL,WAEC,College of Education,31,79,91,10,9,0,1.8,12,0,49,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Disabled,NABTEB,College of Education,2,3,3,1,0,0,1.8,1,0,1,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Disabled,NECO,College of Education,3,7,7,0,0,0,1.8,1,0,4,0
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Disabled,WAEC,College of Education,3,7,8,0,0,0,1.8,1,0,5,0
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,ALL,NABTEB,College of Education,12,31,36,4,3,0,1.8,5,0,19,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,ALL,NECO,College of Education,22,58,68,9,7,0,1.8,8,0,36,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,ALL,WAEC,College of Education,29,75,88,12,10,0,1.8,11,0,46,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Disabled,NABTEB,College of Education,1,3,3,1,0,0,1.8,0,0,1,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Disabled,NECO,College of Education,2,5,7,0,0,0,1.8,1,0,4,0
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Disabled,WAEC,College of Education,3,7,8,0,0,0,1.8,1,0,5,0
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,ALL,NABTEB,University,22,58,65,117,104,19,1.6,8,0,0,9
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,ALL,NECO,University,47,123,140,211,197,19,1.5,17,0,0,10
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,ALL,WAEC,University,59,152,181,360,334,19,1.5,22,0,0,18
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Disabled,NABTEB,University,2,3,3,13,12,0,1.6,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Disabled,NECO,University,4,9,10,10,9,0,1.5,2,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Disabled,WAEC,University,5,12,15,22,20,0,1.5,2,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,ALL,NABTEB,University,19,48,54,117,104,19,1.6,7,0,0,9
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,ALL,NECO,University,38,96,107,182,168,19,1.5,15,0,0,10
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,ALL,WAEC,University,47,121,140,304,286,19,1.5,17,0,0,12
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Disabled,NABTEB,University,2,3,5,10,9,0,1.6,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Disabled,NECO,University,3,9,10,10,9,0,1.5,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Disabled,WAEC,University,4,9,10,22,20,0,1.5,2,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,ALL,NABTEB,Polytechnic,24,63,70,33,29,0,1.7,9,0,20,3
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,ALL,NECO,Polytechnic,45,115,119,45,39,0,1.6,17,0,42,4
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,ALL,WAEC,Polytechnic,65,169,172,78,71,0,1.6,24,0,52,5
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Disabled,NABTEB,Polytechnic,2,3,3,3,1,0,1.7,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Disabled,NECO,Polytechnic,3,9,8,3,1,0,1.6,1,0,3,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Disabled,WAEC,Polytechnic,5,12,13,6,4,0,1.6,2,0,4,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,ALL,NABTEB,Polytechnic,24,62,68,33,29,0,1.7,9,0,19,3
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,ALL,NECO,Polytechnic,39,101,111,56,52,0,1.6,15,0,29,3
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,ALL,WAEC,Polytechnic,56,144,151,87,81,0,1.6,21,0,33,4
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Disabled,NABTEB,Polytechnic,2,5,5,3,1,0,1.7,0,0,1,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Disabled,NECO,Polytechnic,3,9,8,3,1,0,1.6,1,0,3,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Disabled,WAEC,Polytechnic,4,10,11,6,4,0,1.6,2,0,3,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,ALL,NABTEB,College of Education,12,31,33,3,1,0,1.8,4,0,18,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,ALL,NECO,College of Education,21,53,57,4,3,0,1.8,8,0,32,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,ALL,WAEC,College of Education,30,75,78,9,7,0,1.8,12,0,42,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Disabled,NABTEB,College of Education,2,3,3,1,0,0,1.8,1,0,1,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Disabled,NECO,College of Education,2,3,5,0,0,0,1.8,1,0,3,0
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Disabled,WAEC,College of Education,2,3,5,0,0,0,1.8,1,0,3,0
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,ALL,NABTEB,College of Education,9,22,23,3,1,0,1.8,4,0,12,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,ALL,NECO,College of Education,16,41,42,4,3,0,1.8,6,0,23,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,ALL,WAEC,College of Education,19,48,54,6,4,0,1.8,7,0,29,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Disabled,NABTEB,College of Education,1,3,3,1,0,0,1.8,0,0,1,1
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Disabled,NECO,College of Education,1,3,3,0,0,0,1.8,0,0,2,0
2022/2023,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Disabled,WAEC,College of Education,1,3,3,0,0,0,1.8,0,0,2,0
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,ALL,NABTEB,University,18,46,52,82,71,19,1.6,7,0,0,8
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,ALL,NECO,University,36,94,104,158,137,19,1.5,13,0,0,14
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,ALL,WAEC,University,44,113,127,228,208,19,1.5,17,0,0,14
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Disabled,NABTEB,University,2,3,3,13,12,0,1.6,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Disabled,NECO,University,2,5,5,10,9,0,1.5,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Disabled,WAEC,University,3,7,8,10,9,0,1.5,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,ALL,NABTEB,University,17,43,46,82,71,19,1.6,7,0,0,8
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,ALL,NECO,University,28,70,72,143,137,0,1.5,11,0,0,4
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,ALL,WAEC,University,35,89,96,185,175,19,1.5,13,0,0,7
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Disabled,NABTEB,University,1,3,3,13,12,0,1.6,0,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Disabled,NECO,University,2,3,5,10,9,0,1.5,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Disabled,WAEC,University,2,5,7,10,9,0,1.5,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,ALL,NABTEB,University,17,44,46,82,71,19,1.6,6,0,0,8
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,ALL,NECO,University,29,75,85,143,137,0,1.5,11,0,0,4
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,ALL,WAEC,University,39,101,111,200,189,19,1.5,15,0,0,7
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Disabled,NABTEB,University,2,3,3,13,12,0,1.6,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Disabled,NECO,University,2,3,5,10,9,0,1.5,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Disabled,WAEC,University,3,7,8,10,9,0,1.5,1,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,ALL,NABTEB,University,15,39,42,82,71,19,1.6,5,0,0,8
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,ALL,NECO,University,27,68,76,158,152,0,1.5,10,0,0,4
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,ALL,WAEC,University,37,94,111,228,223,0,1.5,14,0,0,4
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Disabled,NABTEB,University,1,3,3,13,12,0,1.6,0,0,0,1
2022/2023,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Disabled,NECO,University,2,3,5,10,9,0,1.5,1,0,0,1
