session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,NABTEB,University,154,397,406,69,53,16,1.6,70,0,242,13
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,NECO,University,290,748,782,135,118,16,1.5,130,0,463,14
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,WAEC,University,353,909,950,169,162,0,1.5,159,0,559,6
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,NABTEB,University,8,21,22,0,0,0,1.6,4,0,16,0
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,NECO,University,19,49,54,10,8,0,1.5,8,0,32,1
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,WAEC,University,24,61,71,8,7,0,1.5,11,0,45,1
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,NABTEB,University,142,366,364,69,53,16,1.6,64,0,211,13
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,NECO,University,262,675,686,123,101,16,1.5,118,0,403,18
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,WAEC,University,295,760,848,192,176,16,1.5,133,0,465,13
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,Disabled,NABTEB,University,9,24,20,0,0,0,1.6,4,2,15,0
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,Disabled,NECO,University,16,41,48,10,8,0,1.5,7,0,27,1
2022/2023,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,Disabled,WAEC,University,21,53,60,8,7,0,1.5,10,0,37,1
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,ALL,NABTEB,College of Education,57,146,159,18,17,0,1.8,26,0,102,1
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,ALL,NECO,College of Education,94,242,239,30,23,0,1.8,43,0,151,6
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,ALL,WAEC,College of Education,133,343,351,46,45,0,1.8,60,0,220,1
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,Disabled,NABTEB,College of Education,8,21,22,0,0,0,1.8,4,0,16,0
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,Disabled,NECO,College of Education,9,23,22,6,5,0,1.8,4,0,11,1
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,Disabled,WAEC,College of Education,12,30,30,5,4,0,1.8,5,0,18,1
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Male,ALL,NABTEB,College of Education,56,146,151,18,17,0,1.8,25,0,96,1
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Male,ALL,NECO,College of Education,97,250,268,37,31,0,1.8,44,0,166,5
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Male,ALL,WAEC,College of Education,143,367,396,40,36,0,1.8,65,0,258,3
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Male,Disabled,NABTEB,College of Education,7,19,19,0,0,0,1.8,3,0,14,0
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Male,Disabled,NECO,College of Education,10,26,26,6,5,0,1.8,4,0,14,1
2022/2023,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Male,Disabled,WAEC,College of Education,12,31,31,0,0,0,1.8,5,0,23,0
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Female,ALL,NABTEB,College of Education,151,387,439,54,48,0,1.8,69,0,278,5
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Female,ALL,NECO,College of Education,307,792,913,104,95,16,1.8,138,0,586,7
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Female,ALL,WAEC,College of Education,436,1122,1253,139,132,0,1.8,197,0,807,6
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Female,Disabled,NABTEB,College of Education,12,33,37,7,6,0,1.8,5,0,21,1
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Female,Disabled,NECO,College of Education,22,54,64,6,5,0,1.8,11,0,42,1
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Female,Disabled,WAEC,College of Education,38,97,106,11,10,0,1.8,17,0,69,1
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Male,ALL,NABTEB,College of Education,127,326,398,54,48,0,1.8,58,0,248,5
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Male,ALL,NECO,College of Education,247,637,684,80,71,16,1.8,111,0,437,7
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Male,ALL,WAEC,College of Education,335,865,965,124,117,0,1.8,151,0,607,6
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Male,Disabled,NABTEB,College of Education,9,24,31,7,6,0,1.8,4,0,17,1
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Male,Disabled,NECO,College of Education,19,47,56,6,5,0,1.8,9,0,36,1
2022/2023,North West,Kano,Dala,Adakawa,"Government Secondary School, Adakawa",Male,Disabled,WAEC,College of Education,28,73,84,11,10,0,1.8,13,0,53,1
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Female,ALL,NABTEB,University,141,363,406,85,72,16,1.6,63,0,229,10
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Female,ALL,NECO,University,229,590,610,110,101,16,1.5,103,0,358,7
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Female,ALL,WAEC,University,332,856,882,169,162,0,1.5,150,0,509,6
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Female,Disabled,NABTEB,University,12,33,37,12,11,0,1.6,5,0,17,1
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Female,Disabled,NECO,University,22,54,54,10,8,0,1.5,11,0,32,1
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Female,Disabled,WAEC,University,28,71,79,8,7,0,1.5,13,0,51,1
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Male,ALL,NABTEB,University,104,267,295,51,36,16,1.6,47,0,175,12
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Male,ALL,NECO,University,202,522,540,110,101,16,1.5,91,0,306,7
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Male,ALL,WAEC,University,257,663,715,133,121,16,1.5,116,0,416,10
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Male,Disabled,NABTEB,University,9,24,20,0,0,0,1.6,4,2,15,0
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Male,Disabled,NECO,University,19,47,56,10,8,0,1.5,9,0,33,1
2022/2023,North West,Kano,Dala,Adakawa,"Unity College, Dala",Male,Disabled,WAEC,University,22,57,57,8,7,0,1.5,10,0,35,1
2022/2023,North West,Kano,Dala,Bakin Ruwa,"Community Secondary School, Bakin Ruwa",Female,ALL,NABTEB,College of Education,160,413,439,46,39,0,1.8,72,0,285,6
2022/2023,North West,Kano,Dala,Bakin Ruwa,"Community Secondary School, Bakin Ruwa",Female,ALL,NECO,College of Education,354,913,986,104,95,16,1.8,160,0,639,7
2022/2023,North West,Kano,Dala,Bakin Ruwa,"Community Secondary School, Bakin Ruwa",Female,ALL,WAEC,College of Education,382,985,1025,105,101,0,1.8,173,0,667,3
2022/2023,North West,Kano,Dala,Bakin Ruwa,"Community Secondary School, Bakin Ruwa",Female,Disabled,NABTEB,College of Education,11,29,37,7,6,0,1.8,4,0,21,1
2022/2023,North West,Kano,Dala,Bakin Ruwa,"Community Secondary School, Bakin Ruwa",Female,Disabled,NECO,College of Education,24,61,64,6,5,0,1.8,11,0,42,1
2022/2023,North West,Kano,Dala,Bakin Ruwa,"Community Secondary School, Bakin Ruwa",Female,Disabled,WAEC,College of Education,28,71,76,5,4,0,1.8,13,0,52,1
