session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NABTEB,College of Education,14,36,39,17,15,0,1.8,7,0,17,2
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NECO,College of Education,26,66,71,36,33,0,1.8,14,0,27,3
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,WAEC,College of Education,35,90,97,46,40,0,1.8,19,0,40,6
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NABTEB,College of Education,1,2,5,2,1,0,1.8,1,0,2,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NECO,College of Education,2,6,6,3,2,0,1.8,1,0,2,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,WAEC,College of Education,3,8,9,4,3,0,1.8,2,0,4,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NABTEB,College of Education,19,49,48,14,11,0,1.8,10,0,28,3
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NECO,College of Education,31,80,86,26,24,0,1.8,16,0,49,2
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,WAEC,College of Education,42,109,120,37,35,0,1.8,23,0,69,2
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NABTEB,College of Education,1,4,2,0,0,0,1.8,1,1,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NECO,College of Education,3,7,8,3,2,0,1.8,2,0,4,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,WAEC,College of Education,4,10,10,2,1,0,1.8,2,0,7,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NABTEB,College of Education,9,22,24,10,9,0,1.8,5,0,11,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NECO,College of Education,14,37,40,19,17,0,1.8,7,0,16,2
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,WAEC,College of Education,19,48,55,26,23,0,1.8,11,0,22,3
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NABTEB,College of Education,1,2,2,2,1,0,1.8,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NECO,College of Education,1,4,3,3,2,0,1.8,1,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,WAEC,College of Education,1,5,6,2,1,0,1.8,0,0,3,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NABTEB,College of Education,11,29,31,14,11,0,1.8,6,0,13,3
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NECO,College of Education,21,54,58,22,21,0,1.8,11,0,29,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,WAEC,College of Education,27,71,83,29,25,0,1.8,14,0,44,3
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NABTEB,College of Education,1,2,2,2,1,0,1.8,1,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NECO,College of Education,2,5,7,3,2,0,1.8,1,0,3,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,WAEC,College of Education,3,7,8,2,1,0,1.8,1,0,5,1
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,ALL,NABTEB,Polytechnic,9,23,28,2,1,0,1.7,5,0,22,1
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,ALL,NECO,Polytechnic,14,36,41,4,3,0,1.6,7,0,32,1
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,ALL,WAEC,Polytechnic,17,45,48,4,3,0,1.6,9,0,38,1
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,Disabled,NECO,Polytechnic,1,2,5,0,0,0,1.6,1,0,4,0
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,Disabled,WAEC,Polytechnic,1,4,3,0,0,0,1.6,0,0,3,0
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Male,ALL,NABTEB,Polytechnic,11,29,31,1,0,0,1.7,6,0,26,1
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Male,ALL,NECO,Polytechnic,21,53,58,3,2,0,1.6,11,0,48,1
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Male,ALL,WAEC,Polytechnic,26,68,73,5,4,0,1.6,14,0,59,1
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Male,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,1,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Male,Disabled,NECO,Polytechnic,1,4,5,0,0,0,1.6,1,0,4,0
2022/2023,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Male,Disabled,WAEC,Polytechnic,2,5,5,0,0,0,1.6,1,0,4,0
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Female,ALL,NABTEB,University,8,20,22,34,33,0,1.6,4,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Female,ALL,NECO,University,15,40,41,64,61,0,1.5,8,0,0,3
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Female,ALL,WAEC,University,17,45,49,64,63,0,1.5,9,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Female,Disabled,NABTEB,University,1,2,2,5,4,0,1.6,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Female,Disabled,NECO,University,1,2,2,7,6,0,1.5,1,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Female,Disabled,WAEC,University,1,2,3,4,3,0,1.5,1,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Male,ALL,NABTEB,University,11,29,33,25,19,0,1.6,6,0,4,6
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Male,ALL,NECO,University,22,58,65,64,61,0,1.5,12,0,0,3
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Male,ALL,WAEC,University,24,61,69,57,50,14,1.5,12,0,4,7
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Male,Disabled,NABTEB,University,1,2,2,0,0,0,1.6,1,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Male,Disabled,NECO,University,1,4,5,7,6,0,1.5,1,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Unity College, Balanga",Male,Disabled,WAEC,University,2,5,5,5,4,0,1.5,1,0,0,1
