session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Gjunior Secondary School Jugudu,Female,ALL,NABTEB,College of Education,35,92,107,12,8,0,1.8,12,0,53,3
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Government Junior Secondary School Uzum,Female,ALL,NECO,College of Education,67,173,170,22,20,0,1.8,24,0,83,1
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Ihyauddinil Islam Gulbun,Female,ALL,WAEC,College of Education,89,230,231,31,26,0,1.8,31,0,112,3
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Kogga Nomadic Primary School,Female,Disabled,NABTEB,College of Education,3,7,9,0,0,0,1.8,1,0,5,0
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Ligada Primary School,Female,Disabled,NECO,College of Education,6,15,16,3,2,0,1.8,2,0,7,1
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Margiri Primary School,Female,Disabled,WAEC,College of Education,6,17,18,2,0,0,1.8,2,0,9,1
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Rumbuna Primary School,Male,ALL,NABTEB,College of Education,37,98,105,8,6,0,1.8,12,0,55,1
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Sabou Nomadic Primary School,Male,ALL,NECO,College of Education,71,182,186,19,17,0,1.8,25,0,94,1
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Uzum  Primary School,Male,ALL,WAEC,College of Education,102,261,287,28,25,0,1.8,36,0,146,2
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Uzum Primary School,Male,Disabled,NABTEB,College of Education,3,9,9,0,0,0,1.8,1,0,5,0
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Wuro Nange Primary School,Male,Disabled,NECO,College of Education,6,15,18,3,2,0,1.8,2,0,8,1
2022/2023,North East,Bauchi,Giade,"Uzum ""B""",Zankan Primary School,Male,Disabled,WAEC,College of Education,7,18,18,2,0,0,1.8,2,0,9,1
2022/2023,North East,Bauchi,Giade,Zabi,Burkun Giade Primary School,Female,ALL,NABTEB,University,46,118,135,51,50,0,1.6,16,0,44,1
2022/2023,North East,Bauchi,Giade,Zabi,Fuddya Islamiya Zabi,Female,ALL,NECO,University,85,221,229,79,78,0,1.5,29,0,80,1
2022/2023,North East,Bauchi,Giade,Zabi,Gjunior Secondary School Kurba,Female,ALL,WAEC,University,103,265,277,106,96,0,1.5,36,0,90,6
2022/2023,North East,Bauchi,Giade,Zabi,Gjunior Secondary School Tsamiyar Zane,Female,Disabled,NABTEB,University,5,13,12,9,8,0,1.6,1,0,1,1
2022/2023,North East,Bauchi,Giade,Zabi,Gsss Zabi,Female,Disabled,NECO,University,8,20,23,6,5,0,1.5,3,0,9,1
2022/2023,North East,Bauchi,Giade,Zabi,Jawo Primary School,Female,Disabled,WAEC,University,10,26,28,6,5,0,1.5,3,0,12,1
2022/2023,North East,Bauchi,Giade,Zabi,Kimari Primary School,Male,ALL,NABTEB,University,57,145,159,51,39,21,1.6,20,0,58,8
2022/2023,North East,Bauchi,Giade,Zabi,Madarasatul Usman  Littahafizul Quran Giade,Male,ALL,NECO,University,99,256,270,90,89,0,1.5,35,0,96,1
2022/2023,North East,Bauchi,Giade,Zabi,Nurul Isalam Islamiyya Kaya Kaya,Male,ALL,WAEC,University,130,335,350,114,106,0,1.5,46,0,127,5
2022/2023,North East,Bauchi,Giade,Zabi,Tasangayar Mal. Liman Zabi,Male,Disabled,NABTEB,University,5,13,14,9,8,0,1.6,2,0,2,1
2022/2023,North East,Bauchi,Giade,Zabi,Tsamiyar Zane Primary School,Male,Disabled,NECO,University,10,26,30,8,6,0,1.5,3,0,12,1
2022/2023,North East,Bauchi,Giade,Zabi,Tsangayar Mal. Umar Zabi,Male,Disabled,WAEC,University,14,35,39,6,5,0,1.5,5,0,18,1
2022/2023,North East,Bauchi,Giade,Zabi,Wurojaa Primary School,Female,ALL,NABTEB,College of Education,34,87,96,8,6,0,1.8,12,0,50,1
2022/2023,North East,Bauchi,Giade,Zabi,Zabi Primary School,Female,ALL,NECO,College of Education,59,153,159,19,17,0,1.8,20,0,79,1
2022/2023,North East,Bauchi,Giade,Zabi,Zindiri Primary School,Female,ALL,WAEC,College of Education,72,184,194,25,23,0,1.8,26,0,95,1
