session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Female,ALL,NABTEB,Polytechnic,17,43,47,27,25,0,1.7,5,0,8,1
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Female,ALL,NECO,Polytechnic,26,66,75,51,45,0,1.6,8,0,9,3
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Female,ALL,WAEC,Polytechnic,35,90,98,54,51,0,1.6,10,0,18,2
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Female,Disabled,NABTEB,Polytechnic,1,2,2,4,2,0,1.7,1,0,0,1
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Female,Disabled,NECO,Polytechnic,1,4,4,4,2,0,1.6,0,0,0,1
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Female,Disabled,WAEC,Polytechnic,2,6,6,2,0,0,1.6,0,0,2,1
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Male,ALL,NABTEB,Polytechnic,16,41,47,27,25,0,1.7,5,0,8,1
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Male,ALL,NECO,Polytechnic,26,69,73,45,42,0,1.6,7,0,11,2
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Male,ALL,WAEC,Polytechnic,36,92,100,60,54,0,1.6,11,0,16,3
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Male,Disabled,NABTEB,Polytechnic,1,2,2,4,2,0,1.7,1,0,0,1
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Male,Disabled,NECO,Polytechnic,1,4,4,4,2,0,1.6,0,0,0,1
2022/2023,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,"Community Secondary School, Agamo/Oke-Oore/Akomowa",Male,Disabled,WAEC,Polytechnic,2,4,6,2,0,0,1.6,1,0,2,1
