"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Female","all","NABTEB","College of Education","75","74","47","25","19","6","2.1","1","27","23","6"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Female","all","NECO","College of Education","156","154","100","42","38","4","2.0","2","54","57","4"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Female","all","WAEC","College of Education","183","180","116","47","42","6","2.0","3","64","68","6"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Female","disabled","NABTEB","College of Education","10","10","5","5","5","0","2.1","0","5","0","0"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Female","disabled","NECO","College of Education","20","20","10","5","5","0","2.0","0","10","6","0"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Female","disabled","WAEC","College of Education","27","27","16","4","5","0","2.0","0","11","13","0"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Male","all","NABTEB","College of Education","94","93","56","31","26","5","2.1","1","37","26","5"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Male","all","NECO","College of Education","174","171","108","43","39","4","2.0","3","63","65","4"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Male","all","WAEC","College of Education","216","213","127","53","47","6","2.0","3","86","74","6"
"2019/2020","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","Community Secondary School, City Centre","Male","disabled","NABTEB","College of Education","13","13","9","6","6","0","2.1","0","4","3","0"
