session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,NABTEB,University,2,6,6,182,179,0,1.6,0,0,0,1
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,NECO,University,4,9,9,364,344,34,1.5,1,0,0,8
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,WAEC,University,5,12,11,384,374,0,1.5,1,0,0,4
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Disabled,NABTEB,University,0,0,0,33,30,0,1.6,0,0,0,1
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Disabled,NECO,University,0,0,0,33,28,0,1.5,0,0,0,2
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Disabled,WAEC,University,0,0,0,33,20,0,1.5,0,0,0,5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,ALL,NABTEB,University,2,3,3,182,179,0,1.6,1,0,0,1
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,ALL,NECO,University,3,6,6,243,230,0,1.5,1,0,0,5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,ALL,WAEC,University,3,9,9,344,291,68,1.5,0,0,0,21
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Disabled,NABTEB,University,0,0,0,33,28,0,1.6,0,0,0,2
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Disabled,NECO,University,0,0,0,33,30,0,1.5,0,0,0,1
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Disabled,WAEC,University,0,0,0,33,20,0,1.5,0,0,0,5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,ALL,NABTEB,Polytechnic,3,6,9,68,63,0,1.7,1,0,0,2
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,ALL,NECO,Polytechnic,5,12,14,124,111,0,1.6,1,0,0,5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,ALL,WAEC,Polytechnic,6,15,17,169,162,0,1.6,2,0,0,3
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,Disabled,NABTEB,Polytechnic,0,0,0,8,5,0,1.7,0,0,0,1
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,Disabled,NECO,Polytechnic,1,0,0,8,5,0,1.6,1,0,0,1
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,Disabled,WAEC,Polytechnic,1,3,3,13,10,0,1.6,0,0,0,1
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Male,ALL,NABTEB,Polytechnic,3,6,9,96,88,0,1.7,1,0,0,3
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Male,ALL,NECO,Polytechnic,5,12,14,174,169,0,1.6,1,0,0,2
