session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NABTEB,University,39,101,121,115,109,0,1.6,15,0,0,4
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NECO,University,70,183,203,153,144,19,1.5,27,0,20,7
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,WAEC,University,98,252,287,232,208,19,1.5,39,0,17,17
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NABTEB,University,3,7,6,11,10,0,1.6,1,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NECO,University,5,11,14,10,8,0,1.5,2,0,2,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,WAEC,University,5,13,16,10,8,0,1.5,1,0,3,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NABTEB,University,35,90,104,101,93,0,1.6,14,0,0,6
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NECO,University,66,171,196,179,174,0,1.5,26,0,0,4
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,WAEC,University,81,209,239,220,195,19,1.5,32,0,0,18
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NABTEB,University,2,5,6,11,10,0,1.6,1,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NECO,University,4,8,11,10,8,0,1.5,2,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,WAEC,University,5,13,14,10,8,0,1.5,2,0,2,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NABTEB,University,25,65,71,65,54,19,1.6,9,0,0,8
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NECO,University,41,105,116,91,88,0,1.5,16,0,9,2
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,WAEC,University,53,136,146,121,116,0,1.5,21,0,6,4
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,Disabled,NABTEB,University,3,7,6,11,10,0,1.6,1,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,Disabled,NECO,University,3,7,6,10,8,0,1.5,1,0,0,1
