session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,NABTEB,College of Education,15,39,42,1,0,0,1.8,7,0,33,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,NECO,College of Education,23,60,68,2,1,0,1.8,12,0,53,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,WAEC,College of Education,34,87,97,3,2,0,1.8,17,0,76,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Disabled,NABTEB,College of Education,2,4,4,0,0,0,1.8,1,0,3,0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Disabled,NECO,College of Education,2,4,5,0,0,0,1.8,1,0,4,0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Disabled,WAEC,College of Education,2,6,6,0,0,0,1.8,1,0,5,0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,ALL,NABTEB,College of Education,24,62,70,1,0,0,1.8,12,0,56,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,ALL,NECO,College of Education,41,107,126,2,1,0,1.8,20,0,100,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,ALL,WAEC,College of Education,54,138,150,3,2,0,1.8,27,0,119,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Disabled,NABTEB,College of Education,2,5,5,0,0,0,1.8,1,0,4,0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Disabled,NECO,College of Education,2,5,7,0,0,0,1.8,1,0,6,0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Disabled,WAEC,College of Education,4,9,10,0,0,0,1.8,2,0,8,0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,ALL,NABTEB,Polytechnic,13,35,41,2,1,0,1.7,6,0,31,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,ALL,NECO,Polytechnic,22,57,65,5,4,0,1.6,11,0,48,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,ALL,WAEC,Polytechnic,27,71,76,5,4,0,1.6,13,0,57,1
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,Disabled,NABTEB,Polytechnic,2,4,4,0,0,0,1.7,1,0,3,0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,Disabled,NECO,Polytechnic,2,4,5,0,0,0,1.6,1,0,4,0
