session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NABTEB,98,71,50,18,17,14,72.449,36.0,94.4444,82.3529
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NECO,166,108,92,32,32,31,65.0602,34.7826,100.0,96.875
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,WAEC,251,179,144,50,40,37,71.3147,34.7222,80.0,92.5
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NABTEB,9,7,5,2,0,0,77.7778,40.0,0.0,0.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NECO,20,13,11,4,4,4,65.0,36.3636,100.0,100.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,WAEC,29,21,15,5,3,3,72.4138,33.3333,60.0,100.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,NABTEB,92,67,56,20,16,12,72.8261,35.7143,80.0,75.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,NECO,173,113,97,34,28,25,65.3179,35.0515,82.3529,89.2857
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,WAEC,238,169,138,48,35,32,71.0084,34.7826,72.9167,91.4286
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,NABTEB,12,9,5,2,0,0,75.0,40.0,0.0,0.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,NECO,19,12,11,4,5,5,63.1579,36.3636,125.0,100.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,WAEC,30,21,18,6,3,4,70.0,33.3333,50.0,133.3333
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,NABTEB,60,44,36,13,13,15,73.3333,36.1111,100.0,115.3846
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,NECO,113,74,68,24,28,26,65.4867,35.2941,116.6667,92.8571
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,WAEC,128,91,75,26,31,30,71.0938,34.6667,119.2308,96.7742
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,NABTEB,9,7,5,2,4,5,77.7778,40.0,200.0,125.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,NECO,15,10,9,3,4,4,66.6667,33.3333,133.3333,100.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,WAEC,17,12,10,3,3,3,70.5882,30.0,100.0,100.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,NABTEB,64,47,40,14,17,18,73.4375,35.0,121.4286,105.8824
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,NECO,144,94,93,33,37,36,65.2778,35.4839,112.1212,97.2973
