session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NABTEB,55,37,32,11,12,13,67.2727,34.375,109.0909,108.3333
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NECO,91,55,56,18,21,19,60.4396,32.1429,116.6667,90.4762
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,WAEC,130,86,78,26,28,25,66.1538,33.3333,107.6923,89.2857
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,disabled,NABTEB,10,7,5,2,4,4,70.0,40.0,200.0,100.0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,disabled,NECO,11,7,7,2,3,4,63.6364,28.5714,150.0,133.3333
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,disabled,WAEC,16,11,8,3,3,3,68.75,37.5,100.0,100.0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Male,all,NABTEB,53,36,30,10,15,16,67.9245,33.3333,150.0,106.6667
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Male,all,NECO,96,58,57,19,24,21,60.4167,33.3333,126.3158,87.5
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Male,all,WAEC,125,82,74,25,33,28,65.6,33.7838,132.0,84.8485
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Male,disabled,NABTEB,10,7,5,2,5,5,70.0,40.0,250.0,100.0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Male,disabled,NECO,13,8,7,2,4,4,61.5385,28.5714,200.0,100.0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Male,disabled,WAEC,15,10,8,3,3,3,66.6667,37.5,100.0,100.0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Comprehensive High School, Ado 'A' Idofin",Female,all,NABTEB,84,57,49,17,16,13,67.8571,34.6939,94.1176,81.25
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Comprehensive High School, Ado 'A' Idofin",Female,all,NECO,149,90,82,27,31,30,60.4027,32.9268,114.8148,96.7742
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Comprehensive High School, Ado 'A' Idofin",Female,all,WAEC,170,112,94,31,31,28,65.8824,32.9787,100.0,90.3226
