session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NABTEB,79,55,42,14,13,15,69.6203,33.3333,92.8571,115.3846
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NECO,131,83,71,23,21,17,63.3588,32.3944,91.3043,80.9524
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,WAEC,188,129,93,30,31,30,68.617,32.2581,103.3333,96.7742
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,NABTEB,13,9,7,2,0,0,69.2308,28.5714,0.0,0.0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,NECO,17,11,9,3,5,6,64.7059,33.3333,166.6667,120.0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,disabled,WAEC,20,14,10,3,4,5,70.0,30.0,133.3333,125.0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,all,NABTEB,83,57,47,15,16,17,68.6747,31.9149,106.6667,106.25
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,all,NECO,138,87,77,25,19,13,63.0435,32.4675,76.0,68.4211
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,all,WAEC,168,115,90,30,20,16,68.4524,33.3333,66.6667,80.0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,disabled,NABTEB,12,8,7,2,0,0,66.6667,28.5714,0.0,0.0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,disabled,NECO,16,10,9,3,0,0,62.5,33.3333,0.0,0.0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,disabled,WAEC,19,13,11,4,0,0,68.4211,36.3636,0.0,0.0
2019/2020,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,all,NABTEB,167,116,99,32,32,29,69.4611,32.3232,100.0,90.625
2019/2020,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,all,NECO,307,192,178,59,63,55,62.5407,33.1461,106.7797,87.3016
2019/2020,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,all,WAEC,394,269,214,71,80,74,68.2741,33.1776,112.6761,92.5
