session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,NABTEB,119,79,67,23,31,29,66.3866,34.3284,134.7826,93.5484
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,NECO,205,122,118,40,48,43,59.5122,33.8983,120.0,89.5833
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,WAEC,275,179,163,57,77,63,65.0909,34.9693,135.0877,81.8182
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,NABTEB,11,7,6,2,6,7,63.6364,33.3333,300.0,116.6667
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,NECO,17,10,10,3,4,5,58.8235,30.0,133.3333,125.0
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,WAEC,25,16,13,5,4,4,64.0,38.4615,80.0,100.0
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,all,NABTEB,116,77,68,23,23,24,66.3793,33.8235,100.0,104.3478
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,all,NECO,205,122,120,41,52,46,59.5122,34.1667,126.8293,88.4615
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,all,WAEC,272,177,163,57,67,61,65.0735,34.9693,117.5439,91.0448
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,disabled,NABTEB,11,7,6,2,0,0,63.6364,33.3333,0.0,0.0
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,disabled,NECO,14,8,7,2,5,6,57.1429,28.5714,250.0,120.0
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,disabled,WAEC,21,14,13,5,5,5,66.6667,38.4615,100.0,100.0
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,all,NABTEB,78,51,48,17,19,14,65.3846,35.4167,111.7647,73.6842
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,all,NECO,131,78,72,25,30,29,59.542,34.7222,120.0,96.6667
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,all,WAEC,183,119,106,37,40,34,65.0273,34.9057,108.1081,85.0
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,disabled,NABTEB,11,7,6,2,0,0,63.6364,33.3333,0.0,0.0
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,disabled,NECO,14,8,7,2,4,5,57.1429,28.5714,200.0,125.0
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,disabled,WAEC,19,12,11,4,4,4,63.1579,36.3636,100.0,100.0
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Male,all,NABTEB,89,59,51,18,15,16,66.2921,35.2941,83.3333,106.6667
2019/2020,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Male,all,NECO,136,81,85,29,32,29,59.5588,34.1176,110.3448,90.625
