session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NABTEB,132,95,82,28,22,16,71.9697,34.1463,78.5714,72.7273
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NECO,260,169,149,52,37,33,65.0,34.8993,71.1538,89.1892
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,WAEC,282,199,171,59,53,48,70.5674,34.5029,89.8305,90.566
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NABTEB,14,10,7,2,0,0,71.4286,28.5714,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NECO,27,18,15,5,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,WAEC,34,24,18,6,5,5,70.5882,33.3333,83.3333,100.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,all,NABTEB,129,93,75,26,25,18,72.093,34.6667,96.1538,72.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,all,NECO,262,170,176,61,50,47,64.8855,34.6591,81.9672,94.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,all,WAEC,324,229,209,73,73,62,70.679,34.9282,100.0,84.9315
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,NABTEB,13,9,6,2,0,0,69.2308,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,NECO,31,20,18,6,0,0,64.5161,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,WAEC,35,25,18,6,0,0,71.4286,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,NABTEB,88,63,48,17,14,15,71.5909,35.4167,82.3529,107.1429
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,NECO,176,115,108,38,24,20,65.3409,35.1852,63.1579,83.3333
