session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NABTEB,69,50,39,13,15,16,72.4638,33.3333,115.3846,106.6667
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NECO,125,82,67,22,27,23,65.6,32.8358,122.7273,85.1852
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,WAEC,173,123,101,33,40,35,71.0983,32.6733,121.2121,87.5
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,NABTEB,11,8,5,2,5,5,72.7273,40.0,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,NECO,12,8,5,2,5,5,66.6667,40.0,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,WAEC,14,10,9,3,4,4,71.4286,33.3333,133.3333,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,NABTEB,83,60,51,17,17,13,72.2892,33.3333,100.0,76.4706
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,NECO,156,102,99,33,44,41,65.3846,33.3333,133.3333,93.1818
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,WAEC,189,134,117,38,48,43,70.8995,32.4786,126.3158,89.5833
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,NABTEB,10,7,6,2,0,0,70.0,33.3333,0.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,NECO,14,9,8,3,5,5,64.2857,37.5,166.6667,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,WAEC,16,11,9,3,4,4,68.75,33.3333,133.3333,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,NABTEB,63,46,37,12,15,16,73.0159,32.4324,125.0,106.6667
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,NECO,107,70,66,21,32,28,65.4206,31.8182,152.381,87.5
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,WAEC,154,110,90,30,36,31,71.4286,33.3333,120.0,86.1111
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,NABTEB,11,8,6,2,5,5,72.7273,33.3333,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,NECO,12,8,7,2,5,5,66.6667,28.5714,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,WAEC,14,10,9,3,4,4,71.4286,33.3333,133.3333,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Male,all,NABTEB,60,43,37,12,18,19,71.6667,32.4324,150.0,105.5556
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Male,all,NECO,108,71,68,23,29,25,65.7407,33.8235,126.087,86.2069
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Male,all,WAEC,160,114,96,32,36,34,71.25,33.3333,112.5,94.4444
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Male,disabled,NABTEB,10,7,6,2,6,6,70.0,33.3333,300.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Male,disabled,NECO,11,7,5,2,5,5,63.6364,40.0,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Male,disabled,WAEC,16,11,9,3,4,4,68.75,33.3333,133.3333,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Female,all,NABTEB,88,64,54,18,15,11,72.7273,33.3333,83.3333,73.3333
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Female,all,NECO,164,107,89,29,31,28,65.2439,32.5843,106.8966,90.3226
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Female,all,WAEC,185,132,104,34,40,35,71.3514,32.6923,117.6471,87.5
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Female,disabled,NECO,14,9,7,2,4,5,64.2857,28.5714,200.0,125.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Female,disabled,WAEC,17,12,9,3,4,4,70.5882,33.3333,133.3333,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Male,all,NABTEB,70,51,43,14,17,19,72.8571,32.5581,121.4286,111.7647
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Male,all,NECO,144,94,86,29,34,30,65.2778,33.7209,117.2414,88.2353
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Male,all,WAEC,173,123,101,33,40,39,71.0983,32.6733,121.2121,97.5
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Male,disabled,NABTEB,10,7,6,2,6,6,70.0,33.3333,300.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Male,disabled,NECO,14,9,8,3,5,5,64.2857,37.5,166.6667,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Government Secondary School, Alwasa/Gotomo",Male,disabled,WAEC,16,11,9,3,4,4,68.75,33.3333,133.3333,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Female,all,NABTEB,66,48,34,11,15,15,72.7273,32.3529,136.3636,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Female,all,NECO,116,76,66,21,23,19,65.5172,31.8182,109.5238,82.6087
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Female,all,WAEC,128,91,73,24,25,24,71.0938,32.8767,104.1667,96.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Female,disabled,NABTEB,11,8,6,2,5,5,72.7273,33.3333,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Female,disabled,NECO,12,8,7,2,5,5,66.6667,28.5714,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Female,disabled,WAEC,11,8,7,2,4,4,72.7273,28.5714,200.0,100.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Male,all,NABTEB,65,47,37,12,11,13,72.3077,32.4324,91.6667,118.1818
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Male,all,NECO,108,71,63,21,20,15,65.7407,33.3333,95.2381,75.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Male,all,WAEC,138,99,83,27,32,30,71.7391,32.5301,118.5185,93.75
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Male,disabled,NABTEB,10,7,6,2,0,0,70.0,33.3333,0.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Male,disabled,NECO,11,7,5,2,0,0,63.6364,40.0,0.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Unity College, Argungu",Male,disabled,WAEC,11,8,7,2,4,4,72.7273,28.5714,200.0,100.0
2019/2020,North West,Kebbi,Argungu,Dikko,"Community Secondary School, Dikko",Female,all,NABTEB,66,48,40,13,15,15,72.7273,32.5,115.3846,100.0
2019/2020,North West,Kebbi,Argungu,Dikko,"Community Secondary School, Dikko",Female,all,NECO,130,85,79,26,36,33,65.3846,32.9114,138.4615,91.6667
2019/2020,North West,Kebbi,Argungu,Dikko,"Community Secondary School, Dikko",Female,all,WAEC,132,94,75,25,29,28,71.2121,33.3333,116.0,96.5517
2019/2020,North West,Kebbi,Argungu,Dikko,"Community Secondary School, Dikko",Female,disabled,NABTEB,11,8,6,2,5,5,72.7273,33.3333,250.0,100.0
2019/2020,North West,Kebbi,Argungu,Dikko,"Community Secondary School, Dikko",Female,disabled,NECO,20,13,12,4,5,5,65.0,33.3333,125.0,100.0
