session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,NABTEB,90,64,53,20,21,18,71.1111,37.7358,105.0,85.7143
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,NECO,146,92,84,30,39,38,63.0137,35.7143,130.0,97.4359
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,WAEC,183,127,99,36,38,34,69.3989,36.3636,105.5556,89.4737
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,NABTEB,14,10,7,3,4,4,71.4286,42.8571,133.3333,100.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,NECO,18,11,9,3,4,5,61.1111,33.3333,133.3333,125.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,WAEC,21,15,10,4,3,3,71.4286,40.0,75.0,100.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,NABTEB,86,61,51,18,19,20,70.9302,35.2941,105.5556,105.2632
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,NECO,148,94,86,31,37,35,63.5135,36.0465,119.3548,94.5946
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,WAEC,207,143,123,45,43,39,69.0821,36.5854,95.5556,90.6977
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,NABTEB,13,9,6,2,5,5,69.2308,33.3333,250.0,100.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,NECO,17,11,8,3,5,5,64.7059,37.5,166.6667,100.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,WAEC,23,16,13,5,4,4,69.5652,38.4615,80.0,100.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,NABTEB,145,102,72,26,21,18,70.3448,36.1111,80.7692,85.7143
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,NECO,245,156,131,47,43,38,63.6735,35.8779,91.4894,88.3721
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,WAEC,297,205,153,56,48,45,69.0236,36.6013,85.7143,93.75
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,NABTEB,14,10,6,2,4,4,71.4286,33.3333,200.0,100.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,NECO,22,14,11,4,4,5,63.6364,36.3636,100.0,125.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,WAEC,25,17,13,5,3,3,68.0,38.4615,60.0,100.0
