session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,NABTEB,113,81,73,25,23,19,71.6814,34.2466,92.0,82.6087
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,NECO,233,151,150,51,50,43,64.8069,34.0,98.0392,86.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,WAEC,246,173,154,53,46,44,70.3252,34.4156,86.7925,95.6522
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,disabled,NABTEB,13,9,7,2,5,5,69.2308,28.5714,250.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,disabled,NECO,23,15,12,4,5,5,65.2174,33.3333,125.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,disabled,WAEC,26,18,14,5,3,4,69.2308,35.7143,60.0,133.3333
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,all,NABTEB,136,98,89,30,26,22,72.0588,33.7079,86.6667,84.6154
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,all,NECO,240,155,155,53,46,39,64.5833,34.1935,86.7925,84.7826
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,all,WAEC,303,213,208,72,66,63,70.297,34.6154,91.6667,95.4545
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,disabled,NABTEB,12,9,7,2,0,0,75.0,28.5714,0.0,0.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,disabled,NECO,26,17,16,5,5,6,65.3846,31.25,100.0,120.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,disabled,WAEC,30,21,20,7,4,5,70.0,35.0,57.1429,125.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,all,NABTEB,98,70,63,21,27,24,71.4286,33.3333,128.5714,88.8889
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,all,NECO,193,125,126,43,46,43,64.7668,34.127,106.9767,93.4783
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,all,WAEC,262,185,178,62,69,63,70.6107,34.8315,111.2903,91.3043
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,disabled,NABTEB,13,9,7,2,5,5,69.2308,28.5714,250.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,disabled,NECO,23,15,12,4,5,5,65.2174,33.3333,125.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,disabled,WAEC,32,23,19,7,7,8,71.875,36.8421,100.0,114.2857
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,all,NABTEB,99,71,71,24,26,21,71.7172,33.8028,108.3333,80.7692
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,all,NECO,198,128,133,45,46,44,64.6465,33.8346,102.2222,95.6522
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,all,WAEC,260,183,183,63,62,59,70.3846,34.4262,98.4127,95.1613
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,disabled,NABTEB,12,9,7,2,5,5,75.0,28.5714,250.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,disabled,NECO,26,17,16,5,5,6,65.3846,31.25,100.0,120.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,disabled,WAEC,30,21,20,7,4,5,70.0,35.0,57.1429,125.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,all,NABTEB,104,74,69,23,23,19,71.1538,33.3333,100.0,82.6087
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,all,NECO,184,119,117,40,50,43,64.6739,34.188,125.0,86.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,all,WAEC,262,184,173,60,62,55,70.229,34.6821,103.3333,88.7097
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,disabled,NABTEB,13,9,7,2,5,5,69.2308,28.5714,250.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,disabled,NECO,17,11,9,3,5,5,64.7059,33.3333,166.6667,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,disabled,WAEC,22,15,14,5,4,4,68.1818,35.7143,80.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,all,NABTEB,108,78,75,25,31,27,72.2222,33.3333,124.0,87.0968
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,all,NECO,192,124,129,44,51,43,64.5833,34.1085,115.9091,84.3137
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,all,WAEC,288,203,216,74,78,72,70.4861,34.2593,105.4054,92.3077
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,disabled,NABTEB,12,9,7,2,5,5,75.0,28.5714,250.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,disabled,NECO,16,10,9,3,5,5,62.5,33.3333,166.6667,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,disabled,WAEC,21,15,14,5,4,5,71.4286,35.7143,80.0,125.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,all,NABTEB,85,61,56,19,19,14,71.7647,33.9286,100.0,73.6842
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,all,NECO,153,99,101,35,37,34,64.7059,34.6535,105.7143,91.8919
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,all,WAEC,220,155,134,46,47,44,70.4545,34.3284,102.1739,93.617
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,disabled,NABTEB,13,9,7,2,5,5,69.2308,28.5714,250.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,disabled,NECO,13,8,9,3,5,5,61.5385,33.3333,166.6667,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,disabled,WAEC,16,11,8,3,4,4,68.75,37.5,133.3333,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,all,NABTEB,84,61,53,18,15,16,72.619,33.9623,83.3333,106.6667
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,all,NECO,157,101,104,36,36,32,64.3312,34.6154,100.0,88.8889
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,all,WAEC,221,156,148,51,53,50,70.5882,34.4595,103.9216,94.3396
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,disabled,NABTEB,12,9,7,2,5,5,75.0,28.5714,250.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,disabled,NECO,13,8,9,3,5,5,61.5385,33.3333,166.6667,100.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,disabled,WAEC,18,13,11,4,4,5,72.2222,36.3636,100.0,125.0
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,all,NABTEB,142,101,86,29,27,24,71.1268,33.7209,93.1034,88.8889
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,all,NECO,250,161,160,55,55,48,64.4,34.375,100.0,87.2727
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,all,WAEC,335,236,217,75,72,67,70.4478,34.5622,96.0,93.0556
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,disabled,NABTEB,16,11,10,3,5,5,68.75,30.0,166.6667,100.0
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,disabled,NECO,27,17,15,5,5,5,62.963,33.3333,100.0,100.0
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,disabled,WAEC,41,29,25,9,7,8,70.7317,36.0,77.7778,114.2857
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,all,NABTEB,133,96,89,31,26,22,72.1805,34.8315,83.871,84.6154
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,all,NECO,246,159,164,57,56,49,64.6341,34.7561,98.2456,87.5
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,all,WAEC,300,211,202,70,66,59,70.3333,34.6535,94.2857,89.3939
2019/2020,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,disabled,NABTEB,15,11,11,4,5,6,73.3333,36.3636,125.0,120.0
