session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,all,NABTEB,49,33,32,12,11,12,67.3469,37.5,91.6667,109.0909
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,all,NECO,89,54,58,21,21,19,60.6742,36.2069,100.0,90.4762
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,all,WAEC,114,75,76,28,33,29,65.7895,36.8421,117.8571,87.8788
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,disabled,NABTEB,9,6,5,2,4,4,66.6667,40.0,200.0,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,disabled,NECO,10,6,7,3,4,4,60.0,42.8571,133.3333,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,disabled,WAEC,12,8,8,3,3,3,66.6667,37.5,100.0,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,all,NABTEB,49,33,30,11,16,13,67.3469,36.6667,145.4545,81.25
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,all,NECO,85,51,61,22,28,27,60.0,36.0656,127.2727,96.4286
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,all,WAEC,105,69,67,24,30,29,65.7143,35.8209,125.0,96.6667
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,disabled,NABTEB,9,6,5,2,4,4,66.6667,40.0,200.0,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,disabled,NECO,10,6,7,3,4,5,60.0,42.8571,133.3333,125.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Male,disabled,WAEC,11,7,6,2,3,4,63.6364,33.3333,150.0,133.3333
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,all,NABTEB,86,57,57,21,18,15,66.2791,36.8421,85.7143,83.3333
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,all,NECO,161,97,102,37,42,38,60.2484,36.2745,113.5135,90.4762
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,all,WAEC,203,133,133,48,53,49,65.5172,36.0902,110.4167,92.4528
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,disabled,NABTEB,12,8,7,3,4,4,66.6667,42.8571,133.3333,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,disabled,NECO,20,12,13,5,4,4,60.0,38.4615,80.0,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Female,disabled,WAEC,24,16,14,5,6,7,66.6667,35.7143,120.0,116.6667
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,all,NABTEB,102,69,69,25,27,27,67.6471,36.2319,108.0,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,all,NECO,204,123,142,51,56,53,60.2941,35.9155,109.8039,94.6429
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,all,WAEC,262,172,180,64,73,68,65.6489,35.5556,114.0625,93.1507
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,disabled,NABTEB,13,9,8,3,4,5,69.2308,37.5,133.3333,125.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,disabled,NECO,26,16,19,7,8,9,61.5385,36.8421,114.2857,112.5
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga",Male,disabled,WAEC,27,18,18,6,7,7,66.6667,33.3333,116.6667,100.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,all,NABTEB,111,74,72,26,25,23,66.6667,36.1111,96.1538,92.0
2019/2020,North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga",Female,all,NECO,205,123,136,49,60,57,60.0,36.0294,122.449,95.0
