session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,all,NABTEB,101,70,54,19,15,11,69.3069,35.1852,78.9474,73.3333
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,all,NECO,196,123,110,39,33,30,62.7551,35.4545,84.6154,90.9091
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,all,WAEC,264,180,151,53,46,39,68.1818,35.0993,86.7925,84.7826
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,disabled,NABTEB,12,8,6,2,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,disabled,NECO,24,15,11,4,0,0,62.5,36.3636,0.0,0.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Female,disabled,WAEC,30,20,16,6,4,4,66.6667,37.5,66.6667,100.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,all,NABTEB,95,66,54,19,12,13,69.4737,35.1852,63.1579,108.3333
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,all,NECO,205,129,123,43,42,40,62.9268,34.9593,97.6744,95.2381
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,all,WAEC,251,171,143,50,44,42,68.1275,34.965,88.0,95.4545
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,disabled,NABTEB,12,8,6,2,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,disabled,NECO,25,16,14,5,5,6,64.0,35.7143,100.0,120.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I",Male,disabled,WAEC,31,21,18,6,4,5,67.7419,33.3333,66.6667,125.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,all,NABTEB,76,53,41,14,15,16,69.7368,34.1463,107.1429,106.6667
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,all,NECO,139,87,74,26,24,20,62.5899,35.1351,92.3077,83.3333
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,all,WAEC,194,133,104,37,29,26,68.5567,35.5769,78.3784,89.6552
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,disabled,NABTEB,13,9,6,2,5,5,69.2308,33.3333,250.0,100.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,disabled,NECO,17,11,9,3,5,5,64.7059,33.3333,166.6667,100.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Female,disabled,WAEC,26,18,13,5,4,4,69.2308,38.4615,80.0,100.0
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,all,NABTEB,95,66,54,19,12,13,69.4737,35.1852,63.1579,108.3333
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,all,NECO,159,100,87,31,21,17,62.8931,35.6322,67.7419,80.9524
2019/2020,North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I",Male,all,WAEC,205,140,112,39,35,31,68.2927,34.8214,89.7436,88.5714
