session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Bungudu,North West,Zamfara,Bungudu,,,53.0,4,13.25
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Gusau,North West,Zamfara,Gusau,,,48.0,3,16.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Kaura Namoda,North West,Zamfara,Kaura Namoda,,,40.0,2,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Maru,North West,Zamfara,Maru,,,137.0,7,19.5714
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Talata Mafara,North West,Zamfara,Talata Mafara,,,102.0,7,14.5714
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Bungudu,North West,Zamfara,Bungudu,,,143.0,8,17.875
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Gusau,North West,Zamfara,Gusau,,,161.0,6,26.8333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Kaura Namoda,North West,Zamfara,Kaura Namoda,,,27.0,1,27.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Maru,North West,Zamfara,Maru,,,124.0,6,20.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Talata Mafara,North West,Zamfara,Talata Mafara,,,31.0,2,15.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Bungudu,North West,Zamfara,Bungudu,,,44.0,2,22.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Kaura Namoda,North West,Zamfara,Kaura Namoda,,,85.0,4,21.25
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Maru,North West,Zamfara,Maru,,,76.0,4,19.0
