session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Abak,South South,Akwa Ibom,Abak,,,26.0,2,13.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Eket,South South,Akwa Ibom,Eket,,,53.0,3,17.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,53.0,3,17.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Oron,South South,Akwa Ibom,Oron,,,106.0,6,17.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,35.0,2,17.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,44.0,2,22.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,81.0,5,16.2
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,105.0,6,17.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,155.0,8,19.375
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Abak,South South,Akwa Ibom,Abak,,,61.0,3,20.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Eket,South South,Akwa Ibom,Eket,,,122.0,5,24.4
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,80.0,4,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Oron,South South,Akwa Ibom,Oron,,,105.0,5,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,112.0,6,18.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,26.0,1,26.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,9.0,1,9.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,18.0,1,18.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,35.0,2,17.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,139.0,6,23.1667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,81.0,5,16.2
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,104.0,6,17.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,78.0,4,19.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,69.0,3,23.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,104.0,6,17.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,61.0,3,20.3333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,44.0,3,14.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,43.0,2,21.5
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Eket,South South,Akwa Ibom,Eket,,,633.0,22,28.7727
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,134.0,5,26.8
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Oron,South South,Akwa Ibom,Oron,,,317.0,11,28.8182
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,500.0,17,29.4118
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,117.0,4,29.25
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,100.0,3,33.3333
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,534.0,18,29.6667
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,517.0,18,28.7222
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,601.0,21,28.619
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Abak,South South,Akwa Ibom,Abak,,,117.0,4,29.25
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,317.0,11,28.8182
2019/2020,Female,all,Private,JSS,,MEd or Equivalent,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,167.0,6,27.8333
2019/2020,Female,all,Private,JSS,,NCE,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,834.0,28,29.7857
2019/2020,Female,all,Private,JSS,,NCE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,618.0,21,29.4286
2019/2020,Female,all,Private,JSS,,NCE,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,284.0,10,28.4
2019/2020,Female,all,Private,JSS,,NCE,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,250.0,9,27.7778
2019/2020,Female,all,Private,JSS,,NCE,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,267.0,9,29.6667
2019/2020,Female,all,Private,JSS,,PGDE,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,467.0,17,27.4706
2019/2020,Female,all,Private,JSS,,PGDE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,284.0,10,28.4
2019/2020,Female,all,Private,JSS,,PGDE,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,334.0,12,27.8333
2019/2020,Female,all,Private,JSS,,PGDE,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,567.0,19,29.8421
2019/2020,Female,all,Private,JSS,,PGDE,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,268.0,10,26.8
2019/2020,Female,all,Private,Pre-Primary/Primary,,,Unqualified,lga,Abak,South South,Akwa Ibom,Abak,,,1142.0,45,25.3778
2019/2020,Female,all,Private,Pre-Primary/Primary,,,Unqualified,lga,Eket,South South,Akwa Ibom,Eket,,,761.0,30,25.3667
2019/2020,Female,all,Private,Pre-Primary/Primary,,,Unqualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,423.0,17,24.8824
2019/2020,Female,all,Private,Pre-Primary/Primary,,,Unqualified,lga,Oron,South South,Akwa Ibom,Oron,,,973.0,39,24.9487
2019/2020,Female,all,Private,Pre-Primary/Primary,,,Unqualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,508.0,20,25.4
2019/2020,Female,all,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,1903.0,76,25.0395
2019/2020,Female,all,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,1693.0,67,25.2687
2019/2020,Female,all,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,1395.0,55,25.3636
2019/2020,Female,all,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,lga,Abak,South South,Akwa Ibom,Abak,,,677.0,27,25.0741
2019/2020,Female,all,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,1438.0,57,25.2281
2019/2020,Female,all,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,338.0,13,26.0
2019/2020,Female,all,Private,Pre-Primary/Primary,,MEd or Equivalent,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,550.0,22,25.0
2019/2020,Female,all,Private,Pre-Primary/Primary,,NCE,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,338.0,13,26.0
2019/2020,Female,all,Private,Pre-Primary/Primary,,NCE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,592.0,24,24.6667
2019/2020,Female,all,Private,Pre-Primary/Primary,,NCE,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,338.0,13,26.0
2019/2020,Female,all,Private,Pre-Primary/Primary,,NCE,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,296.0,12,24.6667
2019/2020,Female,all,Private,Pre-Primary/Primary,,NCE,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,592.0,24,24.6667
2019/2020,Female,all,Private,Pre-Primary/Primary,,PGDE,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,634.0,25,25.36
2019/2020,Female,all,Private,Pre-Primary/Primary,,PGDE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,1480.0,59,25.0847
2019/2020,Female,all,Private,Pre-Primary/Primary,,PGDE,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,550.0,22,25.0
2019/2020,Female,all,Private,Pre-Primary/Primary,,PGDE,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,1776.0,71,25.0141
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,,Unqualified,lga,Oron,South South,Akwa Ibom,Oron,,,804.0,32,25.125
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,804.0,32,25.125
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,1184.0,47,25.1915
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,1269.0,50,25.38
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,lga,Oron,South South,Akwa Ibom,Oron,,,1903.0,76,25.0395
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,1142.0,45,25.3778
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,804.0,32,25.125
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,NCE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,2115.0,84,25.1786
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,lga,Abak,South South,Akwa Ibom,Abak,,,1100.0,44,25.0
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,lga,Eket,South South,Akwa Ibom,Eket,,,719.0,29,24.7931
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,Unqualified,lga,Eket,South South,Akwa Ibom,Eket,,,888.0,35,25.3714
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,Unqualified,lga,Oron,South South,Akwa Ibom,Oron,,,1100.0,44,25.0
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,lga,Oron,South South,Akwa Ibom,Oron,,,1057.0,42,25.1667
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,lga,Uyo,South South,Akwa Ibom,Uyo,,,1692.0,68,24.8824
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,lga,Eket,South South,Akwa Ibom,Eket,,,973.0,39,24.9487
