session,gender,disability_scope,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Aba North,South East,Abia,Aba North,,,59.0,3,19.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Aba South,South East,Abia,Aba South,,,49.0,2,24.5
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Umuahia North,South East,Abia,Umuahia North,,,78.0,3,26.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,,Unqualified,lga,Umuahia South,South East,Abia,Umuahia South,,,59.0,3,19.6667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Aba North,South East,Abia,Aba North,,,30.0,2,15.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Aba South,South East,Abia,Aba South,,,189.0,9,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Umuahia North,South East,Abia,Umuahia North,,,190.0,10,19.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,lga,Umuahia South,South East,Abia,Umuahia South,,,168.0,8,21.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Aba North,South East,Abia,Aba North,,,107.0,4,26.75
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Aba South,South East,Abia,Aba South,,,40.0,2,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Umuahia North,South East,Abia,Umuahia North,,,158.0,7,22.5714
2019/2020,Female,all,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,lga,Umuahia South,South East,Abia,Umuahia South,,,208.0,11,18.9091
2019/2020,Female,all,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,lga,Aba South,South East,Abia,Aba South,,,20.0,1,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Aba North,South East,Abia,Aba North,,,127.0,5,25.4
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Aba South,South East,Abia,Aba South,,,149.0,7,21.2857
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Umuahia North,South East,Abia,Umuahia North,,,119.0,6,19.8333
2019/2020,Female,all,Private,Adult & Non-Formal Education,,NCE,Qualified,lga,Umuahia South,South East,Abia,Umuahia South,,,158.0,8,19.75
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Aba North,South East,Abia,Aba North,,,60.0,3,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Aba South,South East,Abia,Aba South,,,20.0,1,20.0
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Umuahia North,South East,Abia,Umuahia North,,,109.0,6,18.1667
2019/2020,Female,all,Private,Adult & Non-Formal Education,,PGDE,Qualified,lga,Umuahia South,South East,Abia,Umuahia South,,,109.0,6,18.1667
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Aba North,South East,Abia,Aba North,,,347.0,13,26.6923
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Arochukwu,South East,Abia,Arochukwu,,,302.0,11,27.4545
2019/2020,Female,all,Private,JSS,,,Unqualified,lga,Umuahia North,South East,Abia,Umuahia North,,,378.0,14,27.0
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Aba North,South East,Abia,Aba North,,,528.0,19,27.7895
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Aba South,South East,Abia,Aba South,,,287.0,10,28.7
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Arochukwu,South East,Abia,Arochukwu,,,528.0,20,26.4
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Umuahia North,South East,Abia,Umuahia North,,,272.0,10,27.2
2019/2020,Female,all,Private,JSS,,BEd or Equivalent,Qualified,lga,Umuahia South,South East,Abia,Umuahia South,,,121.0,4,30.25
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Aba North,South East,Abia,Aba North,,,800.0,28,28.5714
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Arochukwu,South East,Abia,Arochukwu,,,438.0,15,29.2
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Umuahia North,South East,Abia,Umuahia North,,,257.0,9,28.5556
2019/2020,Female,all,Private,JSS,,Grade II or Equivalent,Unqualified,lga,Umuahia South,South East,Abia,Umuahia South,,,332.0,12,27.6667
2019/2020,Female,all,Private,JSS,,MEd or Equivalent,Qualified,lga,Aba North,South East,Abia,Aba North,,,91.0,3,30.3333
2019/2020,Female,all,Private,JSS,,MEd or Equivalent,Qualified,lga,Aba South,South East,Abia,Aba South,,,227.0,8,28.375
2019/2020,Female,all,Private,JSS,,MEd or Equivalent,Qualified,lga,Arochukwu,South East,Abia,Arochukwu,,,91.0,3,30.3333
2019/2020,Female,all,Private,JSS,,NCE,Qualified,lga,Aba North,South East,Abia,Aba North,,,378.0,14,27.0
