"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated","median_time_to_matriculation_years"
"2019/2020","Female","all","NABTEB","College of Education","zone","North Central","North Central","","","","","12344","12159","7913","2951","2606","379","185","4246","4962","379","2.1"
"2019/2020","Female","all","NABTEB","College of Education","zone","North East","North East","","","","","10744","10561","6896","2883","2589","501","183","3695","4013","339","2.1"
"2019/2020","Female","all","NABTEB","College of Education","zone","North West","North West","","","","","14486","14270","9338","3718","3441","382","216","4932","5620","382","2.1"
"2019/2020","Female","all","NABTEB","College of Education","zone","South East","South East","","","","","8429","8307","5339","1848","1598","260","122","2968","3491","260","2.1"
"2019/2020","Female","all","NABTEB","College of Education","zone","South South","South South","","","","","10143","9998","6623","2381","2120","285","145","3375","4242","285","2.1"
"2019/2020","Female","all","NABTEB","College of Education","zone","South West","South West","","","","","11572","11402","7557","2836","2546","313","170","3845","4721","313","2.1"
"2019/2020","Female","all","NABTEB","Polytechnic","zone","North Central","North Central","","","","","11895","11713","7632","2864","2516","380","182","4081","4769","380","2.0"
"2019/2020","Female","all","NABTEB","Polytechnic","zone","North East","North East","","","","","9582","9442","6015","2400","2151","291","140","3427","3615","294","2.0"
"2019/2020","Female","all","NABTEB","Polytechnic","zone","North West","North West","","","","","11087","10920","7076","2628","2332","349","167","3844","4447","349","2.0"
"2019/2020","Female","all","NABTEB","Polytechnic","zone","South East","South East","","","","","8457","8327","5306","1908","1675","246","130","3021","3399","246","2.0"
"2019/2020","Female","all","NABTEB","Polytechnic","zone","South South","South South","","","","","10084","9932","6547","2358","2069","307","152","3385","4189","307","2.0"
"2019/2020","Female","all","NABTEB","Polytechnic","zone","South West","South West","","","","","10967","10809","7329","2683","2347","352","158","3480","4646","352","2.0"
"2019/2020","Female","all","NABTEB","University","zone","North Central","North Central","","","","","12054","11876","7696","2802","2475","355","178","4180","4894","355","1.8"
"2019/2020","Female","all","NABTEB","University","zone","North East","North East","","","","","8927","8793","5629","2254","2071","228","134","3164","3375","233","1.8"
"2019/2020","Female","all","NABTEB","University","zone","North West","North West","","","","","14977","14753","9546","3646","3249","480","224","5207","5900","480","1.8000000000000005"
"2019/2020","Female","all","NABTEB","University","zone","South East","South East","","","","","9065","8932","5709","1957","1710","263","133","3223","3752","263","1.8000000000000005"
"2019/2020","Female","all","NABTEB","University","zone","South South","South South","","","","","9140","9006","5806","2071","1820","272","134","3200","3735","272","1.8"
"2019/2020","Female","all","NABTEB","University","zone","South West","South West","","","","","11308","11141","7293","2670","2373","323","167","3848","4623","323","1.8"
"2019/2020","Female","all","NECO","College of Education","zone","North Central","North Central","","","","","23264","22923","14954","5458","4827","632","341","7969","9496","632","2.0"
"2019/2020","Female","all","NECO","College of Education","zone","North East","North East","","","","","20267","19972","12620","4662","4212","433","295","7352","7958","455","2.0"
"2019/2020","Female","all","NECO","College of Education","zone","North West","North West","","","","","27428","27019","17697","6449","5689","764","409","9322","11247","764","2.0"
"2019/2020","Female","all","NECO","College of Education","zone","South East","South East","","","","","15840","15608","10016","3874","3434","440","232","5592","6142","440","2.0"
"2019/2020","Female","all","NECO","College of Education","zone","South South","South South","","","","","19219","18939","12447","4503","4007","496","280","6492","7944","496","2.0"
"2019/2020","Female","all","NECO","College of Education","zone","South West","South West","","","","","21918","21591","14233","5334","4682","653","327","7358","8899","653","2.0"
"2019/2020","Female","all","NECO","Polytechnic","zone","North Central","North Central","","","","","22259","21935","14154","5232","4623","608","324","7781","8922","608","2.0"
"2019/2020","Female","all","NECO","Polytechnic","zone","North East","North East","","","","","18158","17896","11518","4373","3931","436","262","6378","7145","445","2.0"
"2019/2020","Female","all","NECO","Polytechnic","zone","North West","North West","","","","","21076","20767","13423","4884","4340","547","309","7344","8540","547","2.0"
"2019/2020","Female","all","NECO","Polytechnic","zone","South East","South East","","","","","15975","15737","9914","3965","3536","429","238","5823","5950","429","2.0"
"2019/2020","Female","all","NECO","Polytechnic","zone","South South","South South","","","","","19011","18732","12329","4544","4071","474","279","6403","7785","474","2.0"
"2019/2020","Female","all","NECO","Polytechnic","zone","South West","South West","","","","","20667","20362","13617","4974","4372","602","305","6745","8643","602","2.0"
"2019/2020","Female","all","NECO","University","zone","North Central","North Central","","","","","23006","22668","14662","5288","4680","610","338","8006","9374","610","1.8"
"2019/2020","Female","all","NECO","University","zone","North East","North East","","","","","16536","16293","10347","3868","3498","372","243","5946","6479","375","1.8"
"2019/2020","Female","all","NECO","University","zone","North West","North West","","","","","28502","28088","18128","6662","5909","755","414","9960","11466","755","1.8000000000000005"
"2019/2020","Female","all","NECO","University","zone","South East","South East","","","","","17347","17092","10860","4225","3732","493","255","6232","6635","493","1.8000000000000005"
"2019/2020","Female","all","NECO","University","zone","South South","South South","","","","","17390","17130","11002","3976","3556","420","260","6128","7026","420","1.8"
"2019/2020","Female","all","NECO","University","zone","South West","South West","","","","","21269","20960","13809","5059","4444","617","309","7151","8750","617","1.8"
"2019/2020","Female","all","WAEC","College of Education","zone","North Central","North Central","","","","","30030","29596","19276","7307","6538","770","434","10320","11969","770","2.0"
"2019/2020","Female","all","WAEC","College of Education","zone","North East","North East","","","","","26124","25743","16289","6043","5387","634","381","9454","10246","656","2.0"
"2019/2020","Female","all","WAEC","College of Education","zone","North West","North West","","","","","34809","34287","22452","8580","7676","904","522","11835","13872","904","2.0"
"2019/2020","Female","all","WAEC","College of Education","zone","South East","South East","","","","","20338","20032","12800","4917","4347","570","306","7232","7883","570","2.0"
"2019/2020","Female","all","WAEC","College of Education","zone","South South","South South","","","","","24829","24463","16028","6128","5461","667","366","8435","9900","667","2.0"
"2019/2020","Female","all","WAEC","College of Education","zone","South West","South West","","","","","28245","27825","18432","6702","6097","605","420","9393","11730","605","2.0"
"2019/2020","Female","all","WAEC","Polytechnic","zone","North Central","North Central","","","","","28452","28032","18035","6909","6184","724","420","9997","11126","724","2.0"
"2019/2020","Female","all","WAEC","Polytechnic","zone","North East","North East","","","","","23130","22785","14569","5499","4920","569","345","8216","9071","579","2.0"
"2019/2020","Female","all","WAEC","Polytechnic","zone","North West","North West","","","","","27032","26634","17139","6392","5669","723","398","9495","10748","723","2.0"
"2019/2020","Female","all","WAEC","Polytechnic","zone","South East","South East","","","","","20238","19934","12597","4978","4419","559","304","7337","7619","559","2.0"
"2019/2020","Female","all","WAEC","Polytechnic","zone","South South","South South","","","","","24254","23895","15747","5978","5300","678","359","8148","9769","678","2.0"
"2019/2020","Female","all","WAEC","Polytechnic","zone","South West","South West","","","","","26310","25924","17372","6335","5735","600","386","8552","11037","600","2.0"
"2019/2020","Female","all","WAEC","University","zone","North Central","North Central","","","","","29457","29021","18763","7209","6429","780","436","10258","11554","780","1.8"
"2019/2020","Female","all","WAEC","University","zone","North East","North East","","","","","21544","21229","13535","5010","4452","545","315","7694","8525","558","1.8"
"2019/2020","Female","all","WAEC","University","zone","North West","North West","","","","","36689","36145","23196","8653","7731","922","544","12949","14543","922","1.8000000000000005"
