session,disability_scope,exam_body,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,all,NABTEB,1630116,1605896,1041716,360920,320284,46440,24220,564308,680796,45832
2019/2020,all,NECO,3086744,3041344,1964640,689816,611168,78584,45400,1076704,1274824,78872
2019/2020,all,WAEC,3959736,3901104,2517800,904316,807148,96780,58632,1383304,1613484,97168
2019/2020,disabled,NABTEB,204028,204028,119636,49060,50196,108,0,84392,71348,108
2019/2020,disabled,NECO,337212,336552,201868,69636,73808,80,660,134684,132268,80
2019/2020,disabled,WAEC,431452,428756,259060,79212,84396,96,2696,169696,179848,96
2020/2021,all,NABTEB,1745584,1719832,1125732,377344,332432,48996,25752,594100,748388,48944
2020/2021,all,NECO,3283368,3234836,2108700,726072,641568,84700,48532,1126136,1382628,84700
2020/2021,all,WAEC,4276508,4213176,2744832,967752,861812,105940,63332,1468344,1777080,105940
2020/2021,disabled,NABTEB,219920,219920,130156,56664,58872,140,0,89764,73904,140
2020/2021,disabled,NECO,359764,358812,217964,74552,78980,64,952,140848,143420,64
2020/2021,disabled,WAEC,466560,462664,282496,84936,90256,136,3896,180168,197560,136
2021/2022,all,NABTEB,1880248,1852756,1219600,407864,360768,50984,27492,633156,811736,50932
2021/2022,all,NECO,3496332,3444508,2256216,782880,695812,87232,51824,1188292,1473336,87224
2021/2022,all,WAEC,4645360,4576680,2996936,1065736,954200,111536,68680,1579744,1931200,111536
2021/2022,disabled,NABTEB,236552,236552,140060,66024,68564,208,0,96492,74196,208
2021/2022,disabled,NECO,383608,382208,234120,81804,86324,60,1400,148088,152332,60
2021/2022,disabled,WAEC,508584,503616,309188,93732,99292,316,4968,194428,215456,316
2022/2023,all,NABTEB,1838548,1811632,1169576,389812,341860,50548,26916,642056,779764,50512
2022/2023,all,NECO,3438116,3387240,2174888,758680,669940,88800,50876,1212352,1416208,88800
2022/2023,all,WAEC,4522828,4456012,2860884,1022916,910068,112848,66816,1595128,1837968,112848
2022/2023,disabled,NABTEB,231028,231028,133728,66812,69076,488,0,97300,66940,488
2022/2023,disabled,NECO,376864,375580,225944,78724,82044,40,1284,149636,147224,40
2022/2023,disabled,WAEC,493872,489388,294500,88816,93532,360,4484,194888,205684,360
2023/2024,all,NABTEB,1912556,1884636,1270648,427304,377864,52472,27920,613988,843344,52444
2023/2024,all,NECO,3536288,3483976,2335644,825968,734160,91864,52312,1148332,1509676,91864
2023/2024,all,WAEC,4745648,4675676,3133512,1134852,1017504,117348,69972,1542164,1998660,117348
2023/2024,disabled,NABTEB,240428,240428,145044,75420,77440,528,0,95384,69624,528
2023/2024,disabled,NECO,387412,385892,242388,84664,89008,56,1520,143504,157724,56
2023/2024,disabled,WAEC,519312,513992,323764,99072,103264,620,5320,190228,224692,620
2024/2025,all,NABTEB,569851,507579,342665,117037,77131,11640,62272,164914,225628,39906
2024/2025,all,NECO,902183,802890,624072,217171,133200,20817,99293,178818,406901,83971
2024/2025,all,WAEC,1163252,1036031,850365,297872,186197,32190,127221,185666,552493,111675
2024/2025,disabled,NABTEB,55205,50016,32993,16460,11178,34,5189,17023,16533,5282
2024/2025,disabled,NECO,88912,79704,57994,18389,12662,33,9208,21710,39605,5727
2024/2025,disabled,WAEC,120852,107879,78490,22168,15154,221,12973,29389,56322,7014
