session,disability_scope,exam_body,gap_band,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,all,NABTEB,1 year,0,136524,98795,41381,38035,3227,0,37729,57414,3346
2022/2023,all,NABTEB,2 years,0,58845,42583,17836,16381,1389,0,16262,24747,1455
2022/2023,all,NABTEB,3-5 years,0,30606,22143,9266,8522,724,0,8463,12877,744
2022/2023,all,NABTEB,5+ years,0,9417,6808,2858,2620,220,0,2609,3950,238
2022/2023,all,NECO,1 year,0,439919,318332,133352,122516,10418,0,121587,184980,10836
2022/2023,all,NECO,2 years,0,189606,137215,57476,52804,4484,0,52391,79739,4672
2022/2023,all,NECO,3-5 years,0,98600,71351,29893,27463,2328,0,27249,41458,2430
2022/2023,all,NECO,5+ years,0,30337,21956,9193,8448,717,0,8381,12763,745
2022/2023,all,WAEC,1 year,0,940495,680585,285105,261949,22270,0,259910,395480,23156
2022/2023,all,WAEC,2 years,0,405392,293352,122882,112895,9600,0,112040,170470,9987
2022/2023,all,WAEC,3-5 years,0,210795,152541,63901,58707,4994,0,58254,88640,5194
2022/2023,all,WAEC,5+ years,0,64864,46939,19657,18060,1538,0,17925,27282,1597
2022/2023,disabled,NABTEB,1 year,0,8872,6416,2695,2459,204,0,2456,3721,236
2022/2023,disabled,NABTEB,2 years,0,3826,2770,1154,1064,71,0,1056,1616,90
2022/2023,disabled,NABTEB,3-5 years,0,1986,1442,603,563,26,0,544,839,40
2022/2023,disabled,NABTEB,5+ years,0,612,439,171,156,2,0,173,268,15
2022/2023,disabled,NECO,1 year,0,28595,20690,8673,7964,681,0,7905,12017,709
2022/2023,disabled,NECO,2 years,0,12325,8920,3740,3430,290,0,3405,5180,310
2022/2023,disabled,NECO,3-5 years,0,6404,4648,1937,1786,143,0,1756,2711,151
2022/2023,disabled,NECO,5+ years,0,1968,1431,601,557,26,0,537,830,44
2022/2023,disabled,WAEC,1 year,0,61133,44241,18529,17023,1453,0,16892,25712,1506
2022/2023,disabled,WAEC,2 years,0,26354,19076,7987,7337,630,0,7278,11089,650
2022/2023,disabled,WAEC,3-5 years,0,13699,9912,4146,3816,319,0,3787,5766,330
2022/2023,disabled,WAEC,5+ years,0,4213,3042,1280,1171,81,0,1171,1762,109
2023/2024,all,NABTEB,1 year,0,141718,103178,44170,40699,3461,0,38540,59008,3471
2023/2024,all,NABTEB,2 years,0,61082,44473,19045,17547,1490,0,16609,25428,1498
2023/2024,all,NABTEB,3-5 years,0,31768,23128,9894,9117,777,0,8640,13234,777
2023/2024,all,NABTEB,5+ years,0,9772,7111,3040,2809,236,0,2661,4071,231
2023/2024,all,NECO,1 year,0,456647,332448,142332,131133,11146,0,124199,190116,11199
2023/2024,all,NECO,2 years,0,196826,143291,61355,56520,4810,0,53535,81936,4835
2023/2024,all,NECO,3-5 years,0,102338,74517,31905,29388,2483,0,27821,42612,2517
2023/2024,all,NECO,5+ years,0,31495,22924,9813,9045,772,0,8571,13111,768
2023/2024,all,WAEC,1 year,0,976285,710748,304281,280333,23837,0,265537,406467,23948
2023/2024,all,WAEC,2 years,0,420809,306357,131162,120837,10270,0,114452,175195,10325
2023/2024,all,WAEC,3-5 years,0,218821,159304,68215,62831,5339,0,59517,91089,5384
2023/2024,all,WAEC,5+ years,0,67339,49021,20988,19341,1647,0,18318,28033,1647
2023/2024,disabled,NABTEB,1 year,0,9212,6700,2869,2639,222,0,2512,3831,230
2023/2024,disabled,NABTEB,2 years,0,3971,2890,1245,1134,77,0,1081,1645,111
2023/2024,disabled,NABTEB,3-5 years,0,2062,1503,643,596,28,0,559,860,47
2023/2024,disabled,NABTEB,5+ years,0,633,461,186,167,2,0,172,275,19
2023/2024,disabled,NECO,1 year,0,29685,21604,9245,8523,725,0,8081,12359,722
2023/2024,disabled,NECO,2 years,0,12792,9315,3993,3675,305,0,3477,5322,318
2023/2024,disabled,NECO,3-5 years,0,6657,4845,2075,1899,155,0,1812,2770,176
2023/2024,disabled,NECO,5+ years,0,2052,1487,635,593,28,0,565,852,42
2023/2024,disabled,WAEC,1 year,0,63458,46202,19777,18226,1548,0,17256,26425,1551
2023/2024,disabled,WAEC,2 years,0,27361,19912,8526,7849,670,0,7449,11386,677
2023/2024,disabled,WAEC,3-5 years,0,14225,10355,4428,4088,352,0,3870,5927,340
2023/2024,disabled,WAEC,5+ years,0,4380,3184,1363,1260,90,0,1196,1821,103
2024/2025,all,NABTEB,1 year,0,148579,107777,45808,42139,3579,0,40802,61969,3669
2024/2025,all,NABTEB,2 years,0,64029,46453,19742,18167,1545,0,17576,26711,1575
2024/2025,all,NABTEB,3-5 years,0,33304,24163,10265,9446,808,0,9141,13898,819
2024/2025,all,NABTEB,5+ years,0,10252,7434,3159,2900,247,0,2818,4275,259
2024/2025,all,NECO,1 year,0,478750,347269,147592,135789,11538,0,131481,199677,11803
2024/2025,all,NECO,2 years,0,206358,149684,63628,58528,4979,0,56674,86056,5100
2024/2025,all,NECO,3-5 years,0,107306,77839,33086,30440,2584,0,29467,44753,2646
2024/2025,all,NECO,5+ years,0,33021,23952,10182,9369,802,0,9069,13770,813
2024/2025,all,WAEC,1 year,0,1023518,742399,315541,290290,24679,0,281119,426858,25251
2024/2025,all,WAEC,2 years,0,441176,320016,136015,125134,10637,0,121160,184001,10881
2024/2025,all,WAEC,3-5 years,0,229413,166410,70721,65073,5532,0,63003,95689,5648
2024/2025,all,WAEC,5+ years,0,70594,51204,21761,20025,1701,0,19390,29443,1736
2024/2025,disabled,NABTEB,1 year,0,9656,7002,2972,2740,231,0,2654,4030,232
2024/2025,disabled,NABTEB,2 years,0,4152,3018,1286,1175,82,0,1134,1732,111
2024/2025,disabled,NABTEB,3-5 years,0,2167,1564,670,615,29,0,603,894,55
2024/2025,disabled,NABTEB,5+ years,0,668,488,199,174,2,0,180,289,25
2024/2025,disabled,NECO,1 year,0,31122,22577,9594,8826,757,0,8545,12983,768
2024/2025,disabled,NECO,2 years,0,13417,9731,4134,3797,317,0,3686,5597,337
2024/2025,disabled,NECO,3-5 years,0,6977,5062,2152,1971,160,0,1915,2910,181
2024/2025,disabled,NECO,5+ years,0,2147,1550,661,610,29,0,597,889,51
2024/2025,disabled,WAEC,1 year,0,66531,48251,20513,18869,1603,0,18280,27738,1644
2024/2025,disabled,WAEC,2 years,0,28669,20798,8839,8133,691,0,7871,11959,706
2024/2025,disabled,WAEC,3-5 years,0,14914,10813,4598,4221,362,0,4101,6215,377
2024/2025,disabled,WAEC,5+ years,0,4590,3322,1412,1304,96,0,1268,1910,108
