session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NABTEB,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NABTEB,2-year,Polytechnic,0,0,10,0,0,2.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NABTEB,3-5-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NECO,1-year,Polytechnic,0,0,30,20,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NECO,2-year,Polytechnic,0,0,10,0,0,2.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NECO,3-5-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NECO,5+-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,WAEC,1-year,Polytechnic,0,0,40,30,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,WAEC,2-year,Polytechnic,0,0,20,10,0,2.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,WAEC,3-5-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,WAEC,5+-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NABTEB,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NABTEB,2-year,Polytechnic,0,0,0,0,0,2.0,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NABTEB,3-5-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NECO,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NECO,2-year,Polytechnic,0,0,0,0,0,2.0,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NECO,3-5-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NECO,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,WAEC,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,WAEC,2-year,Polytechnic,0,0,0,0,0,2.0,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,WAEC,3-5-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,WAEC,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NABTEB,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NABTEB,2-year,Polytechnic,0,0,10,0,0,2.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NABTEB,3-5-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NECO,1-year,Polytechnic,0,0,20,10,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NECO,2-year,Polytechnic,0,0,10,0,0,2.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NECO,3-5-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NECO,5+-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,WAEC,1-year,Polytechnic,0,0,40,30,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,WAEC,2-year,Polytechnic,0,0,20,10,0,2.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,WAEC,3-5-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,WAEC,5+-year,Polytechnic,0,0,10,0,0,1.5,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NABTEB,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NABTEB,2-year,Polytechnic,0,0,0,0,0,2.0,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NABTEB,3-5-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NECO,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NECO,2-year,Polytechnic,0,0,0,0,0,2.0,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NECO,3-5-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NECO,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,WAEC,1-year,Polytechnic,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,WAEC,2-year,Polytechnic,0,0,0,0,0,2.0,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,WAEC,3-5-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,WAEC,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,ALL,NABTEB,1-year,College of Education,0,0,10,0,0,1.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,ALL,NABTEB,2-year,College of Education,0,0,10,0,0,2.0,0,0,0,0,1
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,ALL,NABTEB,3-5-year,College of Education,0,0,10,0,0,1.5,0,0,0,0,1
