session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NABTEB,1-year,College of Education,8,12,3,1,0,1.0,0,0,0,10,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NABTEB,2-year,College of Education,5,7,1,0,0,2.0,0,0,0,6,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NABTEB,3-5-year,College of Education,3,4,1,0,0,1.5,0,0,0,3,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NABTEB,5+-year,College of Education,2,3,1,0,0,1.5,0,0,0,2,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NECO,1-year,College of Education,13,20,4,3,0,1.0,0,0,0,17,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NECO,2-year,College of Education,9,13,3,1,0,2.0,0,0,0,11,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NECO,3-5-year,College of Education,6,9,3,1,0,1.5,0,0,0,7,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,NECO,5+-year,College of Education,3,4,1,0,0,1.5,0,0,0,3,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,WAEC,1-year,College of Education,18,24,5,4,0,1.0,0,0,0,21,1
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,ALL,WAEC,2-year,College of Education,12,17,4,3,0,2.0,0,0,0,14,1
