session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NABTEB,1-year,University,22,32,49,35,23,1.0,0,0,0,0,11
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NABTEB,2-year,University,16,23,34,33,0,2.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NABTEB,3-5-year,University,9,14,16,14,0,1.5,0,0,0,2,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NABTEB,5+-year,University,6,8,16,14,0,1.5,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NECO,1-year,University,43,58,58,55,8,1.0,0,0,0,13,3
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NECO,2-year,University,27,35,49,42,15,2.0,0,0,0,0,6
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NECO,3-5-year,University,16,23,25,23,0,1.5,0,0,0,4,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,NECO,5+-year,University,10,15,12,10,0,1.5,0,0,0,6,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,WAEC,1-year,University,62,85,104,83,30,1.0,0,0,0,5,16
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,WAEC,2-year,University,39,53,67,61,8,2.0,0,0,0,1,5
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,WAEC,3-5-year,University,21,30,34,33,0,1.5,0,0,0,4,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,WAEC,5+-year,University,11,16,12,10,0,1.5,0,0,0,7,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NABTEB,1-year,University,2,2,10,9,0,1.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NABTEB,2-year,University,1,2,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NABTEB,3-5-year,University,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NECO,1-year,University,3,4,8,7,0,1.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NECO,2-year,University,2,2,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NECO,3-5-year,University,1,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,NECO,5+-year,University,1,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,WAEC,1-year,University,3,3,8,7,0,1.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,WAEC,2-year,University,2,3,0,0,0,2.0,0,0,0,3,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,WAEC,3-5-year,University,2,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,Disabled,WAEC,5+-year,University,1,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NABTEB,1-year,University,22,31,49,35,23,1.0,0,0,0,0,11
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NABTEB,2-year,University,14,21,34,33,0,2.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NABTEB,3-5-year,University,9,10,18,17,0,1.5,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NABTEB,5+-year,University,4,5,0,0,0,1.5,0,0,0,5,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NECO,1-year,University,40,54,70,68,8,1.0,0,0,0,0,2
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NECO,2-year,University,26,36,45,44,0,2.0,0,0,0,1,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NECO,3-5-year,University,16,23,25,23,0,1.5,0,0,0,4,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,NECO,5+-year,University,10,13,25,13,23,1.5,0,0,0,0,9
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,WAEC,1-year,University,47,65,92,73,30,1.0,0,0,0,0,15
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,WAEC,2-year,University,30,41,58,48,15,2.0,0,0,0,0,8
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,WAEC,3-5-year,University,22,31,34,33,0,1.5,0,0,0,5,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,ALL,WAEC,5+-year,University,11,16,22,21,0,1.5,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NABTEB,1-year,University,2,2,10,9,0,1.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NABTEB,2-year,University,1,2,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NABTEB,3-5-year,University,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NECO,1-year,University,3,4,8,7,0,1.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NECO,2-year,University,1,1,0,0,0,2.0,0,0,0,1,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NECO,3-5-year,University,1,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,NECO,5+-year,University,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,WAEC,1-year,University,3,3,8,7,0,1.0,0,0,1,0,1
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,WAEC,2-year,University,2,3,0,0,0,2.0,0,0,0,3,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,WAEC,3-5-year,University,2,1,0,0,0,1.5,0,0,1,1,0
2022/2023,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Male,Disabled,WAEC,5+-year,University,1,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NABTEB,1-year,University,16,20,34,20,23,1.0,0,0,0,0,11
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NABTEB,2-year,University,9,15,16,14,0,2.0,0,0,0,3,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NABTEB,3-5-year,University,6,8,16,14,0,1.5,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NABTEB,5+-year,University,3,3,0,0,0,1.5,0,0,1,3,0
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NECO,1-year,University,24,33,36,26,15,1.0,0,0,0,5,8
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NECO,2-year,University,16,23,25,23,0,2.0,0,0,0,4,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NECO,3-5-year,University,10,13,12,10,0,1.5,0,0,0,4,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,NECO,5+-year,University,5,7,12,10,0,1.5,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,WAEC,1-year,University,32,41,45,44,0,1.0,0,0,0,6,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,WAEC,2-year,University,21,28,34,33,0,2.0,0,0,0,2,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,WAEC,3-5-year,University,12,16,25,13,23,1.5,0,0,0,0,9
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,ALL,WAEC,5+-year,University,6,10,12,10,0,1.5,0,0,0,1,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,Disabled,NABTEB,1-year,University,2,2,10,9,0,1.0,0,0,0,0,1
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,Disabled,NABTEB,2-year,University,1,2,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,Disabled,NABTEB,3-5-year,University,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Borno,Biu,Buratai,"Comprehensive High School, Buratai",Female,Disabled,NECO,1-year,University,2,2,8,7,0,1.0,0,0,0,0,1
