session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NABTEB,1-year,College of Education,15,19,39,25,13,1.0,0,0,0,0,6
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NABTEB,2-year,College of Education,9,11,11,9,0,2.0,0,0,0,1,1
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NABTEB,3-5-year,College of Education,6,7,11,9,0,1.5,0,0,0,0,1
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NABTEB,5+-year,College of Education,5,5,11,9,0,1.5,0,0,0,0,1
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NECO,1-year,College of Education,23,28,43,36,7,1.0,0,0,0,0,3
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NECO,2-year,College of Education,15,18,32,25,7,2.0,0,0,0,0,3
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NECO,3-5-year,College of Education,11,12,23,20,0,1.5,0,0,0,0,1
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NECO,5+-year,College of Education,6,9,11,9,0,1.5,0,0,0,0,1
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,WAEC,1-year,College of Education,38,49,82,77,7,1.0,0,0,0,0,2
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,WAEC,2-year,College of Education,23,30,50,43,7,2.0,0,0,0,0,3
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,WAEC,3-5-year,College of Education,14,18,29,23,7,1.5,0,0,0,0,3
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,WAEC,5+-year,College of Education,9,12,18,16,0,1.5,0,0,0,0,1
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,Disabled,NABTEB,1-year,College of Education,2,2,9,7,0,1.0,0,0,0,0,1
