session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NABTEB,1-year,Polytechnic,13,20,33,26,0,1.0,0,0,0,0,1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NABTEB,2-year,Polytechnic,9,10,33,20,3,2.0,0,0,0,0,2
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NABTEB,3-5-year,Polytechnic,4,5,20,13,0,1.5,0,0,0,0,1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NABTEB,5+-year,Polytechnic,4,5,20,13,0,1.5,0,0,0,0,1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NECO,1-year,Polytechnic,26,36,92,86,0,1.0,0,0,0,0,1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NECO,2-year,Polytechnic,13,20,66,53,3,2.0,0,0,0,0,2
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NECO,3-5-year,Polytechnic,9,15,33,26,0,1.5,0,0,0,0,1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NECO,5+-year,Polytechnic,4,10,20,13,0,1.5,0,0,0,0,1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,WAEC,1-year,Polytechnic,35,46,145,125,3,1.0,0,0,0,0,3
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,WAEC,2-year,Polytechnic,18,25,86,79,0,2.0,0,0,0,0,1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,WAEC,3-5-year,Polytechnic,13,20,53,46,0,1.5,0,0,0,0,1
