session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,Disabled,NECO,3-5-year,College of Education,1,3,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,Disabled,NECO,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Ambassadors Academy,Female,Disabled,WAEC,1-year,College of Education,2,5,2,0,0,1.0,0,0,0,3,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Bayan Banki Primary School Alkaleri,Female,Disabled,WAEC,2-year,College of Education,2,3,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Bunga Primary School,Female,Disabled,WAEC,3-5-year,College of Education,1,3,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Female,Disabled,WAEC,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,College For Arabic And Higher Islamic Studies Alkaleri,Male,ALL,NABTEB,1-year,College of Education,17,24,5,3,0,1.0,0,0,0,15,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Federal Low Cost Primary School,Male,ALL,NABTEB,2-year,College of Education,11,19,5,3,0,2.0,0,0,0,11,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Male,ALL,NABTEB,3-5-year,College of Education,8,9,5,3,0,1.5,0,0,0,4,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondary School Guruntun,Male,ALL,NABTEB,5+-year,College of Education,3,4,0,0,0,1.5,0,0,0,3,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondry School Kumbala,Male,ALL,NECO,1-year,College of Education,24,36,7,3,14,1.0,0,0,0,23,2
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Gumli Nomadic Primary School,Male,ALL,NECO,2-year,College of Education,16,20,3,2,0,2.0,0,0,0,13,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Intergrated Royal Academy Alkaleri,Male,ALL,NECO,3-5-year,College of Education,9,16,3,2,0,1.5,0,0,0,10,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Jamda Primary School,Male,ALL,NECO,5+-year,College of Education,8,8,0,0,0,1.5,0,0,1,6,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Kargo Primary School,Male,ALL,WAEC,1-year,College of Education,38,48,9,7,0,1.0,0,0,0,31,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Kuka Primary School,Male,ALL,WAEC,2-year,College of Education,24,33,7,5,0,2.0,0,0,0,21,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Londo Primary School,Male,ALL,WAEC,3-5-year,College of Education,14,19,3,2,0,1.5,0,0,0,12,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Natsira Primary School,Male,ALL,WAEC,5+-year,College of Education,9,11,3,2,0,1.5,0,0,0,6,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Rapid Result Academy Nursery - Primary School,Male,Disabled,NABTEB,1-year,College of Education,2,4,3,2,0,1.0,0,0,0,1,1
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Scholars Academy Alkaleri,Male,Disabled,NABTEB,2-year,College of Education,1,4,0,0,0,2.0,0,0,0,3,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Tudun Wada,Male,Disabled,NABTEB,3-5-year,College of Education,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Walakerol Primary School,Male,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Zange Primary School,Male,Disabled,NECO,1-year,College of Education,2,4,3,2,0,1.0,0,0,0,1,1
2022/2023,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Abbas Primary School,Female,ALL,WAEC,5+-year,College of Education,21,28,7,3,14,1.5,0,0,0,17,2
2022/2023,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Babani Primary School,Female,Disabled,NABTEB,1-year,College of Education,3,3,3,2,0,1.0,0,0,1,0,1
