session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NABTEB,1-year,University,23,31,31,30,0,1.0,0,0,0,10,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NABTEB,2-year,University,13,20,14,13,0,2.0,0,0,0,13,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NABTEB,3-5-year,University,10,12,14,13,0,1.5,0,0,0,1,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NABTEB,5+-year,University,6,8,17,0,17,1.5,0,0,0,0,20
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NECO,1-year,University,45,64,61,61,0,1.0,0,0,0,24,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NECO,2-year,University,28,37,48,47,0,2.0,0,0,0,0,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NECO,3-5-year,University,16,24,31,14,14,1.5,0,0,0,0,19
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,NECO,5+-year,University,12,17,17,14,3,1.5,0,0,0,5,4
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,WAEC,1-year,University,59,76,75,72,3,1.0,0,0,0,26,4
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,WAEC,2-year,University,39,49,52,43,8,2.0,0,0,0,13,10
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,WAEC,3-5-year,University,26,33,24,23,0,1.5,0,0,0,22,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,ALL,WAEC,5+-year,University,17,22,24,23,0,1.5,0,0,0,5,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NABTEB,1-year,University,2,3,10,9,0,1.0,0,0,0,0,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NABTEB,2-year,University,1,3,0,0,0,2.0,0,0,0,4,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NABTEB,3-5-year,University,1,0,0,0,0,1.5,0,0,2,0,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NECO,1-year,University,3,5,11,9,3,1.0,0,0,0,0,3
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NECO,2-year,University,2,3,0,0,0,2.0,0,0,0,4,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NECO,3-5-year,University,1,3,0,0,0,1.5,0,0,0,4,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,NECO,5+-year,University,1,3,0,0,0,1.5,0,0,0,4,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,WAEC,1-year,University,5,7,10,9,0,1.0,0,0,0,0,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,WAEC,2-year,University,3,4,10,9,0,2.0,0,0,0,0,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,WAEC,3-5-year,University,2,3,0,0,0,1.5,0,0,0,4,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Disabled,WAEC,5+-year,University,1,3,0,0,0,1.5,0,0,0,4,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NABTEB,1-year,University,22,31,31,30,0,1.0,0,0,0,10,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NABTEB,2-year,University,13,17,14,13,0,2.0,0,0,0,9,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NABTEB,3-5-year,University,10,14,14,13,0,1.5,0,0,0,5,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NABTEB,5+-year,University,6,7,14,0,11,1.5,0,0,0,0,16
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NECO,1-year,University,39,50,61,61,0,1.0,0,0,0,4,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NECO,2-year,University,25,32,31,30,0,2.0,0,0,0,12,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NECO,3-5-year,University,17,21,31,14,14,1.5,0,0,0,0,19
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,NECO,5+-year,University,8,12,17,14,3,1.5,0,0,0,0,4
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,WAEC,1-year,University,56,69,75,72,3,1.0,0,0,0,16,4
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,WAEC,2-year,University,38,48,52,43,8,2.0,0,0,0,12,10
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,WAEC,3-5-year,University,24,29,24,23,0,1.5,0,0,0,16,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,ALL,WAEC,5+-year,University,13,16,14,13,0,1.5,0,0,0,8,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NABTEB,1-year,University,2,2,10,9,0,1.0,0,0,1,0,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NABTEB,2-year,University,1,2,0,0,0,2.0,0,0,0,3,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NABTEB,3-5-year,University,1,0,0,0,0,1.5,0,0,2,0,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NECO,1-year,University,3,5,11,9,3,1.0,0,0,0,0,3
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NECO,2-year,University,2,2,0,0,0,2.0,0,0,1,3,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NECO,3-5-year,University,1,2,0,0,0,1.5,0,0,0,3,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,NECO,5+-year,University,1,0,0,0,0,1.5,0,0,2,0,0
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,WAEC,1-year,University,4,4,10,9,0,1.0,0,0,1,0,1
2022/2023,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Disabled,WAEC,2-year,University,3,4,0,0,0,2.0,0,0,0,6,0
