session,zone,state,gender,almajiri_count
2019/2020,North Central,Abuja Federal Capital Territory,Female,8667
2019/2020,North Central,Abuja Federal Capital Territory,Male,12119
2019/2020,North Central,Benue,Female,8349
2019/2020,North Central,Benue,Male,11548
2019/2020,North Central,Kogi,Female,8843
2019/2020,North Central,Kogi,Male,11900
2019/2020,North Central,Kwara,Female,8250
2019/2020,North Central,Kwara,Male,11298
2019/2020,North Central,Nasarawa,Female,7210
2019/2020,North Central,Nasarawa,Male,10114
2019/2020,North Central,Niger,Female,8948
2019/2020,North Central,Niger,Male,12228
2019/2020,North Central,Plateau,Female,8742
2019/2020,North Central,Plateau,Male,12124
2019/2020,North East,Adamawa,Female,8392
2019/2020,North East,Adamawa,Male,11828
2019/2020,North East,Borno,Female,7564
2019/2020,North East,Borno,Male,10449
2019/2020,North East,Gombe,Female,7131
2019/2020,North East,Gombe,Male,9747
2019/2020,North East,Taraba,Female,7970
2019/2020,North East,Taraba,Male,10960
2019/2020,North East,Yobe,Female,7880
2019/2020,North East,Yobe,Male,10752
2019/2020,North West,Kaduna,Female,10549
2019/2020,North West,Kaduna,Male,14138
2019/2020,North West,Kano,Female,10671
2019/2020,North West,Kano,Male,14682
2019/2020,North West,Katsina,Female,9327
2019/2020,North West,Katsina,Male,12989
2019/2020,North West,Kebbi,Female,7308
2019/2020,North West,Kebbi,Male,10263
2019/2020,North West,Sokoto,Female,8873
2019/2020,North West,Sokoto,Male,12023
2019/2020,North West,Zamfara,Female,8701
2019/2020,North West,Zamfara,Male,11989
2019/2020,South East,Abia,Female,9028
2019/2020,South East,Abia,Male,12424
2019/2020,South East,Anambra,Female,8375
2019/2020,South East,Anambra,Male,11642
2019/2020,South East,Ebonyi,Female,7427
2019/2020,South East,Ebonyi,Male,10218
2019/2020,South East,Imo,Female,8474
2019/2020,South East,Imo,Male,11554
2019/2020,South South,Akwa Ibom,Female,7701
2019/2020,South South,Akwa Ibom,Male,10567
2019/2020,South South,Bayelsa,Female,6794
2019/2020,South South,Bayelsa,Male,9132
2019/2020,South South,Cross River,Female,7443
2019/2020,South South,Cross River,Male,10244
2019/2020,South South,Delta,Female,8574
2019/2020,South South,Delta,Male,11748
2019/2020,South South,Edo,Female,8395
2019/2020,South South,Edo,Male,11552
2019/2020,South South,Rivers,Female,9843
2019/2020,South South,Rivers,Male,13649
2019/2020,South West,Ekiti,Female,7877
2019/2020,South West,Ekiti,Male,10840
2019/2020,South West,Lagos,Female,12165
2019/2020,South West,Lagos,Male,16826
2019/2020,South West,Ogun,Female,9007
2019/2020,South West,Ogun,Male,12418
2019/2020,South West,Ondo,Female,8378
2019/2020,South West,Ondo,Male,11516
2019/2020,South West,Osun,Female,7838
2019/2020,South West,Osun,Male,11011
2019/2020,South West,Oyo,Female,9210
2019/2020,South West,Oyo,Male,12832
2020/2021,North Central,Abuja Federal Capital Territory,Female,9944
2020/2021,North Central,Abuja Federal Capital Territory,Male,13655
2020/2021,North Central,Benue,Female,9387
2020/2021,North Central,Benue,Male,12637
2020/2021,North Central,Kogi,Female,9172
2020/2021,North Central,Kogi,Male,12509
2020/2021,North Central,Kwara,Female,9492
2020/2021,North Central,Kwara,Male,13220
2020/2021,North Central,Nasarawa,Female,7404
