session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ado-Ekiti,South West,Ekiti,Ado-Ekiti,,,258,0,12,40,28,21.5,6.45,9.2143,16.96,38.4,2.64,5.86,7.43,4.98,4.81
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Efon,South West,Ekiti,Efon,,,220,0,12,34,24,18.3333,6.4706,9.1667,16.98,32.64,2.65,5.89,7.43,4.98,4.81
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Emure,South West,Ekiti,Emure,,,329,0,12,49,35,27.4167,6.7143,9.4,16.89,47.04,2.61,5.74,7.41,4.96,4.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Gbonyin,South West,Ekiti,Gbonyin,,,301,0,12,42,29,25.0833,7.1667,10.3793,16.52,40.32,2.48,5.2,7.31,4.89,4.76
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ijero,South West,Ekiti,Ijero,,,304,0,12,45,32,25.3333,6.7556,9.5,16.85,43.2,2.6,5.68,7.4,4.95,4.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ado-Ekiti,South West,Ekiti,Ado-Ekiti,,,199,0,12,32,24,16.5833,6.2188,8.2917,17.4,30.72,2.8,6.51,7.55,5.07,4.86
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Efon,South West,Ekiti,Efon,,,170,0,12,28,21,14.1667,6.0714,8.0952,17.5,26.88,2.84,6.67,7.58,5.09,4.87
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Emure,South West,Ekiti,Emure,,,256,0,16,39,28,16.0,6.5641,9.1429,16.99,37.44,3.54,7.87,9.92,6.65,6.42
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Gbonyin,South West,Ekiti,Gbonyin,,,235,0,12,35,25,19.5833,6.7143,9.4,16.89,33.6,2.61,5.74,7.41,4.96,4.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ijero,South West,Ekiti,Ijero,,,236,0,12,35,26,19.6667,6.7429,9.0769,17.02,33.6,2.66,5.95,7.45,4.99,4.82
