session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Awka North,South East,Anambra,Awka North,,,307,0,12,40,27,25.5833,7.675,11.3704,16.22,38.4,2.37,4.75,7.23,4.83,4.72
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Awka South,South East,Anambra,Awka South,,,267,0,12,35,23,22.25,7.6286,11.6087,16.16,33.6,2.35,4.65,7.21,4.81,4.71
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Nnewi North,South East,Anambra,Nnewi North,,,308,0,12,39,25,25.6667,7.8974,12.32,15.98,37.44,2.29,4.38,7.16,4.77,4.69
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Onitsha North,South East,Anambra,Onitsha North,,,314,0,12,40,27,26.1667,7.85,11.6296,16.15,38.4,2.35,4.64,7.21,4.81,4.71
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Onitsha South,South East,Anambra,Onitsha South,,,261,0,12,35,23,21.75,7.4571,11.3478,16.23,33.6,2.38,4.76,7.23,4.83,4.72
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Awka North,South East,Anambra,Awka North,,,237,0,12,31,20,19.75,7.6452,11.85,16.09,29.76,2.33,4.56,7.19,4.8,4.71
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Awka South,South East,Anambra,Awka South,,,206,0,12,28,19,17.1667,7.3571,10.8421,16.38,26.88,2.43,4.98,7.27,4.86,4.74
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Nnewi North,South East,Anambra,Nnewi North,,,239,0,12,32,21,19.9167,7.4688,11.381,16.22,30.72,2.37,4.74,7.23,4.82,4.72
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Onitsha North,South East,Anambra,Onitsha North,,,244,0,12,32,22,20.3333,7.625,11.0909,16.3,30.72,2.4,4.87,7.25,4.84,4.73
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Onitsha South,South East,Anambra,Onitsha South,,,204,0,12,28,19,17.0,7.2857,10.7368,16.41,26.88,2.44,5.03,7.28,4.86,4.74
