session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ibadan North,South West,Oyo,Ibadan North,,,292,0,16,35,26,18.25,8.3429,11.2308
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,359,0,16,42,32,22.4375,8.5476,11.2188
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,307,0,12,36,29,25.5833,8.5278,10.5862
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Oyo East,South West,Oyo,Oyo East,,,374,0,16,43,32,23.375,8.6977,11.6875
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Saki East,South West,Oyo,Saki East,,,285,0,12,32,24,23.75,8.9062,11.875
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ibadan North,South West,Oyo,Ibadan North,,,225,0,16,28,21,14.0625,8.0357,10.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,279,0,12,34,26,23.25,8.2059,10.7308
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,240,0,12,30,23,20.0,8.0,10.4348
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Oyo East,South West,Oyo,Oyo East,,,290,0,16,36,28,18.125,8.0556,10.3571
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Saki East,South West,Oyo,Saki East,,,222,0,12,28,22,18.5,7.9286,10.0909
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Ibadan North,South West,Oyo,Ibadan North,,,124,0,16,19,15,7.75,6.5263,8.2667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,153,0,12,21,15,12.75,7.2857,10.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,131,0,12,18,13,10.9167,7.2778,10.0769
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Oyo East,South West,Oyo,Oyo East,,,158,0,16,23,17,9.875,6.8696,9.2941
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Saki East,South West,Oyo,Saki East,,,122,0,12,18,14,10.1667,6.7778,8.7143
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Ibadan North,South West,Oyo,Ibadan North,,,970,0,20,46,36,48.5,21.087,26.9444
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,1124,0,32,51,38,35.125,22.0392,29.5789
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,1073,0,32,51,37,33.5312,21.0392,29.0
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Oyo East,South West,Oyo,Oyo East,,,1036,0,28,49,36,37.0,21.1429,28.7778
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Saki East,South West,Oyo,Saki East,,,1103,0,28,53,39,39.3929,20.8113,28.2821
2019/2020,Female,all,Private,JSS,JSS2,,lga,Ibadan North,South West,Oyo,Ibadan North,,,795,0,24,38,29,33.125,20.9211,27.4138
2019/2020,Female,all,Private,JSS,JSS2,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,923,0,32,44,33,28.8438,20.9773,27.9697
2019/2020,Female,all,Private,JSS,JSS2,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,875,0,32,44,34,27.3438,19.8864,25.7353
2019/2020,Female,all,Private,JSS,JSS2,,lga,Oyo East,South West,Oyo,Oyo East,,,850,0,28,42,32,30.3571,20.2381,26.5625
2019/2020,Female,all,Private,JSS,JSS2,,lga,Saki East,South West,Oyo,Saki East,,,906,0,28,43,33,32.3571,21.0698,27.4545
2019/2020,Female,all,Private,JSS,JSS3,,lga,Ibadan North,South West,Oyo,Ibadan North,,,634,0,24,32,24,26.4167,19.8125,26.4167
2019/2020,Female,all,Private,JSS,JSS3,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,735,0,28,37,29,26.25,19.8649,25.3448
2019/2020,Female,all,Private,JSS,JSS3,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,700,0,32,36,28,21.875,19.4444,25.0
2019/2020,Female,all,Private,JSS,JSS3,,lga,Oyo East,South West,Oyo,Oyo East,,,677,0,28,35,27,24.1786,19.3429,25.0741
2019/2020,Female,all,Private,JSS,JSS3,,lga,Saki East,South West,Oyo,Saki East,,,720,0,28,36,26,25.7143,20.0,27.6923
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ibadan North,South West,Oyo,Ibadan North,,,2120,0,36,112,82,58.8889,18.9286,25.8537
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,2739,0,44,140,102,62.25,19.5643,26.8529
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,2340,0,36,123,90,65.0,19.0244,26.0
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Oyo East,South West,Oyo,Oyo East,,,3622,0,60,184,135,60.3667,19.6848,26.8296
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Saki East,South West,Oyo,Saki East,,,3018,0,56,160,116,53.8929,18.8625,26.0172
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Ibadan North,South West,Oyo,Ibadan North,,,1882,0,36,99,71,52.2778,19.0101,26.507
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,2437,0,48,126,91,50.7708,19.3413,26.7802
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,2078,0,40,110,81,51.95,18.8909,25.6543
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Oyo East,South West,Oyo,Oyo East,,,3214,0,60,164,121,53.5667,19.5976,26.562
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Saki East,South West,Oyo,Saki East,,,2676,0,56,144,106,47.7857,18.5833,25.2453
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Ibadan North,South West,Oyo,Ibadan North,,,1691,0,36,90,67,46.9722,18.7889,25.2388
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,2188,0,48,114,84,45.5833,19.193,26.0476
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,1871,0,40,100,73,46.775,18.71,25.6301
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Oyo East,South West,Oyo,Oyo East,,,2891,0,60,147,108,48.1833,19.6667,26.7685
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Saki East,South West,Oyo,Saki East,,,2406,0,52,130,95,46.2692,18.5077,25.3263
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Ibadan North,South West,Oyo,Ibadan North,,,1547,0,36,82,60,42.9722,18.8659,25.7833
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,2000,0,48,103,75,41.6667,19.4175,26.6667
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,1706,0,36,92,68,47.3889,18.5435,25.0882
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Oyo East,South West,Oyo,Oyo East,,,2643,0,60,136,98,44.05,19.4338,26.9694
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Saki East,South West,Oyo,Saki East,,,2199,0,52,120,88,42.2885,18.325,24.9886
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Ibadan North,South West,Oyo,Ibadan North,,,1449,0,36,77,56,40.25,18.8182,25.875
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Ibadan South West,South West,Oyo,Ibadan South West,,,1873,0,48,98,73,39.0208,19.1122,25.6575
