session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Bade,North East,Yobe,Bade,,,298,0,12,36,10,24.8333,8.2778,29.8,14.26,34.56,1.67,1.81,6.7,4.42,4.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Damaturu,North East,Yobe,Damaturu,,,246,0,8,32,9,30.75,7.6875,27.3333,14.37,30.72,1.14,1.32,4.49,2.96,3
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Geidam,North East,Yobe,Geidam,,,317,0,12,38,10,26.4167,8.3421,31.7,14.19,36.48,1.64,1.7,6.68,4.4,4.48
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Nguru,North East,Yobe,Nguru,,,307,0,12,38,11,25.5833,8.0789,27.9091,14.35,36.48,1.7,1.93,6.72,4.44,4.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Potiskum,North East,Yobe,Potiskum,,,225,0,12,30,8,18.75,7.5,28.125,14.34,28.8,1.7,1.92,6.72,4.43,4.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Bade,North East,Yobe,Bade,,,231,0,12,29,8,19.25,7.9655,28.875,14.3,27.84,1.68,1.87,6.71,4.43,4.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Damaturu,North East,Yobe,Damaturu,,,191,0,8,26,6,23.875,7.3462,31.8333,14.19,24.96,1.09,1.13,4.45,2.94,2.98
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Geidam,North East,Yobe,Geidam,,,246,0,12,31,8,20.5,7.9355,30.75,14.23,29.76,1.66,1.76,6.69,4.41,4.48
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Nguru,North East,Yobe,Nguru,,,238,0,12,30,8,19.8333,7.9333,29.75,14.27,28.8,1.67,1.82,6.7,4.42,4.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Potiskum,North East,Yobe,Potiskum,,,175,0,12,24,6,14.5833,7.2917,29.1667,14.29,23.04,1.68,1.85,6.71,4.42,4.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Bade,North East,Yobe,Bade,,,126,0,12,19,5,10.5,6.6316,25.2,14.48,18.24,1.75,2.14,6.76,4.46,4.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Damaturu,North East,Yobe,Damaturu,,,104,0,8,17,4,13.0,6.1176,26.0,14.44,16.32,1.16,1.38,4.5,2.97,3
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Geidam,North East,Yobe,Geidam,,,135,0,12,20,6,11.25,6.75,22.5,14.66,19.2,1.81,2.4,6.81,4.5,4.53
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Nguru,North East,Yobe,Nguru,,,130,0,12,19,5,10.8333,6.8421,26.0,14.44,18.24,1.73,2.08,6.75,4.46,4.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Potiskum,North East,Yobe,Potiskum,,,96,0,12,16,4,8.0,6.0,24.0,14.56,15.36,1.77,2.25,6.78,4.48,4.52
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Bade,North East,Yobe,Bade,,,1049,0,24,50,16,43.7083,20.98,65.5625,8.02,27.47,5.27,1.65,8.41,5.15,5.31
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Damaturu,North East,Yobe,Damaturu,,,785,0,20,39,10,39.25,20.1282,78.5,8.02,21.69,4.34,1.15,7.03,4.3,4.45
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Geidam,North East,Yobe,Geidam,,,1075,0,28,52,15,38.3929,20.6731,71.6667,7.82,27.99,6.08,1.76,9.64,5.87,6.07
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Nguru,North East,Yobe,Nguru,,,887,0,20,44,12,44.35,20.1591,73.9167,8.3,25.27,4.39,1.22,7.22,4.44,4.59
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Potiskum,North East,Yobe,Potiskum,,,757,0,20,39,11,37.85,19.4103,68.8182,8.29,22.28,4.4,1.31,7.21,4.43,4.57
2019/2020,Female,all,Private,JSS,JSS2,,lga,Bade,North East,Yobe,Bade,,,861,0,28,43,11,30.75,20.0233,78.2727,7.63,22.67,6.03,1.61,9.47,5.75,5.94
2019/2020,Female,all,Private,JSS,JSS2,,lga,Damaturu,North East,Yobe,Damaturu,,,645,0,20,34,10,32.25,18.9706,64.5,8.21,19.12,4.41,1.4,7.14,4.38,4.52
2019/2020,Female,all,Private,JSS,JSS2,,lga,Geidam,North East,Yobe,Geidam,,,886,0,28,44,13,31.6429,20.1364,68.1538,7.7,23.21,6.08,1.85,9.52,5.78,5.97
2019/2020,Female,all,Private,JSS,JSS2,,lga,Nguru,North East,Yobe,Nguru,,,726,0,20,38,10,36.3,19.1053,72.6,8.31,21.82,4.39,1.24,7.22,4.44,4.59
2019/2020,Female,all,Private,JSS,JSS2,,lga,Potiskum,North East,Yobe,Potiskum,,,615,0,20,33,10,30.75,18.6364,61.5,8.29,18.69,4.43,1.46,7.19,4.42,4.55
2019/2020,Female,all,Private,JSS,JSS3,,lga,Bade,North East,Yobe,Bade,,,687,0,32,34,10,21.4688,20.2059,68.7,7.18,16.64,6.87,2.1,10.3,6.18,6.38
2019/2020,Female,all,Private,JSS,JSS3,,lga,Damaturu,North East,Yobe,Damaturu,,,517,0,20,28,7,25.85,18.4643,73.8571,7.99,15.45,4.35,1.22,7.01,4.28,4.43
2019/2020,Female,all,Private,JSS,JSS3,,lga,Geidam,North East,Yobe,Geidam,,,703,0,28,36,10,25.1071,19.5278,70.3,7.57,18.68,6.05,1.79,9.39,5.69,5.88
2019/2020,Female,all,Private,JSS,JSS3,,lga,Nguru,North East,Yobe,Nguru,,,582,0,20,32,10,29.1,18.1875,58.2,8.42,18.36,4.46,1.55,7.27,4.48,4.61
2019/2020,Female,all,Private,JSS,JSS3,,lga,Potiskum,North East,Yobe,Potiskum,,,494,0,20,27,7,24.7,18.2963,70.5714,8.02,14.91,4.37,1.28,7.02,4.29,4.43
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Bade,North East,Yobe,Bade,,,2655,0,48,141,42,55.3125,18.8298,63.2143,9.52,92.84,6.31,3.42,19.31,12.12,12.48
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Damaturu,North East,Yobe,Damaturu,,,2299,0,44,126,39,52.25,18.246,58.9487,9.68,84.03,5.86,3.36,17.92,11.28,11.6
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Geidam,North East,Yobe,Geidam,,,2773,0,44,148,45,63.0227,18.7365,61.6222,10,102.5,5.91,3.21,18.42,11.65,11.99
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Nguru,North East,Yobe,Nguru,,,2314,0,40,126,39,57.85,18.3651,59.3333,9.93,86.37,5.38,3.03,16.63,10.5,10.8
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Potiskum,North East,Yobe,Potiskum,,,2195,0,40,121,36,54.875,18.1405,60.9722,9.86,82.48,5.35,2.95,16.55,10.44,10.74
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Bade,North East,Yobe,Bade,,,2361,0,48,125,39,49.1875,18.888,60.5385,9.19,79.01,6.26,3.57,18.74,11.71,12.05
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Damaturu,North East,Yobe,Damaturu,,,2043,0,40,113,36,51.075,18.0796,56.75,9.72,75.51,5.36,3.17,16.33,10.28,10.57
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Geidam,North East,Yobe,Geidam,,,2462,0,48,133,41,51.2917,18.5113,60.0488,9.49,86.91,6.34,3.6,19.23,12.07,12.41
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Nguru,North East,Yobe,Nguru,,,2055,0,44,112,34,46.7045,18.3482,60.4412,9.31,71.74,5.77,3.28,17.36,10.86,11.18
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Potiskum,North East,Yobe,Potiskum,,,1950,0,40,108,33,48.75,18.0556,59.0909,9.58,71.22,5.31,3.05,16.15,10.15,10.43
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Bade,North East,Yobe,Bade,,,2121,0,48,112,33,44.1875,18.9375,64.2727,8.86,68.39,6.14,3.36,18.22,11.32,11.66
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Damaturu,North East,Yobe,Damaturu,,,1838,0,36,101,31,51.0556,18.198,59.2903,9.63,67.04,4.79,2.73,14.6,9.18,9.45
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Geidam,North East,Yobe,Geidam,,,2214,0,48,120,37,46.125,18.45,59.8378,9.23,76.16,6.28,3.61,18.81,11.76,12.09
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Nguru,North East,Yobe,Nguru,,,1848,0,36,102,30,51.3333,18.1176,61.6,9.67,68.12,4.77,2.63,14.65,9.22,9.49
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Potiskum,North East,Yobe,Potiskum,,,1752,0,40,98,30,43.8,17.8776,58.4,9.39,63.23,5.28,3.08,15.88,9.95,10.23
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Bade,North East,Yobe,Bade,,,1939,0,48,105,32,40.3958,18.4667,60.5938,8.9,64.14,6.19,3.56,18.26,11.35,11.68
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Damaturu,North East,Yobe,Damaturu,,,1679,0,40,93,28,41.975,18.0538,59.9643,9.19,58.71,5.22,3,15.61,9.75,10.03
