session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Agaie,North Central,Niger,Agaie,,,364,0,16,51,37,22.75,7.1373,9.8378
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Bida,North Central,Niger,Bida,,,275,0,12,39,28,22.9167,7.0513,9.8214
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Chanchaga,North Central,Niger,Chanchaga,,,293,0,12,41,30,24.4167,7.1463,9.7667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Kontagora,North Central,Niger,Kontagora,,,356,0,16,50,36,22.25,7.12,9.8889
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Suleja,North Central,Niger,Suleja,,,320,0,16,44,32,20.0,7.2727,10.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Agaie,North Central,Niger,Agaie,,,283,0,12,42,30,23.5833,6.7381,9.4333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Bida,North Central,Niger,Bida,,,213,0,12,32,24,17.75,6.6562,8.875
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Chanchaga,North Central,Niger,Chanchaga,,,227,0,12,33,24,18.9167,6.8788,9.4583
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Kontagora,North Central,Niger,Kontagora,,,276,0,16,40,28,17.25,6.9,9.8571
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Suleja,North Central,Niger,Suleja,,,250,0,16,36,26,15.625,6.9444,9.6154
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Agaie,North Central,Niger,Agaie,,,155,0,16,25,19,9.6875,6.2,8.1579
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Bida,North Central,Niger,Bida,,,117,0,12,20,15,9.75,5.85,7.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Chanchaga,North Central,Niger,Chanchaga,,,124,0,12,21,15,10.3333,5.9048,8.2667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Kontagora,North Central,Niger,Kontagora,,,151,0,16,25,19,9.4375,6.04,7.9474
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Suleja,North Central,Niger,Suleja,,,136,0,16,23,17,8.5,5.913,8.0
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Agaie,North Central,Niger,Agaie,,,1033,0,28,59,42,36.8929,17.5085,24.5952
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Bida,North Central,Niger,Bida,,,828,0,20,48,34,41.4,17.25,24.3529
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Chanchaga,North Central,Niger,Chanchaga,,,1011,0,28,57,40,36.1071,17.7368,25.275
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Kontagora,North Central,Niger,Kontagora,,,1137,0,28,63,44,40.6071,18.0476,25.8409
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Suleja,North Central,Niger,Suleja,,,1100,0,28,63,43,39.2857,17.4603,25.5814
2019/2020,Female,all,Private,JSS,JSS2,,lga,Agaie,North Central,Niger,Agaie,,,845,0,28,49,34,30.1786,17.2449,24.8529
2019/2020,Female,all,Private,JSS,JSS2,,lga,Bida,North Central,Niger,Bida,,,677,0,20,42,29,33.85,16.119,23.3448
2019/2020,Female,all,Private,JSS,JSS2,,lga,Chanchaga,North Central,Niger,Chanchaga,,,829,0,24,47,34,34.5417,17.6383,24.3824
2019/2020,Female,all,Private,JSS,JSS2,,lga,Kontagora,North Central,Niger,Kontagora,,,933,0,28,53,38,33.3214,17.6038,24.5526
2019/2020,Female,all,Private,JSS,JSS2,,lga,Suleja,North Central,Niger,Suleja,,,902,0,28,53,38,32.2143,17.0189,23.7368
2019/2020,Female,all,Private,JSS,JSS3,,lga,Agaie,North Central,Niger,Agaie,,,676,0,28,40,29,24.1429,16.9,23.3103
2019/2020,Female,all,Private,JSS,JSS3,,lga,Bida,North Central,Niger,Bida,,,542,0,24,34,25,22.5833,15.9412,21.68
2019/2020,Female,all,Private,JSS,JSS3,,lga,Chanchaga,North Central,Niger,Chanchaga,,,661,0,24,41,29,27.5417,16.122,22.7931
2019/2020,Female,all,Private,JSS,JSS3,,lga,Kontagora,North Central,Niger,Kontagora,,,743,0,28,42,29,26.5357,17.6905,25.6207
2019/2020,Female,all,Private,JSS,JSS3,,lga,Suleja,North Central,Niger,Suleja,,,721,0,28,43,30,25.75,16.7674,24.0333
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Agaie,North Central,Niger,Agaie,,,2837,0,48,184,123,59.1042,15.4185,23.065
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Bida,North Central,Niger,Bida,,,2485,0,40,154,103,62.125,16.1364,24.1262
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Chanchaga,North Central,Niger,Chanchaga,,,2220,0,40,140,93,55.5,15.8571,23.871
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Kontagora,North Central,Niger,Kontagora,,,3460,0,56,218,146,61.7857,15.8716,23.6986
