session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Abak,South South,Akwa Ibom,Abak,,,259,0,12,31,24,21.5833,8.3548,10.7917,16.39,29.76,2.44,5,7.28,4.86,4.74
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Eket,South South,Akwa Ibom,Eket,,,301,0,12,34,26,25.0833,8.8529,11.5769,16.17,32.64,2.35,4.66,7.21,4.81,4.71
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,261,0,12,29,23,21.75,9.0,11.3478,16.23,27.84,2.38,4.76,7.23,4.83,4.72
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Oron,South South,Akwa Ibom,Oron,,,316,0,12,35,27,26.3333,9.0286,11.7037,16.13,33.6,2.34,4.61,7.2,4.81,4.71
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Uyo,South South,Akwa Ibom,Uyo,,,256,0,12,30,24,21.3333,8.5333,10.6667,16.43,28.8,2.45,5.06,7.29,4.87,4.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Abak,South South,Akwa Ibom,Abak,,,201,0,12,25,19,16.75,8.04,10.5789,16.46,24,2.46,5.1,7.29,4.87,4.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Eket,South South,Akwa Ibom,Eket,,,235,0,12,28,22,19.5833,8.3929,10.6818,16.43,26.88,2.45,5.06,7.28,4.87,4.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,203,0,12,24,18,16.9167,8.4583,11.2778,16.25,23.04,2.38,4.79,7.24,4.83,4.72
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Oron,South South,Akwa Ibom,Oron,,,245,0,12,28,22,20.4167,8.75,11.1364,16.29,26.88,2.4,4.85,7.25,4.84,4.73
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Uyo,South South,Akwa Ibom,Uyo,,,200,0,12,25,19,16.6667,8.0,10.5263,16.48,24,2.47,5.13,7.3,4.88,4.75
