session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Biu,North East,Borno,Biu,,,319,0,16,47,35,19.9375,6.7872,9.1143,17.01,45.12,3.54,7.9,9.92,6.65,6.42
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Chibok,North East,Borno,Chibok,,,242,0,12,40,31,20.1667,6.05,7.8065,17.67,38.4,2.89,6.92,7.62,5.13,4.89
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Gwoza,North East,Borno,Gwoza,,,262,0,12,41,32,21.8333,6.3902,8.1875,17.45,39.36,2.82,6.6,7.56,5.08,4.87
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Jere,North East,Borno,Jere,,,289,0,16,44,34,18.0625,6.5682,8.5,17.29,42.24,3.68,8.47,10.02,6.73,6.47
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Maiduguri,North East,Borno,Maiduguri,,,281,0,12,42,32,23.4167,6.6905,8.7812,17.16,40.32,2.71,6.15,7.48,5.02,4.83
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Biu,North East,Borno,Biu,,,249,0,16,38,29,15.5625,6.5526,8.5862,17.25,36.48,3.66,8.39,10.01,6.72,6.46
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Chibok,North East,Borno,Chibok,,,187,0,12,31,23,15.5833,6.0323,8.1304,17.48,29.76,2.83,6.64,7.57,5.09,4.87
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Gwoza,North East,Borno,Gwoza,,,202,0,12,32,25,16.8333,6.3125,8.08,17.51,30.72,2.84,6.68,7.58,5.09,4.88
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Jere,North East,Borno,Jere,,,224,0,16,36,28,14.0,6.2222,8.0,17.56,34.56,3.81,9,10.12,6.8,6.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Maiduguri,North East,Borno,Maiduguri,,,218,0,12,34,27,18.1667,6.4118,8.0741,17.51,32.64,2.84,6.69,7.58,5.09,4.88
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Biu,North East,Borno,Biu,,,135,0,16,24,18,8.4375,5.625,7.5,17.86,23.04,3.95,9.6,10.23,6.89,6.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Chibok,North East,Borno,Chibok,,,103,0,12,19,14,8.5833,5.4211,7.3571,17.95,18.24,3,7.34,7.7,5.18,4.93
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Gwoza,North East,Borno,Gwoza,,,112,0,12,20,14,9.3333,5.6,8.0,17.56,19.2,2.85,6.75,7.59,5.1,4.88
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Jere,North East,Borno,Jere,,,123,0,16,23,17,7.6875,5.3478,7.2353,18.03,22.08,4.03,9.95,10.29,6.93,6.58
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Maiduguri,North East,Borno,Maiduguri,,,119,0,12,21,15,9.9167,5.6667,7.9333,17.59,20.16,2.87,6.81,7.6,5.11,4.89
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Biu,North East,Borno,Biu,,,1126,0,28,65,47,40.2143,17.3231,23.9574,10.35,42.27,7.14,5.26,11.75,7.45,7.46
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Chibok,North East,Borno,Chibok,,,989,0,32,60,44,30.9062,16.4833,22.4773,10.32,38.47,8.23,6.41,13.36,8.46,8.46
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Gwoza,North East,Borno,Gwoza,,,766,0,20,48,37,38.3,15.9583,20.7027,11.22,33.45,5.3,4.35,8.93,5.72,5.71
